campus,population,variant,own_class,n_events,dev_rate,frac_more_urgent_mean
1,cm,all,1,467,0.0,0.0
1,cm,all,2,56524,0.9975,0.0066
1,cm,all,3,12075,1.0,0.7588
1,cm,all,4,1701,1.0,0.9412
1,cm,trade,1,466,0.0,0.0
1,cm,trade,2,56488,0.7371,0.0069
1,cm,trade,3,12065,0.9983,0.6848
1,cm,trade,4,1695,0.9971,0.9158
1,cm,bldg,1,436,0.0,0.0
1,cm,bldg,2,54782,0.1256,0.0053
1,cm,bldg,3,11594,0.9875,0.7285
1,cm,bldg,4,1617,0.9944,0.905
1,cm,trade_bldg,1,382,0.0,0.0
1,cm,trade_bldg,2,48391,0.0355,0.0052
1,cm,trade_bldg,3,9874,0.8956,0.6286
1,cm,trade_bldg,4,1343,0.9702,0.8369
1,cm,trade_w30,1,465,0.0,0.0
1,cm,trade_w30,2,55701,0.4465,0.0065
1,cm,trade_w30,3,11972,0.9936,0.7108
1,cm,trade_w30,4,1677,0.9988,0.9383
1,cm,trade_bldg_w30,1,331,0.0,0.0
1,cm,trade_bldg_w30,2,42337,0.0234,0.0053
1,cm,trade_bldg_w30,3,8519,0.8649,0.6635
1,cm,trade_bldg_w30,4,1129,0.961,0.8744
1,cm,trade_size_w30,1,458,0.0,0.0
1,cm,trade_size_w30,2,55137,0.1822,0.006
1,cm,trade_size_w30,3,11834,0.9835,0.7049
1,cm,trade_size_w30,4,1648,0.997,0.9315
1,all,all,1,467,0.0,0.0
1,all,all,2,56524,0.9975,0.0033
1,all,all,3,12075,1.0,0.3706
1,all,all,4,54785,1.0,0.4614
1,all,trade,1,466,0.0,0.0
1,all,trade,2,56496,0.737,0.0039
1,all,trade,3,12069,0.998,0.4379
1,all,trade,4,54775,0.9531,0.3637
1,all,bldg,1,443,0.0,0.0
1,all,bldg,2,55425,0.1241,0.0032
1,all,bldg,3,11714,0.9774,0.3809
1,all,bldg,4,53663,0.9396,0.4084
1,all,trade_bldg,1,411,0.0,0.0
1,all,trade_bldg,2,51014,0.0336,0.0034
1,all,trade_bldg,3,10429,0.8479,0.4318
1,all,trade_bldg,4,47320,0.6766,0.3202
1,all,trade_w30,1,465,0.0,0.0
1,all,trade_w30,2,55773,0.446,0.0036
1,all,trade_w30,3,11987,0.9923,0.4584
1,all,trade_w30,4,54278,0.9475,0.3805
1,all,trade_bldg_w30,1,376,0.0,0.0
1,all,trade_bldg_w30,2,46673,0.0212,0.0034
1,all,trade_bldg_w30,3,9445,0.7801,0.4455
1,all,trade_bldg_w30,4,43419,0.5628,0.3328
1,all,trade_size_w30,1,463,0.0,0.0
1,all,trade_size_w30,2,55392,0.1813,0.0036
1,all,trade_size_w30,3,11881,0.9796,0.4701
1,all,trade_size_w30,4,53811,0.8941,0.3669
9,cm,all,1,4024,0.0,0.0
