campus,population,variant,trade,n_events,dev_rate,share_class1,frac_more_urgent_mean
1,cm,trade,A10,3,0.0,0.0,0.0
1,cm,trade,B10,13,0.3077,0.0,0.2692
1,cm,trade,B20,219,0.1644,0.0,0.1379
1,cm,trade,B30,147,0.2245,0.0,0.181
1,cm,trade,C10,7273,0.5097,0.0025,0.1627
1,cm,trade,C20,259,0.3359,0.0,0.1917
1,cm,trade,C30,4391,0.6641,0.0059,0.2653
1,cm,trade,D10,178,0.4775,0.0169,0.2357
1,cm,trade,D20,17111,0.9221,0.0095,0.095
1,cm,trade,D30,17100,0.7344,0.0035,0.0857
1,cm,trade,D40,1007,0.6435,0.0308,0.2217
1,cm,trade,D50,19617,0.939,0.0079,0.1927
1,cm,trade,E10,1615,0.2588,0.0037,0.1453
1,cm,trade,E20,1047,0.4183,0.0019,0.2305
1,cm,trade,F10,5,0.4,0.0,0.4
1,cm,trade,G20,487,0.1786,0.0082,0.1087
1,cm,trade,G30,4,0.0,0.0,0.0
1,cm,trade,UNK,238,0.6387,0.0,0.3253
1,cm,trade_w30,A10,1,0.0,0.0,0.0
1,cm,trade_w30,B10,8,0.125,0.0,0.125
1,cm,trade_w30,B20,180,0.1611,0.0,0.1444
1,cm,trade_w30,B30,120,0.175,0.0,0.1593
1,cm,trade_w30,C10,7264,0.3337,0.0025,0.167
1,cm,trade_w30,C20,237,0.3207,0.0,0.2231
1,cm,trade_w30,C30,4377,0.5282,0.0059,0.2688
1,cm,trade_w30,D10,155,0.3613,0.0194,0.2685
1,cm,trade_w30,D20,17045,0.6336,0.0096,0.0967
1,cm,trade_w30,D30,16573,0.4747,0.0036,0.0908
1,cm,trade_w30,D40,1002,0.4222,0.0309,0.2237
1,cm,trade_w30,D50,19544,0.6905,0.0078,0.2016
1,cm,trade_w30,E10,1587,0.2212,0.0038,0.1518
1,cm,trade_w30,E20,1039,0.3985,0.0019,0.2456
1,cm,trade_w30,F10,4,0.25,0.0,0.25
1,cm,trade_w30,G20,444,0.1599,0.009,0.1136
1,cm,trade_w30,G30,1,0.0,0.0,0.0
1,cm,trade_w30,UNK,234,0.4316,0.0,0.2022
1,cm,trade_bldg_w30,A10,1,0.0,0.0,0.0
1,cm,trade_bldg_w30,B20,14,0.0,0.0,0.0
1,cm,trade_bldg_w30,B30,10,0.1,0.0,0.1
1,cm,trade_bldg_w30,C10,4504,0.1727,0.0018,0.1489
1,cm,trade_bldg_w30,C20,23,0.1739,0.0,0.1304
1,cm,trade_bldg_w30,C30,2345,0.3041,0.0064,0.2341
1,cm,trade_bldg_w30,D10,18,0.0556,0.0,0.0556
1,cm,trade_bldg_w30,D20,13629,0.1256,0.0098,0.087
1,cm,trade_bldg_w30,D30,14152,0.1048,0.0033,0.083
1,cm,trade_bldg_w30,D40,249,0.2249,0.0361,0.2016
1,cm,trade_bldg_w30,D50,16336,0.2758,0.007,0.1875
1,cm,trade_bldg_w30,E10,677,0.1758,0.0059,0.1518
1,cm,trade_bldg_w30,E20,254,0.2402,0.0,0.2172
1,cm,trade_bldg_w30,F10,1,0.0,0.0,0.0
1,cm,trade_bldg_w30,G20,42,0.1905,0.0,0.1905
1,cm,trade_bldg_w30,UNK,61,0.0328,0.0,0.0328
1,all,trade,A10,3,0.0,0.0,0.0
1,all,trade,B10,13,0.3077,0.0,0.2692
1,all,trade,B20,1165,0.8318,0.0,0.1302
1,all,trade,B30,626,0.8179,0.0,0.1517
1,all,trade,C10,7769,0.541,0.0023,0.1713
1,all,trade,C20,717,0.7601,0.0,0.2037
1,all,trade,C30,4477,0.6705,0.0058,0.2709
1,all,trade,D10,496,0.7742,0.006,0.2073
1,all,trade,D20,28180,0.9526,0.0058,0.2136
1,all,trade,D30,27391,0.8342,0.0022,0.2018
1,all,trade,D40,15952,0.976,0.0019,0.0785
1,all,trade,D50,30246,0.9604,0.0051,0.2804
1,all,trade,D90,2495,0.0,0.0,0.0
1,all,trade,E10,2183,0.4517,0.0027,0.2619
1,all,trade,E20,1292,0.5279,0.0015,0.3033
1,all,trade,F10,5,0.4,0.0,0.4
1,all,trade,G20,494,0.1903,0.0081,0.1147
1,all,trade,G30,64,0.5625,0.0,0.0762
1,all,trade,UNK,238,0.6387,0.0,0.3253
1,all,trade_w30,A10,1,0.0,0.0,0.0
1,all,trade_w30,B10,8,0.125,0.0,0.125
1,all,trade_w30,B20,1151,0.6785,0.0,0.2139
1,all,trade_w30,B30,569,0.5694,0.0,0.1944
1,all,trade_w30,C10,7760,0.3763,0.0023,0.1983
1,all,trade_w30,C20,711,0.7215,0.0,0.3032
1,all,trade_w30,C30,4463,0.5373,0.0058,0.274
1,all,trade_w30,D10,466,0.6996,0.0064,0.1933
1,all,trade_w30,D20,28083,0.7776,0.0058,0.2211
1,all,trade_w30,D30,26718,0.6742,0.0022,0.2546
1,all,trade_w30,D40,15906,0.9636,0.0019,0.0523
1,all,trade_w30,D50,30052,0.7987,0.0051,0.2668
1,all,trade_w30,D90,2472,0.0,0.0,0.0
1,all,trade_w30,E10,2151,0.4254,0.0028,0.2624
1,all,trade_w30,E20,1283,0.5129,0.0016,0.3093
1,all,trade_w30,F10,4,0.25,0.0,0.25
1,all,trade_w30,G20,453,0.1722,0.0088,0.1241
1,all,trade_w30,G30,18,0.0,0.0,0.0
1,all,trade_w30,UNK,234,0.4316,0.0,0.2022
9,cm,trade,B20,655,0.4489,0.1649,0.1104
9,cm,trade,B30,311,0.3023,0.1543,0.0945
9,cm,trade,C10,1762,0.4614,0.1039,0.0864
9,cm,trade,C20,29,0.0,0.0345,0.0
9,cm,trade,C30,633,0.6524,0.158,0.2253
9,cm,trade,D10,376,0.6197,0.2846,0.1688
9,cm,trade,D20,6507,0.8457,0.0896,0.0895
9,cm,trade,D30,8409,0.8719,0.0992,0.0858
9,cm,trade,D40,1859,0.3066,0.6928,0.1879
9,cm,trade,D50,5259,0.7792,0.1074,0.1195
9,cm,trade,E10,805,0.3739,0.1441,0.0853
9,cm,trade,E20,37,0.027,0.0,0.027
9,cm,trade,F10,49,0.2041,0.4898,0.1973
9,cm,trade,G40,2,0.0,0.0,0.0
9,cm,trade,UNK,118,0.0169,0.0,0.0014
9,cm,trade_w30,B20,630,0.327,0.1587,0.1219
9,cm,trade_w30,B30,285,0.3123,0.1474,0.1061
9,cm,trade_w30,C10,1748,0.3936,0.1047,0.0965
9,cm,trade_w30,C20,21,0.0,0.0,0.0
9,cm,trade_w30,C30,618,0.4951,0.1602,0.187
9,cm,trade_w30,D10,360,0.6139,0.275,0.1752
9,cm,trade_w30,D20,6507,0.7918,0.0896,0.0894
9,cm,trade_w30,D30,8409,0.8372,0.0992,0.085
9,cm,trade_w30,D40,1856,0.305,0.6934,0.2044
9,cm,trade_w30,D50,5259,0.7401,0.1074,0.1223
9,cm,trade_w30,E10,788,0.3287,0.1447,0.0961
9,cm,trade_w30,E20,27,0.037,0.0,0.037
9,cm,trade_w30,F10,43,0.2326,0.4884,0.2248
9,cm,trade_w30,UNK,79,0.0253,0.0,0.0142
9,all,trade,A10,11,0.0,0.0,0.0
9,all,trade,B10,6,0.0,0.0,0.0
9,all,trade,B20,1802,0.7897,0.0605,0.1859
9,all,trade,B30,2196,0.582,0.0246,0.0421
9,all,trade,C10,6879,0.854,0.0267,0.1286
9,all,trade,C20,258,0.314,0.0039,0.0893
9,all,trade,C30,3317,0.9068,0.0311,0.1329
9,all,trade,D10,1736,0.8295,0.0651,0.1319
9,all,trade,D20,23343,0.9566,0.025,0.1346
9,all,trade,D30,39352,0.9722,0.0212,0.1103
9,all,trade,D40,7963,0.8376,0.1617,0.0952
9,all,trade,D50,40856,0.9714,0.0138,0.0731
9,all,trade,D90,9044,0.0,0.0,0.0
9,all,trade,E10,3349,0.8411,0.0349,0.1034
9,all,trade,E20,1349,0.4633,0.0022,0.0637
9,all,trade,F10,167,0.3353,0.2874,0.2003
9,all,trade,F20,25,0.16,0.0,0.032
9,all,trade,G20,13,0.0769,0.0,0.0769
9,all,trade,G30,21,0.0,0.0,0.0
9,all,trade,G40,948,0.2605,0.0011,0.021
9,all,trade,UNK,118,0.0169,0.0,0.0014
9,all,trade_w30,A10,7,0.0,0.0,0.0
9,all,trade_w30,B10,5,0.0,0.0,0.0
9,all,trade_w30,B20,1802,0.7148,0.0605,0.2124
9,all,trade_w30,B30,2137,0.4899,0.0253,0.1477
9,all,trade_w30,C10,6879,0.8261,0.0267,0.1512
9,all,trade_w30,C20,210,0.3,0.0,0.151
9,all,trade_w30,C30,3317,0.8426,0.0311,0.1551
9,all,trade_w30,D10,1726,0.8117,0.0655,0.2773
9,all,trade_w30,D20,23343,0.9416,0.025,0.1578
9,all,trade_w30,D30,39349,0.9649,0.0212,0.1208
9,all,trade_w30,D40,7963,0.8349,0.1617,0.1222
9,all,trade_w30,D50,40856,0.9663,0.0138,0.0768
9,all,trade_w30,D90,9034,0.0,0.0,0.0
9,all,trade_w30,E10,3349,0.8101,0.0349,0.148
9,all,trade_w30,E20,1345,0.2944,0.0022,0.0546
9,all,trade_w30,F10,140,0.3786,0.2857,0.2497
9,all,trade_w30,F20,18,0.1667,0.0,0.1667
9,all,trade_w30,G20,6,0.1667,0.0,0.1667
9,all,trade_w30,G30,20,0.0,0.0,0.0
9,all,trade_w30,G40,908,0.1068,0.0011,0.019
9,all,trade_w30,UNK,79,0.0253,0.0,0.0142
10,cm,trade,B10,1,1.0,0.0,1.0
10,cm,trade,B20,2218,0.761,0.0198,0.1939
10,cm,trade,B30,262,0.5916,0.0115,0.1998
10,cm,trade,C10,11860,0.833,0.0141,0.1691
10,cm,trade,C20,180,0.2778,0.0389,0.1247
10,cm,trade,C30,4886,0.8713,0.0194,0.2008
10,cm,trade,D10,226,0.3673,0.3496,0.2021
10,cm,trade,D20,21809,0.9611,0.0328,0.2225
10,cm,trade,D30,21139,0.9477,0.0344,0.1529
10,cm,trade,D40,4838,0.4423,0.5577,0.1562
10,cm,trade,D50,33696,0.9153,0.0847,0.1731
10,cm,trade,E10,5907,0.8619,0.0186,0.1778
10,cm,trade,E20,1139,0.7954,0.0079,0.1487
10,cm,trade,F10,223,0.3094,0.3318,0.1277
10,cm,trade,G20,23,0.1304,0.0,0.1304
10,cm,trade,UNK,1279,0.5942,0.3464,0.1039
10,cm,trade_w30,B10,1,1.0,0.0,1.0
10,cm,trade_w30,B20,2212,0.5949,0.0199,0.2148
10,cm,trade_w30,B30,219,0.3516,0.0091,0.2163
10,cm,trade_w30,C10,11860,0.7845,0.0141,0.1739
10,cm,trade_w30,C20,137,0.2701,0.0511,0.1916
10,cm,trade_w30,C30,4886,0.7763,0.0194,0.1899
10,cm,trade_w30,D10,180,0.3056,0.35,0.216
10,cm,trade_w30,D20,21809,0.9338,0.0328,0.2074
10,cm,trade_w30,D30,21139,0.8545,0.0344,0.177
10,cm,trade_w30,D40,4838,0.4384,0.5577,0.2408
10,cm,trade_w30,D50,33696,0.9125,0.0847,0.1634
10,cm,trade_w30,E10,5907,0.8129,0.0186,0.1634
10,cm,trade_w30,E20,1118,0.5483,0.0081,0.1324
10,cm,trade_w30,F10,134,0.3731,0.3507,0.2728
10,cm,trade_w30,G20,18,0.1667,0.0,0.1667
10,cm,trade_w30,UNK,1267,0.547,0.3449,0.2573
10,cm,trade_bldg_w30,B20,365,0.1863,0.0274,0.1735
10,cm,trade_bldg_w30,B30,9,0.2222,0.0,0.0926
10,cm,trade_bldg_w30,C10,5880,0.2308,0.0114,0.1541
10,cm,trade_bldg_w30,C20,9,0.2222,0.0,0.2222
10,cm,trade_bldg_w30,C30,1923,0.207,0.0213,0.1377
10,cm,trade_bldg_w30,D10,15,0.0667,0.3333,0.0667
10,cm,trade_bldg_w30,D20,13179,0.3093,0.0297,0.1802
10,cm,trade_bldg_w30,D30,12049,0.2187,0.0304,0.1519
10,cm,trade_bldg_w30,D40,1390,0.2784,0.5317,0.2396
10,cm,trade_bldg_w30,D50,24700,0.2606,0.0621,0.1246
10,cm,trade_bldg_w30,E10,2646,0.167,0.0181,0.1078
10,cm,trade_bldg_w30,E20,237,0.1139,0.0042,0.089
10,cm,trade_bldg_w30,F10,9,0.0,0.3333,0.0
10,cm,trade_bldg_w30,G20,1,1.0,0.0,1.0
10,cm,trade_bldg_w30,UNK,151,0.1854,0.2649,0.1705
10,all,trade,B10,4,0.5,0.0,0.375
10,all,trade,B20,15706,0.9663,0.0028,0.2108
10,all,trade,B30,1560,0.9051,0.0019,0.297
10,all,trade,C10,13998,0.8585,0.0119,0.2337
10,all,trade,C20,222,0.4099,0.0315,0.2606
10,all,trade,C30,5545,0.8866,0.0171,0.2531
10,all,trade,D10,834,0.7086,0.1019,0.1681
10,all,trade,D20,68639,0.9871,0.0104,0.1826
10,all,trade,D30,153701,0.9927,0.0047,0.0978
10,all,trade,D40,28382,0.9036,0.0951,0.0896
10,all,trade,D50,291244,0.9902,0.0098,0.0881
10,all,trade,D90,5796,0.0,0.0002,0.0
10,all,trade,E10,19429,0.9576,0.0057,0.1781
10,all,trade,E20,1353,0.8248,0.0067,0.2151
10,all,trade,F10,303,0.3927,0.2508,0.122
10,all,trade,G20,147,0.2313,0.0204,0.0816
10,all,trade,UNK,1279,0.5942,0.3464,0.1039
10,all,trade_w30,B10,2,1.0,0.0,1.0
10,all,trade_w30,B20,15705,0.9381,0.0028,0.1063
10,all,trade_w30,B30,1557,0.7116,0.0019,0.1722
10,all,trade_w30,C10,13998,0.8174,0.0119,0.2424
10,all,trade_w30,C20,183,0.377,0.0383,0.2794
10,all,trade_w30,C30,5545,0.8029,0.0171,0.2435
10,all,trade_w30,D10,822,0.5426,0.0973,0.1447
10,all,trade_w30,D20,68634,0.9785,0.0104,0.1545
10,all,trade_w30,D30,153698,0.9799,0.0047,0.0717
10,all,trade_w30,D40,28382,0.9029,0.0951,0.0844
10,all,trade_w30,D50,291244,0.9899,0.0098,0.0733
10,all,trade_w30,D90,5792,0.0,0.0002,0.0
10,all,trade_w30,E10,19429,0.9427,0.0057,0.1581
10,all,trade_w30,E20,1333,0.6144,0.0068,0.2206
10,all,trade_w30,F10,242,0.4008,0.2521,0.2736
10,all,trade_w30,G20,141,0.2128,0.0213,0.1104
10,all,trade_w30,UNK,1267,0.547,0.3449,0.2573
12,cm,trade,A10,1,0.0,1.0,0.0
12,cm,trade,B10,24,0.2083,0.0,0.1493
12,cm,trade,B20,2135,0.933,0.0609,0.2297
12,cm,trade,B30,536,0.8657,0.1194,0.2832
12,cm,trade,C10,6367,0.9614,0.0336,0.2318
12,cm,trade,C20,177,0.8588,0.0452,0.2624
12,cm,trade,C30,1534,0.9257,0.0606,0.2322
12,cm,trade,D10,26,0.2308,0.2692,0.1603
12,cm,trade,D20,9126,0.8869,0.113,0.2694
12,cm,trade,D30,10893,0.6464,0.3536,0.2841
12,cm,trade,D40,1029,0.5287,0.4684,0.2867
12,cm,trade,D50,6300,0.8806,0.1189,0.2194
12,cm,trade,D90,1576,0.566,0.0,0.3058
12,cm,trade,E10,2194,0.8883,0.0902,0.271
12,cm,trade,E20,1678,0.919,0.0173,0.2006
12,cm,trade,F10,172,0.657,0.1395,0.2129
12,cm,trade,F20,16,0.3125,0.0625,0.1875
12,cm,trade,G10,2,0.0,0.0,0.0
12,cm,trade,G20,271,0.7491,0.0406,0.1295
12,cm,trade,G30,63,0.2222,0.0476,0.0723
12,cm,trade,G40,228,0.1272,0.8289,0.0575
12,cm,trade,UNK,664,0.8614,0.0708,0.2511
12,cm,trade_w30,B10,11,0.3636,0.0,0.297
12,cm,trade_w30,B20,2130,0.8854,0.0606,0.2567
12,cm,trade_w30,B30,531,0.774,0.1168,0.3364
12,cm,trade_w30,C10,6356,0.9412,0.0335,0.2376
12,cm,trade_w30,C20,163,0.5644,0.0429,0.296
12,cm,trade_w30,C30,1532,0.8916,0.0607,0.2861
12,cm,trade_w30,D10,9,0.1111,0.2222,0.0556
12,cm,trade_w30,D20,9126,0.8847,0.113,0.2865
12,cm,trade_w30,D30,10893,0.6464,0.3536,0.3207
12,cm,trade_w30,D40,1028,0.5165,0.4679,0.3178
12,cm,trade_w30,D50,6300,0.8779,0.1189,0.2638
12,cm,trade_w30,D90,1531,0.4716,0.0,0.1821
12,cm,trade_w30,E10,2182,0.8497,0.0903,0.2972
12,cm,trade_w30,E20,1671,0.8648,0.0174,0.2396
12,cm,trade_w30,F10,160,0.5625,0.125,0.2951
12,cm,trade_w30,F20,8,0.125,0.125,0.125
12,cm,trade_w30,G10,1,0.0,0.0,0.0
12,cm,trade_w30,G20,262,0.5344,0.042,0.1581
12,cm,trade_w30,G30,42,0.1905,0.0476,0.0675
12,cm,trade_w30,G40,194,0.1237,0.8454,0.1031
12,cm,trade_w30,UNK,663,0.7119,0.0709,0.2517
12,all,trade,A10,1,0.0,1.0,0.0
12,all,trade,B10,29,0.2414,0.0,0.1925
12,all,trade,B20,2305,0.9375,0.0564,0.2223
12,all,trade,B30,570,0.8737,0.1123,0.2829
12,all,trade,C10,7304,0.9663,0.0293,0.2036
12,all,trade,C20,199,0.8643,0.0452,0.2253
12,all,trade,C30,1944,0.9414,0.0478,0.2198
12,all,trade,D10,36,0.2778,0.1944,0.0836
12,all,trade,D20,9728,0.8939,0.106,0.256
12,all,trade,D30,11855,0.6751,0.3249,0.2664
12,all,trade,D40,1125,0.5689,0.4284,0.2826
12,all,trade,D50,8301,0.9094,0.0902,0.2167
12,all,trade,D90,2090,0.6703,0.0,0.3164
12,all,trade,E10,2993,0.9181,0.0662,0.2759
12,all,trade,E20,3371,0.954,0.0086,0.1668
12,all,trade,F10,216,0.7176,0.1111,0.1905
12,all,trade,F20,35,0.3714,0.0286,0.0993
12,all,trade,G10,9,0.0,0.0,0.0
12,all,trade,G20,310,0.771,0.0355,0.1212
12,all,trade,G30,89,0.2022,0.0337,0.0514
12,all,trade,G40,237,0.1561,0.7975,0.0677
12,all,trade,UNK,664,0.8614,0.0708,0.2511
12,all,trade_w30,B10,15,0.3333,0.0,0.2844
12,all,trade_w30,B20,2301,0.8918,0.0561,0.258
12,all,trade_w30,B30,568,0.7799,0.1109,0.329
12,all,trade_w30,C10,7303,0.9458,0.0292,0.2208
12,all,trade_w30,C20,186,0.5753,0.0376,0.2698
12,all,trade_w30,C30,1939,0.9118,0.048,0.267
12,all,trade_w30,D10,15,0.2667,0.2,0.1667
12,all,trade_w30,D20,9728,0.8919,0.106,0.2894
12,all,trade_w30,D30,11855,0.6751,0.3249,0.3191
12,all,trade_w30,D40,1124,0.5569,0.4279,0.324
12,all,trade_w30,D50,8301,0.907,0.0902,0.2671
12,all,trade_w30,D90,2076,0.5684,0.0,0.1745
12,all,trade_w30,E10,2993,0.8854,0.0662,0.2938
12,all,trade_w30,E20,3369,0.9222,0.0086,0.1905
12,all,trade_w30,F10,210,0.5905,0.1095,0.2642
12,all,trade_w30,F20,15,0.2,0.0667,0.2
12,all,trade_w30,G10,1,0.0,0.0,0.0
12,all,trade_w30,G20,295,0.5254,0.0373,0.1422
12,all,trade_w30,G30,64,0.1562,0.0312,0.0586
12,all,trade_w30,G40,206,0.1553,0.8058,0.1261
12,all,trade_w30,UNK,663,0.7119,0.0709,0.2517
