campus,population,variant,n_pop,n_events,n_events_no_candidate,dev_rate,n_deviations,frac_more_urgent_mean,frac_more_urgent_median,frac_more_urgent_p90,class_gap_mean_on_dev,n_candidates_median,n_candidates_p90,note,class_gap_1_share,class_gap_2_share,class_gap_3_share
1,cm,all,70768,70767,1.0,0.9914,70158.0,0.1573,0.0066,0.7546,1.2198,1628.0,1900.0,,0.8043,0.1715,0.0242
1,cm,trade,70768,70714,54.0,0.783,55370.0,0.1443,0.0067,0.6869,1.2007,358.0,510.0,,0.8176,0.1641,0.0183
1,cm,bldg,69556,68429,1127.0,0.2913,19935.0,0.1491,0.0,0.7664,1.1669,28.0,79.0,,0.8448,0.1435,0.0117
1,cm,trade_bldg,69556,59990,9566.0,0.1977,11862.0,0.1264,0.0,0.6667,1.1318,6.0,20.0,,0.871,0.1261,0.0029
1,cm,trade_w30,70768,69815,953.0,0.5506,38442.0,0.1496,0.0051,0.7248,1.1845,161.0,222.0,,0.83,0.1556,0.0145
1,cm,trade_bldg_w30,69556,52316,17240.0,0.1805,9444.0,0.1312,0.0,0.75,1.127,3.0,11.0,,0.8748,0.1234,0.0018
1,cm,trade_size_w30,70768,69077,1691.0,0.3377,23327.0,0.1477,0.0,0.7358,1.1771,43.0,74.0,,0.8334,0.156,0.0105
1,all,all,123852,123851,1.0,0.9951,123242.0,0.2417,0.3531,0.4969,1.9845,3297.0,3969.0,,0.4579,0.0997,0.4424
1,all,trade,123852,123806,46.0,0.8552,105884.0,0.2054,0.0515,0.5662,1.9185,649.0,1010.0,,0.4283,0.225,0.3467
1,all,bldg,122015,121245,770.0,0.567,68747.0,0.219,0.1017,0.5652,1.8068,51.0,119.0,,0.2564,0.6804,0.0632
1,all,trade_bldg,122015,109174,12841.0,0.39,42578.0,0.1816,0.0,0.6583,1.739,9.0,30.0,,0.2844,0.6923,0.0233
1,all,trade_w30,123852,122503,1349.0,0.7199,88196.0,0.2151,0.0309,0.6066,1.8691,290.0,395.0,,0.3637,0.4036,0.2327
1,all,trade_bldg_w30,122015,99913,22102.0,0.3282,32796.0,0.1884,0.0,0.75,1.715,4.0,14.0,,0.3007,0.6836,0.0157
1,all,trade_size_w30,123852,121547,2305.0,0.5742,69796.0,0.21,0.0192,0.6333,1.8186,79.0,139.0,,0.2913,0.5987,0.1099
9,cm,all,27084,27083,1.0,0.8506,23037.0,0.1353,0.1333,0.2,1.0175,170.0,239.0,,0.9825,0.0175,0.0
9,cm,trade,27084,26811,273.0,0.7334,19664.0,0.1052,0.0714,0.2222,1.0133,29.0,61.0,,0.9867,0.0133,0.0
9,cm,bldg,0,0,,,,,,,,,,insufficient population or constant class,,,
9,cm,trade_bldg,0,0,,,,,,,,,,insufficient population or constant class,,,
