campus,population,variant,n_events,prevalence,auc_null_prevalence,auc_class_only,aucsd_class_only,balacc_class_only,brierr2_class_only,auc_class_coded,aucsd_class_coded,balacc_class_coded,brierr2_class_coded,beta_class_coded,auc_class_coded_nosize,aucsd_class_coded_nosize,balacc_class_coded_nosize,brierr2_class_coded_nosize,beta_class_coded_nosize,auc_coded_only,aucsd_coded_only,balacc_coded_only,brierr2_coded_only,auc_class_trade,aucsd_class_trade,balacc_class_trade,brierr2_class_trade,beta_class_trade,auc_class_dow,aucsd_class_dow,balacc_class_dow,brierr2_class_dow,beta_class_dow,auc_class_size,aucsd_class_size,balacc_class_size,brierr2_class_size,beta_class_size,auc_class_nontrade,aucsd_class_nontrade,balacc_class_nontrade,brierr2_class_nontrade,beta_class_nontrade,auc_class_pm,aucsd_class_pm,balacc_class_pm,brierr2_class_pm,beta_class_pm,auc_increment_over_class,auc_increment_nosize,beta_hat,beta_hat_nosize,unexplained_share_upper,auc_class_only_randomcv,auc_class_coded_randomcv,auc_class_coded_permuted,note
1,all,trade,123806,0.8552,0.5,0.6942,0.0337,0.731,0.1018,0.9153,0.0231,0.8661,0.451,0.3887,0.9153,0.023,0.8661,0.4509,0.3887,0.8753,0.0252,0.8273,0.3318,0.9152,0.0237,0.8661,0.4509,0.3887,0.7,0.0317,0.731,0.102,0.0002,0.6944,0.0318,0.731,0.1016,-0.0003,0.7024,0.0303,0.731,0.102,0.0002,0.6956,0.0332,0.731,0.102,0.0002,0.2212,0.2211,0.3887,0.3887,0.6113,0.7414,0.9377,0.4981,
1,all,trade_w30,122503,0.7199,0.5,0.785,0.0278,0.8161,0.3085,0.8998,0.0137,0.8521,0.4693,0.2326,0.8996,0.0141,0.8522,0.4692,0.2325,0.838,0.0193,0.7766,0.3156,0.8995,0.0139,0.8522,0.4694,0.2327,0.7858,0.0274,0.8161,0.3084,-0.0002,0.7871,0.025,0.8161,0.3085,0.0001,0.79,0.0248,0.8161,0.3086,0.0001,0.786,0.0275,0.8161,0.3087,0.0003,0.1147,0.1146,0.2326,0.2325,0.7674,0.821,0.9172,0.499,
1,cm,trade,70714,0.783,0.5,0.5352,0.0155,0.6232,0.0596,0.8219,0.0557,0.7946,0.3086,0.2648,0.8221,0.0554,0.7946,0.3088,0.265,0.7292,0.0646,0.7258,0.157,0.8219,0.0556,0.7946,0.3088,0.265,0.5417,0.0195,0.6224,0.0598,0.0002,0.5353,0.0263,0.6232,0.0594,-0.0002,0.5413,0.0229,0.6224,0.0596,0.0,,,,,,0.2867,0.2869,0.2648,0.265,0.7352,0.6316,0.8648,0.4993,
1,cm,trade_bldg_w30,52316,0.1805,0.5,0.9109,0.033,0.9336,0.7393,0.9306,0.0259,0.934,0.7536,0.0548,0.9306,0.0261,0.934,0.7536,0.0548,0.6425,0.03,0.6315,0.049,0.9294,0.0261,0.934,0.7536,0.055,0.9122,0.0318,0.9336,0.7393,-0.0,0.9145,0.0313,0.9336,0.7399,0.0023,0.9146,0.0311,0.9336,0.7399,0.0024,,,,,,0.0197,0.0197,0.0548,0.0548,0.9452,0.9332,0.953,0.5039,
1,cm,trade_w30,69815,0.5506,0.5,0.5906,0.0132,0.6752,0.1682,0.7537,0.037,0.6753,0.2561,0.1056,0.7539,0.0376,0.6761,0.256,0.1055,0.604,0.0591,0.6219,0.0371,0.7547,0.0365,0.6759,0.2563,0.1058,0.5908,0.0126,0.6752,0.168,-0.0003,0.5963,0.0143,0.6752,0.1682,0.0,0.5967,0.0115,0.6752,0.168,-0.0003,,,,,,0.1631,0.1634,0.1056,0.1055,0.8944,0.6776,0.8005,0.5049,
9,all,trade,142753,0.8672,0.5,0.5747,0.0603,0.6151,0.1857,0.9858,0.004,0.9407,0.7825,0.7329,0.9858,0.004,0.9405,0.7826,0.733,0.9752,0.0045,0.9121,0.6739,0.9858,0.004,0.9406,0.7825,0.733,0.6144,0.0498,0.6187,0.1883,0.0033,0.5682,0.057,0.6146,0.185,-0.0008,0.6134,0.0507,0.6183,0.1877,0.0026,0.5748,0.0603,0.6151,0.1856,-0.0,0.4111,0.4111,0.7329,0.733,0.2671,0.6291,0.9873,0.5023,
9,all,trade_w30,142493,0.8535,0.5,0.5889,0.0529,0.6286,0.1713,0.9796,0.0047,0.918,0.7505,0.6989,0.9796,0.0048,0.918,0.7505,0.6989,0.9715,0.0055,0.9037,0.6569,0.9798,0.0046,0.9152,0.7502,0.6986,0.6264,0.0466,0.6312,0.1732,0.0023,0.5816,0.0497,0.6286,0.1704,-0.0011,0.6229,0.0485,0.6311,0.1723,0.0013,0.5889,0.0529,0.6286,0.1713,0.0,0.3907,0.3907,0.6989,0.6989,0.3011,0.6409,0.9822,0.5011,
9,cm,trade,26811,0.7334,0.5,0.7592,0.0277,0.7761,0.4761,0.9137,0.0207,0.8594,0.6002,0.2369,0.9132,0.0204,0.8593,0.6,0.2366,0.7976,0.0198,0.7465,0.2966,0.9123,0.0215,0.8593,0.6004,0.2372,0.7657,0.0233,0.7756,0.4755,-0.0011,0.7559,0.0341,0.7763,0.4759,-0.0004,0.7628,0.0317,0.7761,0.4753,-0.0016,,,,,,0.1545,0.154,0.2369,0.2366,0.7631,0.779,0.9196,0.4983,
9,cm,trade_w30,26630,0.6922,0.5,0.7187,0.0281,0.7395,0.3873,0.8695,0.0362,0.8271,0.5122,0.2038,0.8696,0.0356,0.8271,0.5121,0.2037,0.7663,0.0297,0.7247,0.2572,0.8693,0.0369,0.8271,0.5124,0.2042,0.7236,0.0234,0.7395,0.3868,-0.0008,0.7224,0.0381,0.7395,0.387,-0.0005,0.7238,0.029,0.7392,0.3865,-0.0012,,,,,,0.1508,0.1509,0.2038,0.2037,0.7962,0.7363,0.8792,0.4969,
10,all,trade,608142,0.9689,0.5,0.8005,0.0265,0.8024,0.4378,0.9929,0.0053,0.9655,0.8163,0.6732,0.9934,0.0032,0.965,0.8169,0.6744,0.9635,0.0044,0.911,0.4445,0.9927,0.0052,0.9639,0.8171,0.6747,0.811,0.0166,0.8024,0.437,-0.0014,0.8027,0.0303,0.8024,0.4376,-0.0004,0.8132,0.0157,0.8024,0.4368,-0.0017,0.8005,0.0267,0.8024,0.4377,-0.0001,0.1924,0.1929,0.6732,0.6744,0.3268,0.8217,0.9967,0.5024,
