metric,n_campuses,min,median,max
prevalence,3,0.5506,0.6922,0.8412
auc_class_only,3,0.5906,0.7187,0.8832
auc_class_coded,3,0.7537,0.8695,0.9578
auc_class_coded_nosize,3,0.7539,0.8696,0.9576
auc_coded_only,3,0.604,0.7086,0.7663
auc_class_trade,3,0.7547,0.8693,0.957
auc_class_dow,3,0.5908,0.7236,0.8859
auc_class_size,3,0.5963,0.7224,0.884
auc_class_nontrade,3,0.5967,0.7238,0.8865
auc_class_coded_permuted,3,0.4969,0.4997,0.5049
auc_class_coded_randomcv,3,0.8005,0.8792,0.963
auc_increment_over_class,3,0.0746,0.1508,0.1631
auc_increment_nosize,3,0.0744,0.1509,0.1634
beta_class_trade,3,0.1058,0.2042,0.2725
beta_class_dow,3,-0.0008,-0.0003,0.0005
beta_class_size,3,-0.0005,0.0,0.0001
beta_class_nontrade,3,-0.0012,-0.0003,0.0006
beta_hat,3,0.1056,0.2038,0.2727
beta_hat_nosize,3,0.1055,0.2037,0.2725
unexplained_share_upper,3,0.7273,0.7962,0.8944
