campus,direction,rank,term,coefficient
1,promotes_deviation,1,rewire,1.9406
1,promotes_deviation,2,bathroom door,1.7877
1,promotes_deviation,3,freezing,1.7582
1,promotes_deviation,4,transducers,1.6925
1,promotes_deviation,5,dd5,1.6638
1,promotes_deviation,6,rowe bldg,1.6559
1,promotes_deviation,7,switch not,1.6342
1,promotes_deviation,8,troy,1.6069
1,promotes_deviation,9,chem bldg,1.5793
1,promotes_deviation,10,transducer,1.5753
1,promotes_deviation,11,reset fire,1.508
1,promotes_deviation,12,repair fan,1.5046
1,promotes_deviation,13,csb basement,1.4191
1,promotes_deviation,14,dental 6th,1.4042
1,promotes_deviation,15,bsmt,1.3861
1,suppresses_deviation,1,zn5,-2.2739
1,suppresses_deviation,2,tupper,-1.9349
1,suppresses_deviation,3,pc,-1.9209
1,suppresses_deviation,4,killam,-1.839
1,suppresses_deviation,5,check heat,-1.7944
1,suppresses_deviation,6,cheb,-1.7898
1,suppresses_deviation,7,gm hicks,-1.7891
1,suppresses_deviation,8,risley 1st,-1.689
1,suppresses_deviation,9,back flow,-1.6435
1,suppresses_deviation,10,water tank,-1.5718
1,suppresses_deviation,11,mccain,-1.54
1,suppresses_deviation,12,cleanup,-1.5362
1,suppresses_deviation,13,building replace,-1.5234
1,suppresses_deviation,14,flow on,-1.5149
1,suppresses_deviation,15,hicks,-1.5115
9,promotes_deviation,1,the light,1.2514
9,promotes_deviation,2,handicapped,1.2304
9,promotes_deviation,3,flush,1.1642
9,promotes_deviation,4,fhc_h1,1.155
9,promotes_deviation,5,ansc the,1.1467
9,promotes_deviation,6,degrees,1.117
9,promotes_deviation,7,which,1.1155
9,promotes_deviation,8,cba room,1.1091
9,promotes_deviation,9,floor men,1.1022
9,promotes_deviation,10,stair,1.0995
9,promotes_deviation,11,access door,1.094
9,promotes_deviation,12,carpet,1.0916
9,promotes_deviation,13,down the,1.0908
9,promotes_deviation,14,mens restroom,1.0823
9,promotes_deviation,15,and they,1.0693
9,suppresses_deviation,1,ceiling is,-1.4287
9,suppresses_deviation,2,window is,-1.4173
9,suppresses_deviation,3,250,-1.3806
9,suppresses_deviation,4,door open,-1.3673
9,suppresses_deviation,5,located in,-1.3025
9,suppresses_deviation,6,sticks,-1.2213
9,suppresses_deviation,7,food,-1.2212
9,suppresses_deviation,8,to open,-1.2078
9,suppresses_deviation,9,lls the,-1.1887
9,suppresses_deviation,10,three,-1.1833
9,suppresses_deviation,11,eletech notified,-1.1704
9,suppresses_deviation,12,room 26,-1.1612
9,suppresses_deviation,13,lights are,-1.1604
9,suppresses_deviation,14,pumps,-1.1458
9,suppresses_deviation,15,lock is,-1.1271
10,promotes_deviation,1,broken door,1.7216
10,promotes_deviation,2,autoclave not,1.5952
10,promotes_deviation,3,please check,1.4767
10,promotes_deviation,4,replace,1.4416
10,promotes_deviation,5,spinning,1.4127
10,promotes_deviation,6,heating,1.366
10,promotes_deviation,7,is commanded,1.3495
10,promotes_deviation,8,from wall,1.3394
10,promotes_deviation,9,125,1.3284
10,promotes_deviation,10,faucet,1.3008
10,promotes_deviation,11,par,1.2956
10,promotes_deviation,12,door hardware,1.2858
10,promotes_deviation,13,needs to,1.2762
10,promotes_deviation,14,nms 210,1.2458
10,promotes_deviation,15,cs7,1.2287
10,suppresses_deviation,1,correct air,-1.9501
10,suppresses_deviation,2,tested,-1.8465
10,suppresses_deviation,3,lift,-1.7129
10,suppresses_deviation,4,lla,-1.6811
10,suppresses_deviation,5,phr 222,-1.6571
10,suppresses_deviation,6,uncomfortable,-1.6311
10,suppresses_deviation,7,115,-1.5089
10,suppresses_deviation,8,detector,-1.4232
10,suppresses_deviation,9,leak coming,-1.414
10,suppresses_deviation,10,stat broken,-1.3981
10,suppresses_deviation,11,sink in,-1.3864
10,suppresses_deviation,12,78,-1.3812
10,suppresses_deviation,13,attic,-1.3789
10,suppresses_deviation,14,544,-1.376
10,suppresses_deviation,15,nur 102,-1.3448
12,promotes_deviation,1,initial on,1.5451
12,promotes_deviation,2,by no,1.4306
12,promotes_deviation,3,mm,1.3442
12,promotes_deviation,4,parking,1.2322
12,promotes_deviation,5,by last,1.2302
12,promotes_deviation,6,windows,1.2085
12,promotes_deviation,7,wall,1.1928
12,promotes_deviation,8,by 20,1.1639
12,promotes_deviation,9,lab,1.0833
12,promotes_deviation,10,inspection on,1.023
12,promotes_deviation,11,request,1.0216
12,promotes_deviation,12,fix,0.9952
12,promotes_deviation,13,inspection initial,0.9734
12,promotes_deviation,14,sidewalk,0.9522
12,promotes_deviation,15,change,0.951
12,suppresses_deviation,1,2020 last,-1.9627
12,suppresses_deviation,2,metal,-1.8219
12,suppresses_deviation,3,reported,-1.776
12,suppresses_deviation,4,in 19,-1.7211
12,suppresses_deviation,5,mm hr5,-1.7014
12,suppresses_deviation,6,2020,-1.6619
12,suppresses_deviation,7,broken blind,-1.6564
12,suppresses_deviation,8,blind not,-1.6126
12,suppresses_deviation,9,railing,-1.5721
12,suppresses_deviation,10,ric,-1.5632
12,suppresses_deviation,11,mirror,-1.547
12,suppresses_deviation,12,dishroom,-1.5257
12,suppresses_deviation,13,hr5,-1.4034
12,suppresses_deviation,14,winter,-1.3956
12,suppresses_deviation,15,reported the,-1.3678
