source,campus,crew_m,beta,rule,n,pooled_u,worst_u,mean_rule,mean_oracle,pct_headroom,wins,ties,losses,incomplete,infeasible
replay,9,1.0,0.5,atc,40,0.3412,0.7812,584.1864,567.8231,2.8010,14,24,2,89.5000,0
replay,9,1.0,0.5,edd,40,0.3412,0.7812,583.9531,563.8481,3.4429,11,29,0,89.5000,0
replay,9,1.0,1.0,atc,40,0.3412,0.7812,582.1208,561.5158,3.5397,12,25,3,89.5000,0
replay,9,1.0,1.0,edd,40,0.3412,0.7812,573.8108,557.2241,2.8906,10,29,1,89.5000,0
replay,9,0.75,0.5,atc,40,0.4564,1.0746,660.4742,611.2442,7.4537,21,15,4,94.0250,0
replay,9,0.75,0.5,edd,40,0.4564,1.0746,685.9852,622.7802,9.2138,19,20,1,94.0250,0
replay,9,0.75,1.0,atc,40,0.4564,1.0746,659.5303,609.2556,7.6228,18,18,4,94.0250,0
replay,9,0.75,1.0,edd,40,0.4564,1.0746,685.7496,621.5308,9.3647,15,24,1,94.0250,0
replay,9,0.5,0.5,atc,40,0.6755,1.5597,993.2697,786.8258,20.7843,30,6,4,107.0250,0
replay,9,0.5,0.5,edd,40,0.6755,1.5597,1146.6054,877.6688,23.4550,31,8,1,107.0250,0
replay,9,0.5,1.0,atc,40,0.6755,1.5597,996.3224,827.3688,16.9577,27,9,4,107.0250,0
replay,9,0.5,1.0,edd,40,0.6755,1.5597,1148.4370,962.5792,16.1835,29,11,0,107.0250,0
replay,9,0.35,0.5,atc,40,0.9382,2.1403,1640.6646,1057.2429,35.5601,40,0,0,130.9750,0
replay,9,0.35,0.5,edd,40,0.9382,2.1403,2059.3099,1340.4899,34.9059,40,0,0,130.9750,0
replay,9,0.35,1.0,atc,40,0.9382,2.1403,1823.2753,1272.0810,30.2310,37,1,2,130.9750,0
replay,9,0.35,1.0,edd,40,0.9382,2.1403,2253.2217,1745.0648,22.5525,40,0,0,130.9750,0
replay,9,0.25,0.5,atc,40,1.2063,2.5154,2674.9437,1406.6192,47.4150,40,0,0,159.7000,0
replay,9,0.25,0.5,edd,40,1.2063,2.5154,3648.9607,2086.5119,42.8190,40,0,0,159.7000,0
replay,9,0.25,1.0,atc,40,1.2063,2.5154,3082.7197,1908.5773,38.0879,40,0,0,159.7000,0
replay,9,0.25,1.0,edd,40,1.2063,2.5154,4121.2247,2966.0015,28.0311,40,0,0,159.7000,0
replay,12,1.0,0.5,atc,40,0.6160,1.2514,1604.6162,1604.2912,0.0203,3,35,2,93.9750,0
replay,12,1.0,0.5,edd,40,0.6160,1.2514,1602.3060,1602.0412,0.0165,2,37,1,93.9750,0
replay,12,1.0,1.0,atc,40,0.6160,1.2514,1367.5795,1367.2300,0.0256,2,36,2,93.9750,0
replay,12,1.0,1.0,edd,40,0.6160,1.2514,1365.8750,1365.9356,-0.0044,1,36,3,93.9750,0
replay,12,0.75,0.5,atc,40,0.8185,1.6314,1613.8243,1609.5621,0.2641,9,26,5,98.0500,0
replay,12,0.75,0.5,edd,40,0.8185,1.6314,1608.7182,1605.0946,0.2252,10,28,2,98.0500,0
replay,12,0.75,1.0,atc,40,0.8185,1.6314,1379.1124,1376.8137,0.1667,9,25,6,98.0500,0
replay,12,0.75,1.0,edd,40,0.8185,1.6314,1371.3584,1370.8947,0.0338,6,29,5,98.0500,0
replay,12,0.5,0.5,atc,40,1.2455,2.6339,1708.2105,1682.9557,1.4784,25,8,7,114.6250,0
replay,12,0.5,0.5,edd,40,1.2455,2.6339,1720.3579,1661.9682,3.3940,29,8,3,114.6250,0
replay,12,0.5,1.0,atc,40,1.2455,2.6339,1495.2452,1469.3158,1.7341,28,7,5,114.6250,0
replay,12,0.5,1.0,edd,40,1.2455,2.6339,1491.6420,1448.8761,2.8670,26,6,8,114.6250,0
replay,12,0.35,0.5,atc,40,1.7102,3.4356,1955.5477,1845.9663,5.6036,38,0,2,146.1750,0
replay,12,0.35,0.5,edd,40,1.7102,3.4356,2047.4161,1803.2573,11.9252,39,0,1,146.1750,0
replay,12,0.35,1.0,atc,40,1.7102,3.4356,1763.0669,1654.7968,6.1410,34,1,5,146.1750,0
replay,12,0.35,1.0,edd,40,1.7102,3.4356,1849.4323,1633.1057,11.6969,36,1,3,146.1750,0
replay,12,0.25,0.5,atc,40,2.4910,5.2678,2972.2657,2489.0943,16.2560,40,0,0,189.5500,0
replay,12,0.25,0.5,edd,40,2.4910,5.2678,3655.2132,2652.8100,27.4239,40,0,0,189.5500,0
replay,12,0.25,1.0,atc,40,2.4910,5.2678,2860.8598,2459.6815,14.0230,37,0,3,189.5500,0
replay,12,0.25,1.0,edd,40,2.4910,5.2678,3604.0318,2686.1757,25.4675,39,0,1,189.5500,0
generator,9,1.0,0.5,atc,40,0.1666,0.2611,204.4817,204.4817,0.0000,0,40,0,16.7000,0
generator,9,1.0,0.5,edd,40,0.1666,0.2611,204.4817,204.4817,0.0000,0,40,0,16.7000,0
generator,9,1.0,1.0,atc,40,0.1666,0.2611,242.0357,242.0357,0.0000,0,40,0,16.7000,0
generator,9,1.0,1.0,edd,40,0.1666,0.2611,242.0357,242.0357,0.0000,0,40,0,16.7000,0
generator,9,0.75,0.5,atc,40,0.2229,0.3485,204.5943,204.5943,0.0000,0,40,0,16.7250,0
generator,9,0.75,0.5,edd,40,0.2229,0.3485,204.5943,204.5943,0.0000,0,40,0,16.7250,0
generator,9,0.75,1.0,atc,40,0.2229,0.3485,242.0357,242.0357,0.0000,0,40,0,16.7250,0
generator,9,0.75,1.0,edd,40,0.2229,0.3485,242.0357,242.0357,0.0000,0,40,0,16.7250,0
generator,9,0.5,0.5,atc,40,0.3299,0.5153,207.7013,207.3275,0.1800,1,39,0,17.0500,0
generator,9,0.5,0.5,edd,40,0.3299,0.5153,208.5946,207.3985,0.5734,2,38,0,17.0500,0
generator,9,0.5,1.0,atc,40,0.3299,0.5153,245.2272,244.8389,0.1583,1,39,0,17.0500,0
generator,9,0.5,1.0,edd,40,0.3299,0.5153,246.4212,246.0329,0.1576,1,39,0,17.0500,0
generator,9,0.35,0.5,atc,40,0.4582,0.7363,240.8535,236.7624,1.6986,6,32,2,18.9500,0
generator,9,0.35,0.5,edd,40,0.4582,0.7363,246.0285,236.6577,3.8088,8,31,1,18.9500,0
generator,9,0.35,1.0,atc,40,0.4582,0.7363,284.7209,279.3467,1.8875,9,31,0,18.9500,0
generator,9,0.35,1.0,edd,40,0.4582,0.7363,295.3403,282.3254,4.4067,8,31,1,18.9500,0
generator,9,0.25,0.5,atc,40,0.5891,0.9399,293.6319,292.8666,0.2606,15,18,7,23.3750,0
generator,9,0.25,0.5,edd,40,0.5891,0.9399,300.1179,290.7505,3.1213,17,14,9,23.3750,0
generator,9,0.25,1.0,atc,40,0.5891,0.9399,349.0911,338.7374,2.9659,19,16,5,23.3750,0
generator,9,0.25,1.0,edd,40,0.5891,0.9399,360.9443,340.2652,5.7292,17,17,6,23.3750,0
generator,12,1.0,0.5,atc,40,0.4701,0.8515,1435.5772,1435.2421,0.0233,1,39,0,75.4250,0
generator,12,1.0,0.5,edd,40,0.4701,0.8515,1435.2421,1435.2421,0.0000,0,40,0,75.4250,0
generator,12,1.0,1.0,atc,40,0.4701,0.8515,1186.4524,1186.4524,0.0000,0,40,0,75.4250,0
generator,12,1.0,1.0,edd,40,0.4701,0.8515,1186.4524,1186.4524,0.0000,0,40,0,75.4250,0
