scope,campus,cell,rule,beta,n,mean_rule,mean_oracle,abs_gap,pct_gap,oracle_wins,ties,oracle_losses,util_pooled,util_worst,incomplete_at_horizon,mean_nlate_rule
campus,9,pmmix_p20_c60,atc,0.25,30,808.5836,808.3351,0.2486,0.0307,2,28,0,0.2717,0.4528,17.50,15.23
campus,9,pmmix_p20_c100,atc,0.25,30,790.4089,790.4089,0.0000,0.0000,0,30,0,0.1647,0.2732,17.37,15.20
campus,9,pmmix_p50_c60,atc,0.25,30,415.9730,415.9730,0.0000,0.0000,0,30,0,0.2711,0.4269,18.87,8.00
campus,9,pmmix_p50_c100,atc,0.25,30,418.6225,418.6225,0.0000,0.0000,0,30,0,0.1643,0.2651,18.83,8.83
campus,9,pmmix_p80_c60,atc,0.25,30,235.4496,235.5153,-0.0658,-0.0279,0,29,1,0.2777,0.4515,19.50,4.13
campus,9,pmmix_p80_c100,atc,0.25,30,238.4948,238.4948,0.0000,0.0000,0,30,0,0.1683,0.2671,19.33,4.07
campus,9,gen400_default,atc,0.25,40,199.7157,199.7157,0.0000,0.0000,0,40,0,0.1658,0.2803,16.70,4.08
campus,9,pmmix_c60_poolpm,atc,0.25,90,486.6687,486.6078,0.0609,0.0125,2,87,1,0.2735,0.4437,18.62,9.12
campus,9,pmmix_c100_poolpm,atc,0.25,90,482.5087,482.5087,0.0000,0.0000,0,90,0,0.1658,0.2685,18.51,9.37
campus,12,pmmix_p20_c60,atc,0.25,30,1385.6375,1381.8781,3.7594,0.2713,6,19,5,0.7781,1.4217,80.20,16.20
campus,12,pmmix_p20_c100,atc,0.25,30,1463.3219,1463.3219,0.0000,0.0000,0,30,0,0.4685,0.8539,76.80,16.33
campus,12,pmmix_p50_c60,atc,0.25,30,920.5265,920.1858,0.3407,0.0370,3,26,1,0.7888,1.3821,80.53,10.20
campus,12,pmmix_p50_c100,atc,0.25,30,875.0521,875.0521,0.0000,0.0000,0,30,0,0.4750,0.8298,77.40,10.03
campus,12,pmmix_p80_c60,atc,0.25,30,479.5178,478.7892,0.7286,0.1519,4,26,0,0.7943,1.3747,80.33,5.30
campus,12,pmmix_p80_c100,atc,0.25,30,497.6517,497.6517,0.0000,0.0000,0,30,0,0.4783,0.8201,78.23,5.47
campus,12,gen400_default,atc,0.25,40,1490.7304,1490.3953,0.3351,0.0225,1,39,0,0.4756,0.8591,75.42,17.43
campus,12,pmmix_c60_poolpm,atc,0.25,90,928.5606,926.9510,1.6096,0.1733,13,71,6,0.7871,1.3928,80.36,10.57
campus,12,pmmix_c100_poolpm,atc,0.25,90,945.3419,945.3419,0.0000,0.0000,0,90,0,0.4739,0.8346,77.48,10.61
campus,5,pmmix_p20_c60,atc,0.25,30,205.9827,176.4158,29.5669,14.3541,10,20,0,0.4238,0.9322,35.60,4.27
campus,5,pmmix_p20_c100,atc,0.25,30,108.2489,108.0973,0.1516,0.1401,1,29,0,0.2521,0.4989,31.00,2.50
campus,5,pmmix_p50_c60,atc,0.25,30,72.1845,68.7093,3.4753,4.8144,5,25,0,0.4254,0.8364,34.17,2.17
campus,5,pmmix_p50_c100,atc,0.25,30,49.3886,49.3886,0.0000,0.0000,0,30,0,0.2531,0.4550,30.97,1.40
campus,5,pmmix_p80_c60,atc,0.25,30,45.0145,44.7720,0.2425,0.5387,1,28,1,0.4343,0.8035,34.47,1.13
