campus,track,cell,rule,beta,inst_id,n_wo,n_crew,window_bh,util_pooled,util_worst,worst_trade,incomplete_at_horizon,makespan,twt_rule,twt_oracle,nlate_rule,nlate_oracle
9,pmmix,pmmix_p20_c60,atc,0.25,c09_pmmix_400_p20_c60_0000,400,60,83.0688,0.2607,0.3913,D40,17,112.8332,889.6496,889.6496,14,14
9,pmmix,pmmix_p20_c60,edd,0.25,c09_pmmix_400_p20_c60_0000,400,60,83.0688,0.2607,0.3913,D40,17,112.8332,889.6496,889.6496,-1,-1
9,pmmix,pmmix_p20_c60,atc,0.5,c09_pmmix_400_p20_c60_0000,400,60,83.0688,0.2607,0.3913,D40,17,112.8332,961.3800,961.3800,15,15
9,pmmix,pmmix_p20_c60,edd,0.5,c09_pmmix_400_p20_c60_0000,400,60,83.0688,0.2607,0.3913,D40,17,112.8332,961.3800,961.3800,-1,-1
9,pmmix,pmmix_p20_c60,atc,1.0,c09_pmmix_400_p20_c60_0000,400,60,83.0688,0.2607,0.3913,D40,17,112.8332,987.3712,987.3712,17,17
9,pmmix,pmmix_p20_c60,edd,1.0,c09_pmmix_400_p20_c60_0000,400,60,83.0688,0.2607,0.3913,D40,17,112.8332,987.3712,987.3712,-1,-1
9,pmmix,pmmix_p20_c60,atc,0.25,c09_pmmix_400_p20_c60_0001,400,60,86.1902,0.2636,0.4713,D50,18,118.9047,583.6088,583.6088,18,18
9,pmmix,pmmix_p20_c60,edd,0.25,c09_pmmix_400_p20_c60_0001,400,60,86.1902,0.2636,0.4713,D50,18,118.9047,583.6088,583.6088,-1,-1
9,pmmix,pmmix_p20_c60,atc,0.5,c09_pmmix_400_p20_c60_0001,400,60,86.1902,0.2636,0.4713,D50,18,118.9047,571.4824,571.4824,18,18
9,pmmix,pmmix_p20_c60,edd,0.5,c09_pmmix_400_p20_c60_0001,400,60,86.1902,0.2636,0.4713,D50,18,118.9047,571.4824,571.4824,-1,-1
9,pmmix,pmmix_p20_c60,atc,1.0,c09_pmmix_400_p20_c60_0001,400,60,86.1902,0.2636,0.4713,D50,18,118.9047,556.9960,556.9960,19,19
9,pmmix,pmmix_p20_c60,edd,1.0,c09_pmmix_400_p20_c60_0001,400,60,86.1902,0.2636,0.4713,D50,18,118.9047,556.9960,556.9960,-1,-1
9,pmmix,pmmix_p20_c60,atc,0.25,c09_pmmix_400_p20_c60_0002,400,60,84.1058,0.2693,0.4222,D20,21,109.3393,643.9624,643.9624,16,16
9,pmmix,pmmix_p20_c60,edd,0.25,c09_pmmix_400_p20_c60_0002,400,60,84.1058,0.2693,0.4222,D20,21,109.3393,643.9624,643.9624,-1,-1
9,pmmix,pmmix_p20_c60,atc,0.5,c09_pmmix_400_p20_c60_0002,400,60,84.1058,0.2693,0.4222,D20,21,109.3393,882.9624,882.9624,16,16
9,pmmix,pmmix_p20_c60,edd,0.5,c09_pmmix_400_p20_c60_0002,400,60,84.1058,0.2693,0.4222,D20,21,109.3393,882.9624,882.9624,-1,-1
9,pmmix,pmmix_p20_c60,atc,1.0,c09_pmmix_400_p20_c60_0002,400,60,84.1058,0.2693,0.4222,D20,21,109.3393,897.7728,897.7728,17,17
9,pmmix,pmmix_p20_c60,edd,1.0,c09_pmmix_400_p20_c60_0002,400,60,84.1058,0.2693,0.4222,D20,21,109.3393,897.7728,897.7728,-1,-1
9,pmmix,pmmix_p20_c60,atc,0.25,c09_pmmix_400_p20_c60_0003,400,60,87.0435,0.2673,0.3883,D50,19,96.3526,714.0864,714.0864,18,18
9,pmmix,pmmix_p20_c60,edd,0.25,c09_pmmix_400_p20_c60_0003,400,60,87.0435,0.2673,0.3883,D50,19,96.3526,714.0864,714.0864,-1,-1
9,pmmix,pmmix_p20_c60,atc,0.5,c09_pmmix_400_p20_c60_0003,400,60,87.0435,0.2673,0.3883,D50,19,96.3526,673.0088,673.0088,17,17
9,pmmix,pmmix_p20_c60,edd,0.5,c09_pmmix_400_p20_c60_0003,400,60,87.0435,0.2673,0.3883,D50,19,96.3526,673.0088,673.0088,-1,-1
