campus,size,arrival,rule,beta,inst_id,twt_rule,twt_oracle,twt_rule_wonly,twt_oracle_wonly,n_shift,feasible,util_pooled,util_worst,worst_trade,window_bh,makespan,incomplete_at_window,n_wos
9,150,a125,atc,0.25,c09_storm_150_a125_c80_0000,6.4792,6.4792,6.4792,6.4792,101,1,0.2707,0.5324,C10,25.540,54.453,17,150
9,150,a125,edd,0.25,c09_storm_150_a125_c80_0000,6.4792,6.4792,,,101,1,0.2707,0.5324,C10,25.540,54.453,17,150
9,150,a125,atc,0.5,c09_storm_150_a125_c80_0000,6.4792,6.4792,6.4792,6.4792,95,1,0.2707,0.5324,C10,25.540,54.453,17,150
9,150,a125,edd,0.5,c09_storm_150_a125_c80_0000,6.4792,6.4792,,,95,1,0.2707,0.5324,C10,25.540,54.453,17,150
9,150,a125,atc,1.0,c09_storm_150_a125_c80_0000,6.4792,6.4792,6.4792,6.4792,73,1,0.2707,0.5324,C10,25.540,54.453,17,150
9,150,a125,edd,1.0,c09_storm_150_a125_c80_0000,6.4792,6.4792,,,73,1,0.2707,0.5324,C10,25.540,54.453,17,150
9,150,a125,atc,0.25,c09_storm_150_a125_c80_0001,13.1224,13.1224,0.0000,0.0000,89,1,0.2449,0.4657,D40,29.548,53.904,19,150
9,150,a125,edd,0.25,c09_storm_150_a125_c80_0001,13.1224,13.1224,,,89,1,0.2449,0.4657,D40,29.548,53.904,19,150
9,150,a125,atc,0.5,c09_storm_150_a125_c80_0001,13.1224,13.1224,0.0000,0.0000,90,1,0.2449,0.4657,D40,29.548,53.904,19,150
9,150,a125,edd,0.5,c09_storm_150_a125_c80_0001,13.1224,13.1224,,,90,1,0.2449,0.4657,D40,29.548,53.904,19,150
9,150,a125,atc,1.0,c09_storm_150_a125_c80_0001,29.1872,29.1872,0.0000,0.0000,80,1,0.2449,0.4657,D40,29.548,53.904,19,150
9,150,a125,edd,1.0,c09_storm_150_a125_c80_0001,29.1872,29.1872,,,80,1,0.2449,0.4657,D40,29.548,53.904,19,150
9,150,a125,atc,0.25,c09_storm_150_a125_c80_0002,0.0000,0.0000,0.0000,0.0000,87,1,0.2645,0.4517,D20,25.408,40.857,20,150
9,150,a125,edd,0.25,c09_storm_150_a125_c80_0002,0.0000,0.0000,,,87,1,0.2645,0.4517,D20,25.408,40.857,20,150
9,150,a125,atc,0.5,c09_storm_150_a125_c80_0002,0.0000,0.0000,0.0000,0.0000,85,1,0.2645,0.4517,D20,25.408,40.857,20,150
