scope,rule,u,beta,util_pool,util_worst,inc_atc_frac,inc_atc,n_wos,n,mean_rule,mean_oracle,pct_headroom,wins,ties,losses
pool_9+12,atc,70,0.25,0.6902,0.9498,0.0568,101.6250,1757.0833,24,4539.3249,4533.6612,0.1248,6,10,8
pool_9+12,edd,70,0.25,0.6902,0.9498,0.0568,101.6250,1757.0833,24,4531.9104,4533.6612,-0.0386,6,9,9
pool_9+12,atc,70,0.5,0.6902,0.9498,0.0568,101.6250,1757.0833,24,4691.2859,4687.3892,0.0831,3,12,9
pool_9+12,edd,70,0.5,0.6902,0.9498,0.0568,101.6250,1757.0833,24,4685.2244,4687.3892,-0.0462,4,10,10
pool_9+12,atc,70,0.75,0.6902,0.9498,0.0568,101.6250,1757.0833,24,4821.3884,4817.5198,0.0802,4,10,10
pool_9+12,edd,70,0.75,0.6902,0.9498,0.0568,101.6250,1757.0833,24,4813.7446,4817.5198,-0.0784,5,8,11
pool_9+12,atc,70,1.0,0.6902,0.9498,0.0568,101.6250,1757.0833,24,4655.3530,4661.1650,-0.1248,4,9,11
pool_9+12,edd,70,1.0,0.6902,0.9498,0.0568,101.6250,1757.0833,24,4647.5693,4661.1650,-0.2925,2,8,14
pool_9+12,atc,90,0.25,0.9019,1.2097,0.0944,211.4583,2259.4583,24,6049.3413,5839.1917,3.4739,23,0,1
pool_9+12,edd,90,0.25,0.9019,1.2097,0.0944,211.4583,2259.4583,24,5972.9785,5839.1917,2.2399,20,0,4
pool_9+12,atc,90,0.5,0.9019,1.2097,0.0944,211.4583,2259.4583,24,6345.4800,6161.9011,2.8931,21,0,3
pool_9+12,edd,90,0.5,0.9019,1.2097,0.0944,211.4583,2259.4583,24,6283.4601,6161.9011,1.9346,16,0,8
pool_9+12,atc,90,0.75,0.9019,1.2097,0.0944,211.4583,2259.4583,24,6444.8402,6280.4221,2.5512,17,0,7
pool_9+12,edd,90,0.75,0.9019,1.2097,0.0944,211.4583,2259.4583,24,6384.7907,6280.4221,1.6346,14,0,10
pool_9+12,atc,90,1.0,0.9019,1.2097,0.0944,211.4583,2259.4583,24,6395.4761,6223.9019,2.6827,15,0,9
pool_9+12,edd,90,1.0,0.9019,1.2097,0.0944,211.4583,2259.4583,24,6315.4167,6223.9019,1.4491,16,0,8
pool_9+12,atc,100,0.25,1.0005,1.3500,0.1275,314.6250,2513.2500,24,7352.3793,6755.3819,8.1198,22,0,2
pool_9+12,edd,100,0.25,1.0005,1.3500,0.1275,314.6250,2513.2500,24,7469.6543,6755.3819,9.5623,23,0,1
pool_9+12,atc,100,0.5,1.0005,1.3500,0.1275,314.6250,2513.2500,24,7457.1233,6822.5906,8.5091,22,0,2
pool_9+12,edd,100,0.5,1.0005,1.3500,0.1275,314.6250,2513.2500,24,7636.9775,6822.5906,10.6637,23,0,1
pool_9+12,atc,100,0.75,1.0005,1.3500,0.1275,314.6250,2513.2500,24,7738.6702,7065.6514,8.6968,19,0,5
pool_9+12,edd,100,0.75,1.0005,1.3500,0.1275,314.6250,2513.2500,24,7956.2808,7065.6514,11.1940,21,0,3
pool_9+12,atc,100,1.0,1.0005,1.3500,0.1275,314.6250,2513.2500,24,7755.5967,7035.1023,9.2900,18,0,6
pool_9+12,edd,100,1.0,1.0005,1.3500,0.1275,314.6250,2513.2500,24,8016.3293,7035.1023,12.2404,18,0,6
pool_9+12,atc,110,0.25,1.0880,1.4635,0.1657,444.8333,2749.0417,24,9596.2087,7842.8238,18.2716,24,0,0
pool_9+12,edd,110,0.25,1.0880,1.4635,0.1657,444.8333,2749.0417,24,9863.1356,7842.8238,20.4835,24,0,0
pool_9+12,atc,110,0.5,1.0880,1.4635,0.1657,444.8333,2749.0417,24,10052.3793,8048.8809,19.9306,24,0,0
pool_9+12,edd,110,0.5,1.0880,1.4635,0.1657,444.8333,2749.0417,24,10389.6666,8048.8809,22.5299,24,0,0
pool_9+12,atc,110,0.75,1.0880,1.4635,0.1657,444.8333,2749.0417,24,10489.3680,8247.8711,21.3692,23,0,1
pool_9+12,edd,110,0.75,1.0880,1.4635,0.1657,444.8333,2749.0417,24,10933.7452,8247.8711,24.5650,24,0,0
pool_9+12,atc,110,1.0,1.0880,1.4635,0.1657,444.8333,2749.0417,24,10695.9129,8099.6288,24.2736,23,0,1
pool_9+12,edd,110,1.0,1.0880,1.4635,0.1657,444.8333,2749.0417,24,11318.3046,8099.6288,28.4378,24,0,0
pool_9+12,atc,130,0.25,1.3155,1.7680,0.2648,858.2917,3287.2500,24,16911.6896,9797.1857,42.0686,24,0,0
pool_9+12,edd,130,0.25,1.3155,1.7680,0.2648,858.2917,3287.2500,24,18770.3988,9797.1857,47.8051,24,0,0
pool_9+12,atc,130,0.5,1.3155,1.7680,0.2648,858.2917,3287.2500,24,18357.9089,10256.8549,44.1284,24,0,0
pool_9+12,edd,130,0.5,1.3155,1.7680,0.2648,858.2917,3287.2500,24,20665.2113,10256.8549,50.3666,24,0,0
pool_9+12,atc,130,0.75,1.3155,1.7680,0.2648,858.2917,3287.2500,24,19904.7352,10569.6183,46.8990,24,0,0
pool_9+12,edd,130,0.75,1.3155,1.7680,0.2648,858.2917,3287.2500,24,22667.2695,10569.6183,53.3706,24,0,0
