source,campus,crew_m,beta,inst_id,pooled_u,worst_u,incomplete,rec_atc,or_atc,pred_atc,rec_port,true_port,pred_port,rec_ga,true_ga,pred_ga,rulesup,rev_frac,or_rate
replay,9,0.25,0.0,c09_replay_400_0000,0.05532533614702339,0.2250691918660274,138,2605.0624000000034,1661.9124000000015,2605.0624000000034,2105.5460000000026,1661.9124000000015,2105.5460000000026,2837.7635999999966,1627.2960000000012,2837.7635999999966,2278.5624000000034,0.2379182156133829,0.046875
replay,9,0.25,0.25,c09_replay_400_0000,0.05532533614702339,0.2250691918660274,138,3161.4920000000043,1894.9584000000032,3131.1256000000035,2484.342000000004,1859.3584000000033,2488.4756000000034,2893.625199999998,1578.566400000001,3366.366799999999,2705.4920000000043,0.241635687732342,0.06153846153846154
replay,9,0.25,0.5,c09_replay_400_0000,0.05532533614702339,0.2250691918660274,138,3429.2216000000026,2106.6880000000033,2617.4552000000017,2637.0716000000025,2017.0880000000034,2617.4552000000017,3308.1548000000003,1706.6292000000012,3393.0924000000023,3042.7216000000026,0.241635687732342,0.046153846153846156
replay,9,0.25,1.0,c09_replay_400_0000,0.05532533614702339,0.2250691918660274,138,2920.8012000000026,2133.4552000000017,2133.4552000000017,2344.3012000000026,2133.4552000000017,2133.4552000000017,3439.7508000000025,1996.5717000000016,1996.5717000000016,2739.0716000000025,0.2379182156133829,0.015625
replay,9,0.25,0.0,c09_replay_400_0001,0.9966517857142857,1.8303571428571428,88,557.3,388.9,557.3,520.5668,373.5,520.5668,520.5668,373.5,520.5668,469.7,0.24358974358974358,0.039473684210526314
replay,9,0.25,0.25,c09_replay_400_0001,0.9966517857142857,1.8303571428571428,88,984.1999999999999,853.8,921.8,984.1999999999999,853.5336,888.5999999999999,991.5335999999999,605.0,865.0,922.5999999999999,0.24838709677419354,0.03896103896103896
replay,9,0.25,0.5,c09_replay_400_0001,0.9966517857142857,1.8303571428571428,88,961.5999999999999,817.2669999999999,920.067,961.5999999999999,805.2669999999999,873.067,968.6671999999999,390.0,598.5332,855.9333999999999,0.25161290322580643,0.05128205128205128
replay,9,0.25,1.0,c09_replay_400_0001,0.9966517857142857,1.8303571428571428,88,1525.8667999999998,1445.6003999999998,1445.6003999999998,1525.8667999999998,1412.8003999999999,1412.8003999999999,1978.0672,757.0,757.0,1491.8667999999998,0.25161290322580643,0.038461538461538464
replay,9,0.25,0.0,c09_replay_400_0002,1.1097041198501874,1.8820224719101124,50,923.0671999999998,614.9336000000001,923.0671999999998,898.2664,582.1335999999999,898.2664,941.7336000000001,558.1344000000001,941.7336000000001,685.7328,0.2485207100591716,0.11904761904761904
replay,9,0.25,0.25,c09_replay_400_0002,1.1097041198501874,1.8820224719101124,50,1001.8003999999999,576.3996,779.0668,977.0663999999999,507.6003999999999,779.0668,1017.6668,405.8,1049.5996,622.6664,0.2485207100591716,0.14285714285714285
