campus,track,size,n_files,distinct_bldg
5,replay,150,200,28
5,replay,400,192,107
5,generator,150,100,0
5,generator,400,100,0
5,storm,150,240,0
5,storm,400,240,0
5,storm2,w80,150,0
5,pmmix,150,270,0
5,pmmix,400,270,0
9,replay,150,200,0
9,replay,400,171,0
9,generator,150,100,0
9,generator,400,100,0
9,storm,150,240,0
9,storm,400,240,0
9,storm2,w80,150,0
9,pmmix,150,270,0
9,pmmix,400,270,0
10,replay,150,200,63
10,replay,400,200,112
10,generator,150,100,0
10,generator,400,100,0
10,storm,150,240,0
10,storm,400,240,0
10,storm2,w80,150,0
10,pmmix,150,270,0
10,pmmix,400,270,0
12,replay,150,200,0
12,replay,400,160,0
12,generator,150,100,0
12,generator,400,100,0
12,storm,150,240,0
12,storm,400,240,0
12,storm2,w80,150,0
12,pmmix,150,270,0
12,pmmix,400,270,0
