campus,track,size,alpha,n,mean_restr_jobs,mean_rule_rec_twt,mean_rule_access,mean_rule_twt_access,reorder_mean_twt,reorder_pct_headroom,reorder_W_T_L,defer_mean_twt,defer_mean_rec_twt,defer_mean_access,defer_pct_headroom,defer_W_T_L
5,replay,150,0.1,100,15.05,7.284,222.72,230.004,210.697,8.394,10/90/0,7.818,7.818,0.0,96.601,92/8/0
5,replay,150,0.2,100,28.12,7.284,440.96,448.244,406.124,9.396,12/88/0,8.08,8.08,0.0,98.197,93/7/0
5,replay,400,0.1,100,41.09,11.877,752.0,763.877,602.556,21.119,48/52/0,11.857,11.857,0.0,98.448,99/1/0
5,replay,400,0.2,100,79.03,11.877,1489.28,1501.157,1174.058,21.79,56/42/2,11.942,11.942,0.0,99.205,100/0/0
9,pmmix,150,0.1,100,0.0,142.873,0.0,142.873,142.873,0.0,0/100/0,142.873,142.873,0.0,0.0,0/100/0
9,pmmix,150,0.2,100,0.0,142.873,0.0,142.873,142.873,0.0,0/100/0,142.873,142.873,0.0,0.0,0/100/0
9,storm,150,0.1,100,0.0,25.905,0.0,25.905,25.905,0.0,0/100/0,25.905,25.905,0.0,0.0,0/100/0
9,storm,150,0.2,100,0.0,25.905,0.0,25.905,25.905,0.0,0/100/0,25.905,25.905,0.0,0.0,0/100/0
10,replay,150,0.1,100,14.09,39.21,127.36,166.57,160.831,3.445,4/96/0,39.326,39.326,0.0,76.391,38/62/0
10,replay,150,0.2,100,30.49,39.21,256.64,295.85,274.144,7.337,10/90/0,39.476,39.476,0.0,86.657,49/51/0
10,replay,400,0.1,100,37.32,71.237,560.0,631.237,522.586,17.212,30/70/0,71.663,71.663,0.0,88.647,78/22/0
10,replay,400,0.2,100,75.9,71.237,1048.96,1120.197,923.966,17.518,40/59/1,71.848,71.848,0.0,93.586,84/15/1
12,pmmix,150,0.1,100,0.0,500.532,0.0,500.532,500.532,0.0,0/100/0,500.532,500.532,0.0,0.0,0/100/0
12,pmmix,150,0.2,100,0.0,500.532,0.0,500.532,500.532,0.0,0/100/0,500.532,500.532,0.0,0.0,0/100/0
12,storm,150,0.1,100,0.0,636.455,0.0,636.455,636.455,0.0,0/100/0,636.455,636.455,0.0,0.0,0/100/0
12,storm,150,0.2,100,0.0,636.455,0.0,636.455,636.455,0.0,0/100/0,636.455,636.455,0.0,0.0,0/100/0
