campus,track,size,alpha,inst_id,n_bldg,n_restr_bldg,n_restr_jobs,rule_rec,rule_access,rule_twt,rule_feas,reorder_twt,reorder_access,reorder_feas,defer_twt,defer_rec,defer_access,defer_feas
5,replay,150,0.1,c05_replay_150_0000,28,2,3,0.0,0.0,0.0,True,0.0,0.0,True,0.0,0.0,0.0,True
5,replay,150,0.2,c05_replay_150_0000,28,6,28,0.0,1280.0,1280.0,True,1280.0,1280.0,True,0.0,0.0,0.0,True
5,replay,150,0.1,c05_replay_150_0001,81,6,12,0.0,192.0,192.0,True,192.0,192.0,True,0.0,0.0,0.0,True
5,replay,150,0.2,c05_replay_150_0001,81,15,25,0.0,448.0,448.0,True,448.0,448.0,True,0.0,0.0,0.0,True
5,replay,150,0.1,c05_replay_150_0002,69,4,7,0.0,128.0,128.0,True,128.0,128.0,True,0.0,0.0,0.0,True
5,replay,150,0.2,c05_replay_150_0002,69,10,18,0.0,192.0,192.0,True,192.0,192.0,True,0.0,0.0,0.0,True
5,replay,150,0.1,c05_replay_150_0003,52,4,9,0.0,192.0,192.0,True,192.0,192.0,True,0.0,0.0,0.0,True
5,replay,150,0.2,c05_replay_150_0003,52,7,14,0.0,320.0,320.0,True,320.0,320.0,True,0.0,0.0,0.0,True
5,replay,150,0.1,c05_replay_150_0004,74,7,15,0.0,64.0,64.0,True,64.0,64.0,True,0.0,0.0,0.0,True
5,replay,150,0.2,c05_replay_150_0004,74,15,31,0.0,384.0,384.0,True,384.0,384.0,True,0.0,0.0,0.0,True
5,replay,150,0.1,c05_replay_150_0005,75,16,35,0.0,192.0,192.0,True,192.0,192.0,True,0.0,0.0,0.0,True
5,replay,150,0.2,c05_replay_150_0005,75,25,56,0.0,704.0,704.0,True,704.0,704.0,True,0.0,0.0,0.0,True
5,replay,150,0.1,c05_replay_150_0006,68,6,10,0.0,256.0,256.0,True,256.0,256.0,True,0.0,0.0,0.0,True
5,replay,150,0.2,c05_replay_150_0006,68,14,39,0.0,640.0,640.0,True,320.0,320.0,True,0.0,0.0,0.0,True
5,replay,150,0.1,c05_replay_150_0007,67,7,16,0.0,256.0,256.0,True,64.0,64.0,True,0.0,0.0,0.0,True
5,replay,150,0.2,c05_replay_150_0007,67,10,22,0.0,448.0,448.0,True,192.0,192.0,True,0.0,0.0,0.0,True
5,replay,150,0.1,c05_replay_150_0008,65,2,7,21.729600000000005,320.0,341.7296,True,341.7296,320.0,True,21.729600000000005,21.729600000000005,0.0,True
5,replay,150,0.2,c05_replay_150_0008,65,9,16,21.729600000000005,512.0,533.7296,True,533.7296,512.0,True,21.729600000000005,21.729600000000005,0.0,True
5,replay,150,0.1,c05_replay_150_0009,87,3,9,0.0,64.0,64.0,True,64.0,64.0,True,0.0,0.0,0.0,True
5,replay,150,0.2,c05_replay_150_0009,87,11,22,0.0,384.0,384.0,True,384.0,384.0,True,0.0,0.0,0.0,True
5,replay,150,0.1,c05_replay_150_0010,55,6,9,0.0,128.0,128.0,True,128.0,128.0,True,0.0,0.0,0.0,True
5,replay,150,0.2,c05_replay_150_0010,55,13,19,0.0,192.0,192.0,True,192.0,192.0,True,0.0,0.0,0.0,True
5,replay,150,0.1,c05_replay_150_0011,39,3,9,0.0,0.0,0.0,True,0.0,0.0,True,0.0,0.0,0.0,True
5,replay,150,0.2,c05_replay_150_0011,39,6,12,0.0,0.0,0.0,True,0.0,0.0,True,0.0,0.0,0.0,True
5,replay,150,0.1,c05_replay_150_0012,74,8,10,0.0,192.0,192.0,True,192.0,192.0,True,0.0,0.0,0.0,True
5,replay,150,0.2,c05_replay_150_0012,74,15,26,0.0,448.0,448.0,True,448.0,448.0,True,0.0,0.0,0.0,True
5,replay,150,0.1,c05_replay_150_0013,14,2,45,0.0,0.0,0.0,True,0.0,0.0,True,0.0,0.0,0.0,True
5,replay,150,0.2,c05_replay_150_0013,14,2,45,0.0,0.0,0.0,True,0.0,0.0,True,0.0,0.0,0.0,True
5,replay,150,0.1,c05_replay_150_0014,64,7,17,0.0,384.0,384.0,True,384.0,384.0,True,0.0,0.0,0.0,True
5,replay,150,0.2,c05_replay_150_0014,64,14,30,0.0,640.0,640.0,True,640.0,640.0,True,0.0,0.0,0.0,True
5,replay,150,0.1,c05_replay_150_0015,76,5,10,0.0,64.0,64.0,True,0.0,0.0,True,0.0,0.0,0.0,True
5,replay,150,0.2,c05_replay_150_0015,76,13,27,0.0,320.0,320.0,True,320.0,320.0,True,0.0,0.0,0.0,True
5,replay,150,0.1,c05_replay_150_0016,74,8,13,0.0,192.0,192.0,True,192.0,192.0,True,0.0,0.0,0.0,True
5,replay,150,0.2,c05_replay_150_0016,74,14,25,0.0,320.0,320.0,True,320.0,320.0,True,0.0,0.0,0.0,True
5,replay,150,0.1,c05_replay_150_0017,72,5,8,0.0,192.0,192.0,True,192.0,192.0,True,0.0,0.0,0.0,True
5,replay,150,0.2,c05_replay_150_0017,72,15,28,0.0,640.0,640.0,True,640.0,640.0,True,0.0,0.0,0.0,True
5,replay,150,0.1,c05_replay_150_0018,72,8,12,21.729600000000005,192.0,213.7296,True,213.7296,192.0,True,21.729600000000005,21.729600000000005,0.0,True
5,replay,150,0.2,c05_replay_150_0018,72,15,21,21.729600000000005,192.0,213.7296,True,213.7296,192.0,True,21.729600000000005,21.729600000000005,0.0,True
5,replay,150,0.1,c05_replay_150_0019,79,7,10,0.0,64.0,64.0,True,64.0,64.0,True,0.0,0.0,0.0,True
5,replay,150,0.2,c05_replay_150_0019,79,14,27,0.0,320.0,320.0,True,320.0,320.0,True,0.0,0.0,0.0,True
5,replay,150,0.1,c05_replay_150_0020,73,9,18,0.0,256.0,256.0,True,256.0,256.0,True,0.0,0.0,0.0,True
5,replay,150,0.2,c05_replay_150_0020,73,22,41,0.0,768.0,768.0,True,768.0,768.0,True,0.0,0.0,0.0,True
5,replay,150,0.1,c05_replay_150_0021,87,5,8,21.729600000000005,256.0,277.7296,True,277.7296,256.0,True,21.729600000000005,21.729600000000005,0.0,True
5,replay,150,0.2,c05_replay_150_0021,87,10,14,21.729600000000005,320.0,341.7296,True,341.7296,320.0,True,21.729600000000005,21.729600000000005,0.0,True
