scope,campus,cell,rule,beta,n,mean_rule,mean_oracle,abs_gap,pct,wins,ties,losses
campus,5,storm/150/a125_c100,atc,0.5,30,5.7780,5.7780,0.0000,0.0000,0,30,0
campus,9,storm/150/a125_c100,atc,0.5,30,33.8443,33.8443,0.0000,0.0000,0,30,0
campus,10,storm/150/a125_c100,atc,0.5,30,22.1232,22.1232,0.0000,0.0000,0,30,0
campus,12,storm/150/a125_c100,atc,0.5,30,467.6966,467.6966,0.0000,0.0000,0,30,0
pooled_loaded,9+12,storm/150/a125_c100,atc,0.5,60,250.7705,250.7705,0.0000,0.0000,0,60,0
campus,5,storm/150/a125_c100,atc,1.0,30,11.0483,11.0483,0.0000,0.0000,0,30,0
campus,9,storm/150/a125_c100,atc,1.0,30,20.2447,20.2447,0.0000,0.0000,0,30,0
campus,10,storm/150/a125_c100,atc,1.0,30,22.1686,22.1686,0.0000,0.0000,0,30,0
campus,12,storm/150/a125_c100,atc,1.0,30,390.1006,390.1006,0.0000,0.0000,0,30,0
pooled_loaded,9+12,storm/150/a125_c100,atc,1.0,60,205.1726,205.1726,0.0000,0.0000,0,60,0
campus,5,storm/150/a125_c100,edd,0.5,30,5.7780,5.7780,0.0000,0.0000,0,30,0
campus,9,storm/150/a125_c100,edd,0.5,30,33.8443,33.8443,0.0000,0.0000,0,30,0
campus,10,storm/150/a125_c100,edd,0.5,30,22.1232,22.1232,0.0000,0.0000,0,30,0
campus,12,storm/150/a125_c100,edd,0.5,30,467.6966,467.6966,0.0000,0.0000,0,30,0
pooled_loaded,9+12,storm/150/a125_c100,edd,0.5,60,250.7705,250.7705,0.0000,0.0000,0,60,0
campus,5,storm/150/a125_c100,edd,1.0,30,11.0483,11.0483,0.0000,0.0000,0,30,0
campus,9,storm/150/a125_c100,edd,1.0,30,20.2447,20.2447,0.0000,0.0000,0,30,0
campus,10,storm/150/a125_c100,edd,1.0,30,22.1686,22.1686,0.0000,0.0000,0,30,0
campus,12,storm/150/a125_c100,edd,1.0,30,390.1006,390.1006,0.0000,0.0000,0,30,0
pooled_loaded,9+12,storm/150/a125_c100,edd,1.0,60,205.1726,205.1726,0.0000,0.0000,0,60,0
campus,5,storm/150/a125_c80,atc,0.5,30,6.3719,6.3719,0.0000,0.0000,0,30,0
campus,9,storm/150/a125_c80,atc,0.5,30,25.9112,25.9112,0.0000,0.0000,0,30,0
campus,10,storm/150/a125_c80,atc,0.5,30,18.2339,18.2339,0.0000,0.0000,0,30,0
campus,12,storm/150/a125_c80,atc,0.5,30,528.5300,528.5300,0.0000,0.0000,0,30,0
pooled_loaded,9+12,storm/150/a125_c80,atc,0.5,60,277.2206,277.2206,0.0000,0.0000,0,60,0
campus,5,storm/150/a125_c80,atc,1.0,30,11.0483,11.0483,0.0000,0.0000,0,30,0
campus,9,storm/150/a125_c80,atc,1.0,30,20.2447,20.2447,0.0000,0.0000,0,30,0
campus,10,storm/150/a125_c80,atc,1.0,30,22.1686,22.1686,0.0000,0.0000,0,30,0
campus,12,storm/150/a125_c80,atc,1.0,30,390.1182,390.1182,0.0000,0.0000,0,30,0
pooled_loaded,9+12,storm/150/a125_c80,atc,1.0,60,205.1815,205.1815,0.0000,0.0000,0,60,0
campus,5,storm/150/a125_c80,edd,0.5,30,6.3719,6.3719,0.0000,0.0000,0,30,0
campus,9,storm/150/a125_c80,edd,0.5,30,25.9112,25.9112,0.0000,0.0000,0,30,0
campus,10,storm/150/a125_c80,edd,0.5,30,18.2339,18.2339,0.0000,0.0000,0,30,0
campus,12,storm/150/a125_c80,edd,0.5,30,528.5300,528.5300,0.0000,0.0000,0,30,0
pooled_loaded,9+12,storm/150/a125_c80,edd,0.5,60,277.2206,277.2206,0.0000,0.0000,0,60,0
campus,5,storm/150/a125_c80,edd,1.0,30,11.0483,11.0483,0.0000,0.0000,0,30,0
campus,9,storm/150/a125_c80,edd,1.0,30,20.2447,20.2447,0.0000,0.0000,0,30,0
campus,10,storm/150/a125_c80,edd,1.0,30,22.1686,22.1686,0.0000,0.0000,0,30,0
campus,12,storm/150/a125_c80,edd,1.0,30,390.1182,390.1182,0.0000,0.0000,0,30,0
pooled_loaded,9+12,storm/150/a125_c80,edd,1.0,60,205.1815,205.1815,0.0000,0.0000,0,60,0
campus,5,storm/150/a150_c100,atc,0.5,30,7.3889,7.3889,0.0000,0.0000,0,30,0
campus,9,storm/150/a150_c100,atc,0.5,30,19.8413,19.8413,0.0000,0.0000,0,30,0
campus,10,storm/150/a150_c100,atc,0.5,30,18.6307,18.6307,0.0000,0.0000,0,30,0
campus,12,storm/150/a150_c100,atc,0.5,30,472.1463,472.1463,0.0000,0.0000,0,30,0
pooled_loaded,9+12,storm/150/a150_c100,atc,0.5,60,245.9938,245.9938,0.0000,0.0000,0,60,0
campus,5,storm/150/a150_c100,atc,1.0,30,11.0483,11.0483,0.0000,0.0000,0,30,0
campus,9,storm/150/a150_c100,atc,1.0,30,21.1319,21.1319,0.0000,0.0000,0,30,0
campus,10,storm/150/a150_c100,atc,1.0,30,22.1686,22.1686,0.0000,0.0000,0,30,0
campus,12,storm/150/a150_c100,atc,1.0,30,390.1006,390.1006,0.0000,0.0000,0,30,0
pooled_loaded,9+12,storm/150/a150_c100,atc,1.0,60,205.6163,205.6163,0.0000,0.0000,0,60,0
campus,5,storm/150/a150_c100,edd,0.5,30,7.3889,7.3889,0.0000,0.0000,0,30,0
campus,9,storm/150/a150_c100,edd,0.5,30,19.8413,19.8413,0.0000,0.0000,0,30,0
campus,10,storm/150/a150_c100,edd,0.5,30,18.6307,18.6307,0.0000,0.0000,0,30,0
campus,12,storm/150/a150_c100,edd,0.5,30,472.1463,472.1463,0.0000,0.0000,0,30,0
pooled_loaded,9+12,storm/150/a150_c100,edd,0.5,60,245.9938,245.9938,0.0000,0.0000,0,60,0
campus,5,storm/150/a150_c100,edd,1.0,30,11.0483,11.0483,0.0000,0.0000,0,30,0
campus,9,storm/150/a150_c100,edd,1.0,30,21.1319,21.1319,0.0000,0.0000,0,30,0
campus,10,storm/150/a150_c100,edd,1.0,30,22.1686,22.1686,0.0000,0.0000,0,30,0
campus,12,storm/150/a150_c100,edd,1.0,30,390.1006,390.1006,0.0000,0.0000,0,30,0
pooled_loaded,9+12,storm/150/a150_c100,edd,1.0,60,205.6163,205.6163,0.0000,0.0000,0,60,0
campus,5,storm/150/a150_c80,atc,0.5,30,7.6056,7.6056,0.0000,0.0000,0,30,0
campus,9,storm/150/a150_c80,atc,0.5,30,21.3978,21.3978,0.0000,0.0000,0,30,0
campus,10,storm/150/a150_c80,atc,0.5,30,22.9172,22.9172,0.0000,0.0000,0,30,0
campus,12,storm/150/a150_c80,atc,0.5,30,490.5429,490.5429,0.0000,0.0000,0,30,0
pooled_loaded,9+12,storm/150/a150_c80,atc,0.5,60,255.9703,255.9703,0.0000,0.0000,0,60,0
campus,5,storm/150/a150_c80,atc,1.0,30,11.0483,11.0483,0.0000,0.0000,0,30,0
campus,9,storm/150/a150_c80,atc,1.0,30,21.1319,21.1319,0.0000,0.0000,0,30,0
campus,10,storm/150/a150_c80,atc,1.0,30,22.1686,22.1686,0.0000,0.0000,0,30,0
campus,12,storm/150/a150_c80,atc,1.0,30,390.2972,390.2972,0.0000,0.0000,0,30,0
pooled_loaded,9+12,storm/150/a150_c80,atc,1.0,60,205.7146,205.7146,0.0000,0.0000,0,60,0
campus,5,storm/150/a150_c80,edd,0.5,30,7.6056,7.6056,0.0000,0.0000,0,30,0
campus,9,storm/150/a150_c80,edd,0.5,30,21.3978,21.3978,0.0000,0.0000,0,30,0
campus,10,storm/150/a150_c80,edd,0.5,30,22.9172,22.9172,0.0000,0.0000,0,30,0
campus,12,storm/150/a150_c80,edd,0.5,30,490.5429,490.5429,0.0000,0.0000,0,30,0
pooled_loaded,9+12,storm/150/a150_c80,edd,0.5,60,255.9703,255.9703,0.0000,0.0000,0,60,0
campus,5,storm/150/a150_c80,edd,1.0,30,11.0483,11.0483,0.0000,0.0000,0,30,0
campus,9,storm/150/a150_c80,edd,1.0,30,21.1319,21.1319,0.0000,0.0000,0,30,0
campus,10,storm/150/a150_c80,edd,1.0,30,22.1686,22.1686,0.0000,0.0000,0,30,0
campus,12,storm/150/a150_c80,edd,1.0,30,390.2972,390.2972,0.0000,0.0000,0,30,0
pooled_loaded,9+12,storm/150/a150_c80,edd,1.0,60,205.7146,205.7146,0.0000,0.0000,0,60,0
campus,5,storm/150/a200_c100,atc,0.5,30,8.9740,8.8677,0.1062,1.1839,1,29,0
campus,9,storm/150/a200_c100,atc,0.5,30,53.0521,53.0521,0.0000,0.0000,0,30,0
campus,10,storm/150/a200_c100,atc,0.5,30,12.2508,12.2508,0.0000,0.0000,0,30,0
campus,12,storm/150/a200_c100,atc,0.5,30,493.0114,493.0114,0.0000,0.0000,0,30,0
pooled_loaded,9+12,storm/150/a200_c100,atc,0.5,60,273.0317,273.0317,0.0000,0.0000,0,60,0
campus,5,storm/150/a200_c100,atc,1.0,30,10.0308,10.0308,0.0000,0.0000,0,30,0
campus,9,storm/150/a200_c100,atc,1.0,30,56.6018,56.6018,0.0000,0.0000,0,30,0
campus,10,storm/150/a200_c100,atc,1.0,30,11.7507,11.7507,0.0000,0.0000,0,30,0
campus,12,storm/150/a200_c100,atc,1.0,30,403.5741,403.5741,0.0000,0.0000,0,30,0
pooled_loaded,9+12,storm/150/a200_c100,atc,1.0,60,230.0880,230.0880,0.0000,0.0000,0,60,0
campus,5,storm/150/a200_c100,edd,0.5,30,8.9740,8.8677,0.1062,1.1839,1,29,0
campus,9,storm/150/a200_c100,edd,0.5,30,53.0521,53.0521,0.0000,0.0000,0,30,0
campus,10,storm/150/a200_c100,edd,0.5,30,12.2508,12.2508,0.0000,0.0000,0,30,0
campus,12,storm/150/a200_c100,edd,0.5,30,493.0114,493.0114,0.0000,0.0000,0,30,0
pooled_loaded,9+12,storm/150/a200_c100,edd,0.5,60,273.0317,273.0317,0.0000,0.0000,0,60,0
campus,5,storm/150/a200_c100,edd,1.0,30,10.0308,10.0308,0.0000,0.0000,0,30,0
campus,9,storm/150/a200_c100,edd,1.0,30,56.6018,56.6018,0.0000,0.0000,0,30,0
campus,10,storm/150/a200_c100,edd,1.0,30,11.7507,11.7507,0.0000,0.0000,0,30,0
campus,12,storm/150/a200_c100,edd,1.0,30,403.5741,403.5741,0.0000,0.0000,0,30,0
pooled_loaded,9+12,storm/150/a200_c100,edd,1.0,60,230.0880,230.0880,0.0000,0.0000,0,60,0
campus,5,storm/150/a200_c80,atc,0.5,30,4.6521,4.6521,0.0000,0.0000,0,30,0
campus,9,storm/150/a200_c80,atc,0.5,30,54.2857,54.2857,0.0000,0.0000,0,30,0
campus,10,storm/150/a200_c80,atc,0.5,30,20.2834,20.2834,0.0000,0.0000,0,30,0
campus,12,storm/150/a200_c80,atc,0.5,30,659.8220,659.8220,0.0000,0.0000,0,30,0
pooled_loaded,9+12,storm/150/a200_c80,atc,0.5,60,357.0539,357.0539,0.0000,0.0000,0,60,0
