campus,track,level,rule,beta,inst_id,twt_rule,twt_oracle
5,storm,a125_c100,atc,0.5,c05_storm_150_a125_c100_0000,23.2798,23.2798
5,storm,a125_c100,edd,0.5,c05_storm_150_a125_c100_0000,23.2798,23.2798
5,storm,a125_c100,atc,1.0,c05_storm_150_a125_c100_0000,46.0834,46.0834
5,storm,a125_c100,edd,1.0,c05_storm_150_a125_c100_0000,46.0834,46.0834
5,storm,a125_c100,atc,0.5,c05_storm_150_a125_c100_0001,0.0000,0.0000
5,storm,a125_c100,edd,0.5,c05_storm_150_a125_c100_0001,0.0000,0.0000
5,storm,a125_c100,atc,1.0,c05_storm_150_a125_c100_0001,7.8872,7.8872
5,storm,a125_c100,edd,1.0,c05_storm_150_a125_c100_0001,7.8872,7.8872
5,storm,a125_c100,atc,0.5,c05_storm_150_a125_c100_0002,9.4316,9.4316
5,storm,a125_c100,edd,0.5,c05_storm_150_a125_c100_0002,9.4316,9.4316
5,storm,a125_c100,atc,1.0,c05_storm_150_a125_c100_0002,9.4316,9.4316
5,storm,a125_c100,edd,1.0,c05_storm_150_a125_c100_0002,9.4316,9.4316
5,storm,a125_c100,atc,0.5,c05_storm_150_a125_c100_0003,0.0000,0.0000
5,storm,a125_c100,edd,0.5,c05_storm_150_a125_c100_0003,0.0000,0.0000
5,storm,a125_c100,atc,1.0,c05_storm_150_a125_c100_0003,6.7882,6.7882
5,storm,a125_c100,edd,1.0,c05_storm_150_a125_c100_0003,6.7882,6.7882
5,storm,a125_c100,atc,0.5,c05_storm_150_a125_c100_0004,0.0000,0.0000
5,storm,a125_c100,edd,0.5,c05_storm_150_a125_c100_0004,0.0000,0.0000
5,storm,a125_c100,atc,1.0,c05_storm_150_a125_c100_0004,0.0000,0.0000
5,storm,a125_c100,edd,1.0,c05_storm_150_a125_c100_0004,0.0000,0.0000
5,storm,a125_c100,atc,0.5,c05_storm_150_a125_c100_0005,0.0000,0.0000
5,storm,a125_c100,edd,0.5,c05_storm_150_a125_c100_0005,0.0000,0.0000
5,storm,a125_c100,atc,1.0,c05_storm_150_a125_c100_0005,25.4994,25.4994
5,storm,a125_c100,edd,1.0,c05_storm_150_a125_c100_0005,25.4994,25.4994
5,storm,a125_c100,atc,0.5,c05_storm_150_a125_c100_0006,21.6114,21.6114
5,storm,a125_c100,edd,0.5,c05_storm_150_a125_c100_0006,21.6114,21.6114
5,storm,a125_c100,atc,1.0,c05_storm_150_a125_c100_0006,37.2120,37.2120
5,storm,a125_c100,edd,1.0,c05_storm_150_a125_c100_0006,37.2120,37.2120
5,storm,a125_c100,atc,0.5,c05_storm_150_a125_c100_0007,0.0000,0.0000
5,storm,a125_c100,edd,0.5,c05_storm_150_a125_c100_0007,0.0000,0.0000
5,storm,a125_c100,atc,1.0,c05_storm_150_a125_c100_0007,1.8182,1.8182
