scope,campus,cell,beta,n,mean_rule,mean_rule_fair,mean_oracle,pct_naive,pct_fair,wins,ties,losses,all_opt,all_opt_fair
campus,9,storm/150/a300_c80,0.5,20,381.5071,88.9655,88.9655,76.6805,0.0000,0,20,0,True,False
campus,12,storm/150/a300_c80,0.5,20,589.9853,329.1341,328.8255,44.2655,0.0937,1,19,0,True,False
pooled_loaded,9+12,storm/150/a300_c80,0.5,40,485.7462,209.0498,208.8955,56.9949,0.0738,1,39,0,True,False
campus,9,storm/150/a300_c80,1.0,20,319.5306,86.9665,86.9665,72.7830,0.0000,0,20,0,True,False
campus,12,storm/150/a300_c80,1.0,20,491.2512,324.6600,324.6460,33.9145,0.0043,0,20,0,True,False
pooled_loaded,9+12,storm/150/a300_c80,1.0,40,405.3909,205.8132,205.8062,49.2326,0.0034,0,40,0,True,False
campus,9,storm/150/a200_c100,0.5,20,136.4608,40.6755,40.6755,70.1925,0.0000,0,20,0,True,False
campus,12,storm/150/a200_c100,0.5,20,617.7907,478.7971,478.7971,22.4985,0.0000,0,20,0,True,False
pooled_loaded,9+12,storm/150/a200_c100,0.5,40,377.1258,259.7363,259.7363,31.1274,0.0000,0,40,0,True,False
campus,9,storm/150/a200_c100,1.0,20,127.6420,47.5699,47.5699,62.7318,0.0000,0,20,0,True,False
campus,12,storm/150/a200_c100,1.0,20,510.7194,391.0623,391.0623,23.4291,0.0000,0,20,0,True,False
pooled_loaded,9+12,storm/150/a200_c100,1.0,40,319.1807,219.3161,219.3161,31.2878,0.0000,0,40,0,True,False
campus,9,pmmix/150/p20_c60,0.5,20,261.9889,154.7034,154.4834,41.0344,0.1422,1,19,0,True,False
campus,12,pmmix/150/p20_c60,0.5,20,600.6086,436.4167,436.4167,27.3376,0.0000,0,20,0,True,False
pooled_loaded,9+12,pmmix/150/p20_c60,0.5,40,431.2988,295.5600,295.4500,31.4976,0.0372,1,39,0,True,False
campus,9,pmmix/150/p20_c60,1.0,20,257.0787,167.2949,167.0749,35.0102,0.1315,1,19,0,True,False
campus,12,pmmix/150/p20_c60,1.0,20,473.6111,334.7079,334.7079,29.3285,0.0000,0,20,0,True,False
pooled_loaded,9+12,pmmix/150/p20_c60,1.0,40,365.3449,251.0014,250.8914,31.3275,0.0438,1,39,0,True,False
