campus,track,size,level,beta,inst_id,nwo,status_rule,status_rule_fair,status_oracle,both_opt,both_opt_fair,twt_rule,twt_rule_fair,twt_oracle
9,storm,150,a300_c80,0.5,c09_storm_150_a300_c80_0000,150,OPTIMAL,FEASIBLE,OPTIMAL,True,False,213.2773,0.0000,0.0000
9,storm,150,a300_c80,1.0,c09_storm_150_a300_c80_0000,150,OPTIMAL,FEASIBLE,OPTIMAL,True,False,129.5436,0.0000,0.0000
9,storm,150,a300_c80,0.5,c09_storm_150_a300_c80_0001,150,OPTIMAL,FEASIBLE,OPTIMAL,True,False,837.0572,317.1557,317.1557
9,storm,150,a300_c80,1.0,c09_storm_150_a300_c80_0001,150,OPTIMAL,FEASIBLE,OPTIMAL,True,False,507.5726,308.4692,308.4692
9,storm,150,a300_c80,0.5,c09_storm_150_a300_c80_0002,150,OPTIMAL,FEASIBLE,OPTIMAL,True,False,461.9622,301.9512,301.9512
9,storm,150,a300_c80,1.0,c09_storm_150_a300_c80_0002,150,OPTIMAL,FEASIBLE,OPTIMAL,True,False,517.9622,301.9512,301.9512
9,storm,150,a300_c80,0.5,c09_storm_150_a300_c80_0003,150,OPTIMAL,FEASIBLE,OPTIMAL,True,False,120.0659,68.3896,68.3896
9,storm,150,a300_c80,1.0,c09_storm_150_a300_c80_0003,150,OPTIMAL,FEASIBLE,OPTIMAL,True,False,121.9359,68.3896,68.3896
9,storm,150,a300_c80,0.5,c09_storm_150_a300_c80_0004,150,OPTIMAL,FEASIBLE,OPTIMAL,True,False,664.5929,17.1884,17.1884
9,storm,150,a300_c80,1.0,c09_storm_150_a300_c80_0004,150,OPTIMAL,FEASIBLE,OPTIMAL,True,False,773.2105,17.1884,17.1884
9,storm,150,a300_c80,0.5,c09_storm_150_a300_c80_0005,150,OPTIMAL,FEASIBLE,OPTIMAL,True,False,143.5649,0.0000,0.0000
9,storm,150,a300_c80,1.0,c09_storm_150_a300_c80_0005,150,OPTIMAL,FEASIBLE,OPTIMAL,True,False,88.2171,0.0000,0.0000
9,storm,150,a300_c80,0.5,c09_storm_150_a300_c80_0006,150,OPTIMAL,OPTIMAL,OPTIMAL,True,True,146.2452,0.0000,0.0000
9,storm,150,a300_c80,1.0,c09_storm_150_a300_c80_0006,150,OPTIMAL,OPTIMAL,OPTIMAL,True,True,201.5717,0.0000,0.0000
9,storm,150,a300_c80,0.5,c09_storm_150_a300_c80_0007,150,OPTIMAL,OPTIMAL,OPTIMAL,True,True,252.7550,125.1568,125.1568
9,storm,150,a300_c80,1.0,c09_storm_150_a300_c80_0007,150,OPTIMAL,OPTIMAL,OPTIMAL,True,True,202.4103,109.0904,109.0904
9,storm,150,a300_c80,0.5,c09_storm_150_a300_c80_0008,150,OPTIMAL,FEASIBLE,OPTIMAL,True,False,447.1490,267.9408,267.9408
9,storm,150,a300_c80,1.0,c09_storm_150_a300_c80_0008,150,OPTIMAL,FEASIBLE,OPTIMAL,True,False,487.4331,307.6564,307.6564
9,storm,150,a300_c80,0.5,c09_storm_150_a300_c80_0009,150,OPTIMAL,OPTIMAL,OPTIMAL,True,True,483.0770,3.9040,3.9040
9,storm,150,a300_c80,1.0,c09_storm_150_a300_c80_0009,150,OPTIMAL,OPTIMAL,OPTIMAL,True,True,506.9199,3.9040,3.9040
9,storm,150,a300_c80,0.5,c09_storm_150_a300_c80_0010,150,OPTIMAL,FEASIBLE,OPTIMAL,True,False,566.9603,113.6808,113.6808
9,storm,150,a300_c80,1.0,c09_storm_150_a300_c80_0010,150,OPTIMAL,FEASIBLE,OPTIMAL,True,False,259.4030,16.7528,16.7528
9,storm,150,a300_c80,0.5,c09_storm_150_a300_c80_0011,150,OPTIMAL,FEASIBLE,OPTIMAL,True,False,323.4061,68.0556,68.0556
9,storm,150,a300_c80,1.0,c09_storm_150_a300_c80_0011,150,OPTIMAL,FEASIBLE,OPTIMAL,True,False,437.5339,68.0556,68.0556
9,storm,150,a300_c80,0.5,c09_storm_150_a300_c80_0012,150,OPTIMAL,FEASIBLE,OPTIMAL,True,False,239.6864,70.9096,70.9096
9,storm,150,a300_c80,1.0,c09_storm_150_a300_c80_0012,150,OPTIMAL,FEASIBLE,OPTIMAL,True,False,207.6019,70.9096,70.9096
9,storm,150,a300_c80,0.5,c09_storm_150_a300_c80_0013,150,OPTIMAL,FEASIBLE,OPTIMAL,True,False,319.8536,34.3324,34.3324
9,storm,150,a300_c80,1.0,c09_storm_150_a300_c80_0013,150,OPTIMAL,FEASIBLE,OPTIMAL,True,False,91.5917,0.0000,0.0000
9,storm,150,a300_c80,0.5,c09_storm_150_a300_c80_0014,150,OPTIMAL,FEASIBLE,OPTIMAL,True,False,282.2044,0.0000,0.0000
9,storm,150,a300_c80,1.0,c09_storm_150_a300_c80_0014,150,OPTIMAL,FEASIBLE,OPTIMAL,True,False,158.8251,0.0000,0.0000
9,storm,150,a300_c80,0.5,c09_storm_150_a300_c80_0015,150,OPTIMAL,FEASIBLE,OPTIMAL,True,False,307.3263,0.0000,0.0000
9,storm,150,a300_c80,1.0,c09_storm_150_a300_c80_0015,150,OPTIMAL,FEASIBLE,OPTIMAL,True,False,103.6566,0.0000,0.0000
9,storm,150,a300_c80,0.5,c09_storm_150_a300_c80_0016,150,OPTIMAL,FEASIBLE,OPTIMAL,True,False,324.6404,172.9932,172.9932
9,storm,150,a300_c80,1.0,c09_storm_150_a300_c80_0016,150,OPTIMAL,FEASIBLE,OPTIMAL,True,False,380.5278,236.9932,236.9932
