campus,cell,beta,inst_id,nwo,st_true_optimal,sr_naive_optimal,sr_flow_status,wwt_naive,wwt_flow,feas_true,twt_true,twt_recorded,twt_rec_flow,twt_rec_atc,twt_rec_edd,twt_recorded_naive
9,storm_a300_c80,0.5,c09_storm_150_a300_c80_0000,150,True,True,FEASIBLE,0.0,0.0,True,0.0000,0.0000,0.0000,0.0000,0.0000,426.5546
9,storm_a300_c80,1.0,c09_storm_150_a300_c80_0000,150,True,True,FEASIBLE,0.0,0.0,True,0.0000,0.0000,0.0000,0.0000,0.0000,518.1744
9,storm_a300_c80,0.5,c09_storm_150_a300_c80_0001,150,True,True,FEASIBLE,308.08,308.08,True,344.4524,344.4064,344.4524,344.4064,344.4064,1549.6624
9,storm_a300_c80,1.0,c09_storm_150_a300_c80_0001,150,True,True,FEASIBLE,308.08,308.08,True,309.7064,309.6616,309.7064,309.6616,309.6616,1106.1200
9,storm_a300_c80,0.5,c09_storm_150_a300_c80_0002,150,True,True,FEASIBLE,279.88,279.88,True,332.4856,332.3472,332.4856,332.3472,332.3472,873.3068
9,storm_a300_c80,1.0,c09_storm_150_a300_c80_0002,150,True,True,FEASIBLE,279.88,279.88,True,332.4856,332.3472,332.4856,332.3472,332.3472,1118.9856
9,storm_a300_c80,0.5,c09_storm_150_a300_c80_0003,150,True,True,FEASIBLE,53.84,53.84,True,83.0016,82.9048,83.0016,82.9048,82.9048,186.3542
9,storm_a300_c80,1.0,c09_storm_150_a300_c80_0003,150,True,True,FEASIBLE,53.84,53.84,True,83.0016,82.9048,83.0016,82.9048,82.9048,190.0942
9,storm_a300_c80,0.5,c09_storm_150_a300_c80_0004,150,True,True,FEASIBLE,12.0,12.0,True,22.4112,22.2808,22.4112,22.2808,22.2808,2409.5530
9,storm_a300_c80,1.0,c09_storm_150_a300_c80_0004,150,True,True,FEASIBLE,12.0,12.0,True,22.4112,22.2808,22.4112,22.2808,22.2808,2841.1362
9,storm_a300_c80,0.5,c09_storm_150_a300_c80_0005,150,True,True,FEASIBLE,0.0,0.0,True,0.0000,0.0000,0.0000,0.0000,0.0000,493.2528
9,storm_a300_c80,1.0,c09_storm_150_a300_c80_0005,150,True,True,FEASIBLE,0.0,0.0,True,0.0000,0.0000,0.0000,0.0000,0.0000,176.4342
9,storm_a300_c80,0.5,c09_storm_150_a300_c80_0006,150,True,True,OPTIMAL,0.0,0.0,True,0.0000,0.0000,0.0000,0.0000,0.0000,292.4904
9,storm_a300_c80,1.0,c09_storm_150_a300_c80_0006,150,True,True,OPTIMAL,0.0,0.0,True,0.0000,0.0000,0.0000,0.0000,0.0000,611.0870
9,storm_a300_c80,0.5,c09_storm_150_a300_c80_0007,150,True,True,OPTIMAL,186.72,186.72,True,141.2232,141.1432,141.2232,141.1432,141.1432,396.4196
9,storm_a300_c80,1.0,c09_storm_150_a300_c80_0007,150,True,True,OPTIMAL,186.72,186.72,True,109.0904,109.0784,109.0904,109.0784,109.0784,482.3700
9,storm_a300_c80,0.5,c09_storm_150_a300_c80_0008,150,True,True,FEASIBLE,268.0,268.0,True,267.9408,267.8152,267.9408,267.8152,267.8152,626.3572
9,storm_a300_c80,1.0,c09_storm_150_a300_c80_0008,150,True,True,FEASIBLE,268.0,268.0,True,347.3720,347.1864,347.3720,347.1864,347.1864,957.0020
9,storm_a300_c80,0.5,c09_storm_150_a300_c80_0009,150,True,True,OPTIMAL,0.0,0.0,True,15.6160,15.5976,15.6160,15.5976,15.5976,1445.2974
9,storm_a300_c80,1.0,c09_storm_150_a300_c80_0009,150,True,True,OPTIMAL,0.0,0.0,True,15.6160,15.5976,15.6160,15.5976,15.5976,2027.6796
9,storm_a300_c80,0.5,c09_storm_150_a300_c80_0010,150,True,True,FEASIBLE,96.96,96.96,True,130.4336,130.3936,130.4336,130.3936,130.3936,1249.4614
9,storm_a300_c80,1.0,c09_storm_150_a300_c80_0010,150,True,True,FEASIBLE,96.96,96.96,True,33.5056,33.4992,33.5056,33.4992,33.4992,1004.1064
9,storm_a300_c80,0.5,c09_storm_150_a300_c80_0011,150,True,True,FEASIBLE,51.28,51.28,True,84.8656,84.7700,84.8656,84.7700,84.7700,767.7856
9,storm_a300_c80,1.0,c09_storm_150_a300_c80_0011,150,True,True,FEASIBLE,51.28,51.28,True,84.8656,84.7700,84.8656,84.7700,84.7700,1351.2524
9,storm_a300_c80,0.5,c09_storm_150_a300_c80_0012,150,True,True,FEASIBLE,70.96,70.96,True,70.9096,70.8592,70.9096,70.8592,70.8592,408.4632
9,storm_a300_c80,1.0,c09_storm_150_a300_c80_0012,150,True,True,FEASIBLE,70.96,70.96,True,70.9096,70.8592,70.9096,70.8592,70.8592,502.3810
9,storm_a300_c80,0.5,c09_storm_150_a300_c80_0013,150,True,True,FEASIBLE,0.0,0.0,True,68.6648,68.5936,68.6648,68.5936,68.5936,822.8906
9,storm_a300_c80,1.0,c09_storm_150_a300_c80_0013,150,True,True,FEASIBLE,0.0,0.0,True,0.0000,0.0000,0.0000,0.0000,0.0000,366.3668
9,storm_a300_c80,0.5,c09_storm_150_a300_c80_0014,150,True,True,FEASIBLE,0.0,0.0,True,0.0000,0.0000,0.0000,0.0000,0.0000,778.6038
9,storm_a300_c80,1.0,c09_storm_150_a300_c80_0014,150,True,True,FEASIBLE,0.0,0.0,True,0.0000,0.0000,0.0000,0.0000,0.0000,531.8452
9,storm_a300_c80,0.5,c09_storm_150_a300_c80_0015,150,True,True,FEASIBLE,0.0,0.0,True,0.0000,0.0000,0.0000,0.0000,0.0000,614.6526
9,storm_a300_c80,1.0,c09_storm_150_a300_c80_0015,150,True,True,FEASIBLE,0.0,0.0,True,0.0000,0.0000,0.0000,0.0000,0.0000,207.3132
9,storm_a300_c80,0.5,c09_storm_150_a300_c80_0016,150,True,True,FEASIBLE,111.04,111.04,True,234.9660,234.8704,234.9660,234.8704,234.8704,674.7732
9,storm_a300_c80,1.0,c09_storm_150_a300_c80_0016,150,True,True,FEASIBLE,111.04,111.04,True,473.9864,473.8704,473.9864,473.8704,473.8704,897.5684
9,storm_a300_c80,0.5,c09_storm_150_a300_c80_0017,150,True,True,FEASIBLE,61.4,61.4,True,38.7584,38.7248,38.7584,38.7248,38.7248,1186.2608
9,storm_a300_c80,1.0,c09_storm_150_a300_c80_0017,150,True,True,FEASIBLE,61.4,61.4,True,61.2840,61.2316,61.2840,61.2316,61.2316,1053.0460
9,storm_a300_c80,0.5,c09_storm_150_a300_c80_0018,150,True,True,FEASIBLE,157.44,157.44,True,179.9568,179.7880,179.9568,179.7880,179.7880,1828.7850
9,storm_a300_c80,1.0,c09_storm_150_a300_c80_0018,150,True,True,FEASIBLE,157.44,157.44,True,179.9568,179.7880,179.9568,179.7880,179.7880,1234.5976
9,storm_a300_c80,0.5,c09_storm_150_a300_c80_0019,150,True,True,OPTIMAL,0.0,0.0,True,20.4168,20.4168,20.4168,131.5576,131.5576,1222.0456
9,storm_a300_c80,1.0,c09_storm_150_a300_c80_0019,150,True,True,OPTIMAL,0.0,0.0,True,0.0000,0.0000,0.0000,0.0000,0.0000,1594.6884
9,pmmix_p50_c60,0.5,c09_pmmix_150_p50_c60_0000,150,True,True,OPTIMAL,0.0,0.0,True,109.5936,109.2992,109.5936,109.2992,109.2992,109.5936
9,pmmix_p50_c60,1.0,c09_pmmix_150_p50_c60_0000,150,True,True,OPTIMAL,0.0,0.0,True,57.5720,57.2712,57.5720,57.2712,57.2712,160.4816
9,pmmix_p50_c60,0.5,c09_pmmix_150_p50_c60_0001,150,True,True,OPTIMAL,366.32,366.32,True,452.7888,452.6140,452.7888,452.6140,452.6140,1104.5252
9,pmmix_p50_c60,1.0,c09_pmmix_150_p50_c60_0001,150,True,True,OPTIMAL,366.32,366.32,True,367.1888,367.0100,367.1888,367.0100,367.0100,504.1320
9,pmmix_p50_c60,0.5,c09_pmmix_150_p50_c60_0002,150,True,True,FEASIBLE,1.8,1.8,True,131.5696,131.5696,131.5696,131.5696,131.5696,347.8898
9,pmmix_p50_c60,1.0,c09_pmmix_150_p50_c60_0002,150,True,True,FEASIBLE,1.8,1.8,True,41.0328,40.9688,41.0328,40.9688,40.9688,204.5386
9,pmmix_p50_c60,0.5,c09_pmmix_150_p50_c60_0003,150,True,True,OPTIMAL,445.36,445.36,True,744.1912,743.9640,744.1912,743.9640,743.9640,744.1912
9,pmmix_p50_c60,1.0,c09_pmmix_150_p50_c60_0003,150,True,True,OPTIMAL,445.36,445.36,True,446.9040,446.8032,446.9040,446.8032,446.8032,446.9040
9,pmmix_p50_c60,0.5,c09_pmmix_150_p50_c60_0004,150,True,True,OPTIMAL,0.0,0.0,True,18.4064,18.3320,18.4064,18.3320,18.3320,313.7354
9,pmmix_p50_c60,1.0,c09_pmmix_150_p50_c60_0004,150,True,True,OPTIMAL,0.0,0.0,True,39.3360,39.1896,39.3360,39.1896,39.1896,207.2414
9,pmmix_p50_c60,0.5,c09_pmmix_150_p50_c60_0005,150,True,True,OPTIMAL,88.04,88.04,True,325.8784,325.7520,325.8784,325.7520,325.7520,417.9584
9,pmmix_p50_c60,1.0,c09_pmmix_150_p50_c60_0005,150,True,True,OPTIMAL,88.04,88.04,True,345.2192,345.0512,345.2192,345.0512,345.0512,436.1792
