campus,track,size,level,rule,beta,inst_id,twt_rule,twt_oracle
9,storm,150,a200_c80,atc,0.5,c09_storm_150_a200_c80_0000,0.0000,0.0000
9,storm,150,a200_c80,edd,0.5,c09_storm_150_a200_c80_0000,0.0000,0.0000
9,storm,150,a200_c80,atc,1.0,c09_storm_150_a200_c80_0000,0.0000,0.0000
9,storm,150,a200_c80,edd,1.0,c09_storm_150_a200_c80_0000,0.0000,0.0000
9,storm,150,a200_c80,atc,0.5,c09_storm_150_a200_c80_0001,0.0000,0.0000
9,storm,150,a200_c80,edd,0.5,c09_storm_150_a200_c80_0001,0.0000,0.0000
9,storm,150,a200_c80,atc,1.0,c09_storm_150_a200_c80_0001,0.0000,0.0000
9,storm,150,a200_c80,edd,1.0,c09_storm_150_a200_c80_0001,0.0000,0.0000
9,storm,150,a200_c80,atc,0.5,c09_storm_150_a200_c80_0002,23.5956,23.5956
9,storm,150,a200_c80,edd,0.5,c09_storm_150_a200_c80_0002,23.5956,23.5956
9,storm,150,a200_c80,atc,1.0,c09_storm_150_a200_c80_0002,175.1912,175.1912
9,storm,150,a200_c80,edd,1.0,c09_storm_150_a200_c80_0002,175.1912,175.1912
9,storm,150,a200_c80,atc,0.5,c09_storm_150_a200_c80_0003,0.0000,0.0000
9,storm,150,a200_c80,edd,0.5,c09_storm_150_a200_c80_0003,0.0000,0.0000
9,storm,150,a200_c80,atc,1.0,c09_storm_150_a200_c80_0003,10.0200,10.0200
9,storm,150,a200_c80,edd,1.0,c09_storm_150_a200_c80_0003,10.0200,10.0200
9,storm,150,a200_c80,atc,0.5,c09_storm_150_a200_c80_0004,44.3792,44.3792
9,storm,150,a200_c80,edd,0.5,c09_storm_150_a200_c80_0004,44.3792,44.3792
9,storm,150,a200_c80,atc,1.0,c09_storm_150_a200_c80_0004,44.3792,44.3792
9,storm,150,a200_c80,edd,1.0,c09_storm_150_a200_c80_0004,44.3792,44.3792
9,storm,150,a200_c80,atc,0.5,c09_storm_150_a200_c80_0005,49.2288,49.2288
9,storm,150,a200_c80,edd,0.5,c09_storm_150_a200_c80_0005,49.2288,49.2288
9,storm,150,a200_c80,atc,1.0,c09_storm_150_a200_c80_0005,49.2288,49.2288
9,storm,150,a200_c80,edd,1.0,c09_storm_150_a200_c80_0005,49.2288,49.2288
9,storm,150,a200_c80,atc,0.5,c09_storm_150_a200_c80_0006,81.2440,81.2440
9,storm,150,a200_c80,edd,0.5,c09_storm_150_a200_c80_0006,81.2440,81.2440
9,storm,150,a200_c80,atc,1.0,c09_storm_150_a200_c80_0006,81.2440,81.2440
9,storm,150,a200_c80,edd,1.0,c09_storm_150_a200_c80_0006,81.2440,81.2440
9,storm,150,a200_c80,atc,0.5,c09_storm_150_a200_c80_0007,0.0000,0.0000
9,storm,150,a200_c80,edd,0.5,c09_storm_150_a200_c80_0007,0.0000,0.0000
9,storm,150,a200_c80,atc,1.0,c09_storm_150_a200_c80_0007,0.0000,0.0000
9,storm,150,a200_c80,edd,1.0,c09_storm_150_a200_c80_0007,0.0000,0.0000
9,storm,150,a200_c80,atc,0.5,c09_storm_150_a200_c80_0008,336.7176,336.7176
9,storm,150,a200_c80,edd,0.5,c09_storm_150_a200_c80_0008,336.7176,336.7176
9,storm,150,a200_c80,atc,1.0,c09_storm_150_a200_c80_0008,336.7176,336.7176
9,storm,150,a200_c80,edd,1.0,c09_storm_150_a200_c80_0008,336.7176,336.7176
9,storm,150,a200_c80,atc,0.5,c09_storm_150_a200_c80_0009,45.9072,45.9072
9,storm,150,a200_c80,edd,0.5,c09_storm_150_a200_c80_0009,45.9072,45.9072
9,storm,150,a200_c80,atc,1.0,c09_storm_150_a200_c80_0009,188.2848,188.2848
9,storm,150,a200_c80,edd,1.0,c09_storm_150_a200_c80_0009,188.2848,188.2848
9,storm,150,a200_c80,atc,0.5,c09_storm_150_a200_c80_0010,3.1848,3.1848
9,storm,150,a200_c80,edd,0.5,c09_storm_150_a200_c80_0010,3.1848,3.1848
9,storm,150,a200_c80,atc,1.0,c09_storm_150_a200_c80_0010,55.5328,55.5328
9,storm,150,a200_c80,edd,1.0,c09_storm_150_a200_c80_0010,55.5328,55.5328
9,storm,150,a200_c80,atc,0.5,c09_storm_150_a200_c80_0011,67.0172,67.0172
9,storm,150,a200_c80,edd,0.5,c09_storm_150_a200_c80_0011,67.0172,67.0172
9,storm,150,a200_c80,atc,1.0,c09_storm_150_a200_c80_0011,255.9472,255.9472
9,storm,150,a200_c80,edd,1.0,c09_storm_150_a200_c80_0011,255.9472,255.9472
9,storm,150,a200_c80,atc,0.5,c09_storm_150_a200_c80_0012,0.0000,0.0000
9,storm,150,a200_c80,edd,0.5,c09_storm_150_a200_c80_0012,0.0000,0.0000
9,storm,150,a200_c80,atc,1.0,c09_storm_150_a200_c80_0012,0.0000,0.0000
9,storm,150,a200_c80,edd,1.0,c09_storm_150_a200_c80_0012,0.0000,0.0000
9,storm,150,a200_c80,atc,0.5,c09_storm_150_a200_c80_0013,10.4384,10.4384
9,storm,150,a200_c80,edd,0.5,c09_storm_150_a200_c80_0013,10.4384,10.4384
9,storm,150,a200_c80,atc,1.0,c09_storm_150_a200_c80_0013,14.4232,14.4232
9,storm,150,a200_c80,edd,1.0,c09_storm_150_a200_c80_0013,14.4232,14.4232
9,storm,150,a200_c80,atc,0.5,c09_storm_150_a200_c80_0014,284.0444,284.0444
9,storm,150,a200_c80,edd,0.5,c09_storm_150_a200_c80_0014,284.0444,284.0444
9,storm,150,a200_c80,atc,1.0,c09_storm_150_a200_c80_0014,260.3264,260.3264
9,storm,150,a200_c80,edd,1.0,c09_storm_150_a200_c80_0014,260.3264,260.3264
9,storm,150,a200_c80,atc,0.5,c09_storm_150_a200_c80_0015,5.0520,5.0520
9,storm,150,a200_c80,edd,0.5,c09_storm_150_a200_c80_0015,5.0520,5.0520
9,storm,150,a200_c80,atc,1.0,c09_storm_150_a200_c80_0015,0.0000,0.0000
9,storm,150,a200_c80,edd,1.0,c09_storm_150_a200_c80_0015,0.0000,0.0000
9,storm,150,a200_c80,atc,0.5,c09_storm_150_a200_c80_0016,0.0000,0.0000
9,storm,150,a200_c80,edd,0.5,c09_storm_150_a200_c80_0016,0.0000,0.0000
9,storm,150,a200_c80,atc,1.0,c09_storm_150_a200_c80_0016,0.0000,0.0000
