campus,cell,inst_id,nwo,status_rec,status_true,twt_rule_opt,twt_oracle_opt,wall_s
9,storm150_a300_c80,c09_storm_150_a300_c80_0000,150,OPTIMAL,OPTIMAL,0.0000,0.0000,0.287
9,storm150_a300_c80,c09_storm_150_a300_c80_0001,150,OPTIMAL,OPTIMAL,1039.6917,1039.6917,0.184
9,storm150_a300_c80,c09_storm_150_a300_c80_0002,150,OPTIMAL,OPTIMAL,918.1352,918.1352,0.207
9,storm150_a300_c80,c09_storm_150_a300_c80_0003,150,OPTIMAL,OPTIMAL,181.4994,181.4994,0.220
9,storm150_a300_c80,c09_storm_150_a300_c80_0004,150,OPTIMAL,OPTIMAL,40.3839,40.3839,0.182
9,storm150_a300_c80,c09_storm_150_a300_c80_0005,150,OPTIMAL,OPTIMAL,0.0000,0.0000,0.160
9,storm150_a300_c80,c09_storm_150_a300_c80_0006,150,OPTIMAL,OPTIMAL,0.0000,0.0000,0.234
9,storm150_a300_c80,c09_storm_150_a300_c80_0007,150,OPTIMAL,OPTIMAL,387.5722,387.5722,0.240
9,storm150_a300_c80,c09_storm_150_a300_c80_0008,150,OPTIMAL,OPTIMAL,890.2890,890.2890,0.171
9,storm150_a300_c80,c09_storm_150_a300_c80_0009,150,OPTIMAL,OPTIMAL,0.0000,0.0000,0.196
9,storm150_a300_c80,c09_storm_150_a300_c80_0010,150,OPTIMAL,OPTIMAL,72.6960,72.6960,0.222
9,storm150_a300_c80,c09_storm_150_a300_c80_0011,150,OPTIMAL,OPTIMAL,135.9648,135.9648,0.169
9,storm150_a300_c80,c09_storm_150_a300_c80_0012,150,OPTIMAL,OPTIMAL,239.3199,239.3199,0.227
9,storm150_a300_c80,c09_storm_150_a300_c80_0013,150,OPTIMAL,OPTIMAL,0.0000,0.0000,0.181
9,storm150_a300_c80,c09_storm_150_a300_c80_0014,150,OPTIMAL,OPTIMAL,0.0000,0.0000,0.231
9,storm150_a300_c80,c09_storm_150_a300_c80_0015,150,OPTIMAL,OPTIMAL,0.0000,0.0000,0.194
9,storm150_a300_c80,c09_storm_150_a300_c80_0016,150,OPTIMAL,OPTIMAL,749.3877,749.3877,0.247
9,storm150_a300_c80,c09_storm_150_a300_c80_0017,150,OPTIMAL,OPTIMAL,163.1124,163.1124,0.236
9,storm150_a300_c80,c09_storm_150_a300_c80_0018,150,OPTIMAL,OPTIMAL,531.2736,531.2736,0.191
9,storm150_a300_c80,c09_storm_150_a300_c80_0019,150,OPTIMAL,OPTIMAL,0.0000,0.0000,0.156
9,pmmix150_p20_c60,c09_pmmix_150_p20_c60_0000,150,OPTIMAL,OPTIMAL,1106.3196,1106.3196,0.200
9,pmmix150_p20_c60,c09_pmmix_150_p20_c60_0001,150,OPTIMAL,OPTIMAL,91.0080,91.0080,0.211
9,pmmix150_p20_c60,c09_pmmix_150_p20_c60_0002,150,OPTIMAL,OPTIMAL,4.9503,4.9503,0.184
9,pmmix150_p20_c60,c09_pmmix_150_p20_c60_0003,150,OPTIMAL,OPTIMAL,441.1413,441.1413,0.173
9,pmmix150_p20_c60,c09_pmmix_150_p20_c60_0004,150,OPTIMAL,OPTIMAL,82.4608,82.4608,0.181
9,pmmix150_p20_c60,c09_pmmix_150_p20_c60_0005,150,OPTIMAL,OPTIMAL,537.8772,537.8772,0.200
9,pmmix150_p20_c60,c09_pmmix_150_p20_c60_0006,150,OPTIMAL,OPTIMAL,85.2021,85.2021,0.162
9,pmmix150_p20_c60,c09_pmmix_150_p20_c60_0007,150,OPTIMAL,OPTIMAL,161.6202,161.6202,0.155
9,pmmix150_p20_c60,c09_pmmix_150_p20_c60_0008,150,OPTIMAL,OPTIMAL,485.9307,485.9307,0.174
9,pmmix150_p20_c60,c09_pmmix_150_p20_c60_0009,150,OPTIMAL,OPTIMAL,285.2766,285.2766,0.166
9,pmmix150_p20_c60,c09_pmmix_150_p20_c60_0010,150,OPTIMAL,OPTIMAL,1579.1484,1579.1484,0.171
9,pmmix150_p20_c60,c09_pmmix_150_p20_c60_0011,150,OPTIMAL,OPTIMAL,136.8225,136.8225,0.191
9,pmmix150_p20_c60,c09_pmmix_150_p20_c60_0012,150,OPTIMAL,OPTIMAL,15.3055,15.3055,0.157
9,pmmix150_p20_c60,c09_pmmix_150_p20_c60_0013,150,OPTIMAL,OPTIMAL,977.3880,977.3880,0.726
9,pmmix150_p20_c60,c09_pmmix_150_p20_c60_0014,150,OPTIMAL,OPTIMAL,403.3287,403.3287,0.147
9,pmmix150_p20_c60,c09_pmmix_150_p20_c60_0015,150,OPTIMAL,OPTIMAL,324.8667,324.8667,0.166
9,pmmix150_p20_c60,c09_pmmix_150_p20_c60_0016,150,OPTIMAL,OPTIMAL,163.3419,163.3419,0.170
9,pmmix150_p20_c60,c09_pmmix_150_p20_c60_0017,150,OPTIMAL,OPTIMAL,109.2789,109.2789,0.178
9,pmmix150_p20_c60,c09_pmmix_150_p20_c60_0018,150,OPTIMAL,OPTIMAL,3.1348,3.1348,0.194
9,pmmix150_p20_c60,c09_pmmix_150_p20_c60_0019,150,OPTIMAL,OPTIMAL,87.7302,87.7302,0.174
12,storm150_a300_c80,c12_storm_150_a300_c80_0000,150,OPTIMAL,OPTIMAL,462.1776,462.1776,0.358
12,storm150_a300_c80,c12_storm_150_a300_c80_0001,150,OPTIMAL,OPTIMAL,69.4395,69.4395,0.324
12,storm150_a300_c80,c12_storm_150_a300_c80_0002,150,OPTIMAL,OPTIMAL,1685.6235,1685.6235,0.319
12,storm150_a300_c80,c12_storm_150_a300_c80_0003,150,OPTIMAL,OPTIMAL,449.5725,449.5725,0.393
12,storm150_a300_c80,c12_storm_150_a300_c80_0004,150,OPTIMAL,OPTIMAL,744.3675,744.3675,0.239
12,storm150_a300_c80,c12_storm_150_a300_c80_0005,150,OPTIMAL,OPTIMAL,974.9563,974.9563,0.313
12,storm150_a300_c80,c12_storm_150_a300_c80_0006,150,OPTIMAL,OPTIMAL,3747.7929,3747.7929,0.330
12,storm150_a300_c80,c12_storm_150_a300_c80_0007,150,OPTIMAL,OPTIMAL,363.2484,363.2484,0.294
12,storm150_a300_c80,c12_storm_150_a300_c80_0008,150,OPTIMAL,OPTIMAL,125.1048,125.1048,0.290
12,storm150_a300_c80,c12_storm_150_a300_c80_0009,150,OPTIMAL,OPTIMAL,181.5867,181.5867,0.390
12,storm150_a300_c80,c12_storm_150_a300_c80_0010,150,OPTIMAL,OPTIMAL,421.4373,421.4373,0.380
12,storm150_a300_c80,c12_storm_150_a300_c80_0011,150,OPTIMAL,OPTIMAL,1013.3820,1013.3820,0.348
12,storm150_a300_c80,c12_storm_150_a300_c80_0012,150,OPTIMAL,OPTIMAL,157.9383,157.9383,0.480
12,storm150_a300_c80,c12_storm_150_a300_c80_0013,150,OPTIMAL,OPTIMAL,55.6587,55.6587,0.240
12,storm150_a300_c80,c12_storm_150_a300_c80_0014,150,OPTIMAL,OPTIMAL,215.2467,215.2467,0.305
12,storm150_a300_c80,c12_storm_150_a300_c80_0015,150,OPTIMAL,OPTIMAL,947.7440,947.7440,0.328
12,storm150_a300_c80,c12_storm_150_a300_c80_0016,150,OPTIMAL,OPTIMAL,1167.2352,1167.2352,0.332
12,storm150_a300_c80,c12_storm_150_a300_c80_0017,150,OPTIMAL,OPTIMAL,240.3957,240.3957,0.429
12,storm150_a300_c80,c12_storm_150_a300_c80_0018,150,OPTIMAL,OPTIMAL,257.6757,257.6757,0.351
12,storm150_a300_c80,c12_storm_150_a300_c80_0019,150,OPTIMAL,OPTIMAL,252.6768,252.7146,0.346
12,pmmix150_p20_c60,c12_pmmix_150_p20_c60_0000,150,OPTIMAL,OPTIMAL,408.8022,408.8022,0.283
12,pmmix150_p20_c60,c12_pmmix_150_p20_c60_0001,150,OPTIMAL,OPTIMAL,524.2839,524.2839,0.237
12,pmmix150_p20_c60,c12_pmmix_150_p20_c60_0002,150,OPTIMAL,OPTIMAL,322.1433,322.1433,0.209
12,pmmix150_p20_c60,c12_pmmix_150_p20_c60_0003,150,OPTIMAL,OPTIMAL,1267.1250,1267.1250,0.225
12,pmmix150_p20_c60,c12_pmmix_150_p20_c60_0004,150,OPTIMAL,OPTIMAL,238.4461,238.4461,0.189
12,pmmix150_p20_c60,c12_pmmix_150_p20_c60_0005,150,OPTIMAL,OPTIMAL,810.5636,810.5636,0.242
12,pmmix150_p20_c60,c12_pmmix_150_p20_c60_0006,150,OPTIMAL,OPTIMAL,366.2718,366.2718,0.259
12,pmmix150_p20_c60,c12_pmmix_150_p20_c60_0007,150,OPTIMAL,OPTIMAL,1609.3380,1609.3380,0.318
12,pmmix150_p20_c60,c12_pmmix_150_p20_c60_0008,150,OPTIMAL,OPTIMAL,406.6014,406.6014,0.203
12,pmmix150_p20_c60,c12_pmmix_150_p20_c60_0009,150,OPTIMAL,OPTIMAL,344.9670,344.9670,0.274
12,pmmix150_p20_c60,c12_pmmix_150_p20_c60_0010,150,OPTIMAL,OPTIMAL,559.5993,559.5993,0.233
12,pmmix150_p20_c60,c12_pmmix_150_p20_c60_0011,150,OPTIMAL,OPTIMAL,264.6243,264.6243,0.254
12,pmmix150_p20_c60,c12_pmmix_150_p20_c60_0012,150,OPTIMAL,OPTIMAL,1239.5919,1239.5919,0.201
12,pmmix150_p20_c60,c12_pmmix_150_p20_c60_0013,150,OPTIMAL,OPTIMAL,730.6890,730.6890,0.214
12,pmmix150_p20_c60,c12_pmmix_150_p20_c60_0014,150,OPTIMAL,OPTIMAL,206.9262,206.9262,0.206
12,pmmix150_p20_c60,c12_pmmix_150_p20_c60_0015,150,OPTIMAL,OPTIMAL,401.1021,401.1021,0.267
12,pmmix150_p20_c60,c12_pmmix_150_p20_c60_0016,150,OPTIMAL,OPTIMAL,286.6617,286.6617,0.248
12,pmmix150_p20_c60,c12_pmmix_150_p20_c60_0017,150,OPTIMAL,OPTIMAL,1125.1464,1125.1464,0.234
12,pmmix150_p20_c60,c12_pmmix_150_p20_c60_0018,150,OPTIMAL,OPTIMAL,110.6070,110.6070,0.267
12,pmmix150_p20_c60,c12_pmmix_150_p20_c60_0019,150,OPTIMAL,OPTIMAL,2192.9131,2192.9131,0.317
