scope,campus,cell,sigma_s,beta,wtag,n,mean_rule,mean_oracle,abs_gap,pct_gap,wins,ties,losses
campus,9,storm150_a300_c80,1.0,0.5,w8421,30,73.1994,73.1994,0.0000,0.0000,0,30,0
campus,9,storm150_a300_c80,1.0,0.5,w16421,30,132.0379,132.0379,0.0000,0.0000,0,30,0
campus,9,storm150_a300_c80,1.0,0.5,w27931,30,228.7104,228.7104,0.0000,0.0000,0,30,0
campus,9,storm150_a300_c80,1.0,0.75,w8421,30,77.2745,77.2745,0.0000,0.0000,0,30,0
campus,9,storm150_a300_c80,1.0,0.75,w16421,30,143.5130,143.5130,0.0000,0.0000,0,30,0
campus,9,storm150_a300_c80,1.0,0.75,w27931,30,246.4857,246.4857,0.0000,0.0000,0,30,0
campus,9,storm150_a300_c80,1.0,1.0,w8421,30,80.0203,80.0203,0.0000,0.0000,0,30,0
campus,9,storm150_a300_c80,1.0,1.0,w16421,30,153.6589,153.6589,0.0000,0.0000,0,30,0
campus,9,storm150_a300_c80,1.0,1.0,w27931,30,259.6125,259.6125,0.0000,0.0000,0,30,0
campus,9,storm150_a300_c80,2.0,0.5,w8421,30,68.1218,68.1218,0.0000,0.0000,0,30,0
campus,9,storm150_a300_c80,2.0,0.5,w16421,30,123.4084,123.4084,0.0000,0.0000,0,30,0
campus,9,storm150_a300_c80,2.0,0.5,w27931,30,211.7175,211.7175,0.0000,0.0000,0,30,0
campus,9,storm150_a300_c80,2.0,0.75,w8421,30,69.0539,69.0539,0.0000,0.0000,0,30,0
campus,9,storm150_a300_c80,2.0,0.75,w16421,30,125.3592,125.3592,0.0000,0.0000,0,30,0
campus,9,storm150_a300_c80,2.0,0.75,w27931,30,215.0901,215.0901,0.0000,0.0000,0,30,0
campus,9,storm150_a300_c80,2.0,1.0,w8421,30,78.4047,78.4047,0.0000,0.0000,0,30,0
campus,9,storm150_a300_c80,2.0,1.0,w16421,30,151.5658,151.5658,0.0000,0.0000,0,30,0
campus,9,storm150_a300_c80,2.0,1.0,w27931,30,255.7844,255.7844,0.0000,0.0000,0,30,0
campus,9,storm150_a200_c80,1.0,0.5,w8421,30,52.0539,52.0539,0.0000,0.0000,0,30,0
campus,9,storm150_a200_c80,1.0,0.5,w16421,30,87.2662,87.2662,0.0000,0.0000,0,30,0
campus,9,storm150_a200_c80,1.0,0.5,w27931,30,154.9571,154.9571,0.0000,0.0000,0,30,0
campus,9,storm150_a200_c80,1.0,0.75,w8421,30,52.1539,52.1539,0.0000,0.0000,0,30,0
campus,9,storm150_a200_c80,1.0,0.75,w16421,30,90.9983,90.9983,0.0000,0.0000,0,30,0
campus,9,storm150_a200_c80,1.0,0.75,w27931,30,157.9812,157.9812,0.0000,0.0000,0,30,0
campus,9,storm150_a200_c80,1.0,1.0,w8421,30,53.5108,53.5108,0.0000,0.0000,0,30,0
campus,9,storm150_a200_c80,1.0,1.0,w16421,30,94.4091,94.4091,0.0000,0.0000,0,30,0
campus,9,storm150_a200_c80,1.0,1.0,w27931,30,163.2623,163.2623,0.0000,0.0000,0,30,0
campus,9,storm150_a200_c80,2.0,0.5,w8421,30,49.8549,49.8549,0.0000,0.0000,0,30,0
campus,9,storm150_a200_c80,2.0,0.5,w16421,30,89.1292,89.1292,0.0000,0.0000,0,30,0
campus,9,storm150_a200_c80,2.0,0.5,w27931,30,152.2819,152.2819,0.0000,0.0000,0,30,0
campus,9,storm150_a200_c80,2.0,0.75,w8421,30,51.4648,51.4648,0.0000,0.0000,0,30,0
campus,9,storm150_a200_c80,2.0,0.75,w16421,30,94.0431,94.0431,0.0000,0.0000,0,30,0
campus,9,storm150_a200_c80,2.0,0.75,w27931,30,159.6316,159.6316,0.0000,0.0000,0,30,0
campus,9,storm150_a200_c80,2.0,1.0,w8421,30,49.6816,49.6816,0.0000,0.0000,0,30,0
campus,9,storm150_a200_c80,2.0,1.0,w16421,30,90.0851,90.0851,0.0000,0.0000,0,30,0
campus,9,storm150_a200_c80,2.0,1.0,w27931,30,153.4670,153.4670,0.0000,0.0000,0,30,0
campus,9,pmmix150_p20_c60,1.0,0.5,w8421,30,125.7761,125.7761,0.0000,0.0000,0,30,0
campus,9,pmmix150_p20_c60,1.0,0.5,w16421,30,214.1998,214.1998,0.0000,0.0000,0,30,0
campus,9,pmmix150_p20_c60,1.0,0.5,w27931,30,379.0941,379.0941,0.0000,0.0000,0,30,0
campus,9,pmmix150_p20_c60,1.0,0.75,w8421,30,125.8019,125.8019,0.0000,0.0000,0,30,0
campus,9,pmmix150_p20_c60,1.0,0.75,w16421,30,210.4119,210.4119,0.0000,0.0000,0,30,0
