campus,cell,inst_id,sigma_s,beta,wtag,twt_rule,twt_oracle
9,storm150_a300_c80,c09_storm_150_a300_c80_0000,1.0,0.5,w8421,0.0000,0.0000
9,storm150_a300_c80,c09_storm_150_a300_c80_0000,1.0,0.5,w16421,0.0000,0.0000
9,storm150_a300_c80,c09_storm_150_a300_c80_0000,1.0,0.5,w27931,0.0000,0.0000
9,storm150_a300_c80,c09_storm_150_a300_c80_0000,1.0,0.75,w8421,0.0000,0.0000
9,storm150_a300_c80,c09_storm_150_a300_c80_0000,1.0,0.75,w16421,0.0000,0.0000
9,storm150_a300_c80,c09_storm_150_a300_c80_0000,1.0,0.75,w27931,0.0000,0.0000
9,storm150_a300_c80,c09_storm_150_a300_c80_0000,1.0,1.0,w8421,0.0000,0.0000
9,storm150_a300_c80,c09_storm_150_a300_c80_0000,1.0,1.0,w16421,0.0000,0.0000
9,storm150_a300_c80,c09_storm_150_a300_c80_0000,1.0,1.0,w27931,0.0000,0.0000
9,storm150_a300_c80,c09_storm_150_a300_c80_0000,2.0,0.5,w8421,0.0000,0.0000
9,storm150_a300_c80,c09_storm_150_a300_c80_0000,2.0,0.5,w16421,0.0000,0.0000
9,storm150_a300_c80,c09_storm_150_a300_c80_0000,2.0,0.5,w27931,0.0000,0.0000
9,storm150_a300_c80,c09_storm_150_a300_c80_0000,2.0,0.75,w8421,0.0000,0.0000
9,storm150_a300_c80,c09_storm_150_a300_c80_0000,2.0,0.75,w16421,0.0000,0.0000
9,storm150_a300_c80,c09_storm_150_a300_c80_0000,2.0,0.75,w27931,0.0000,0.0000
9,storm150_a300_c80,c09_storm_150_a300_c80_0000,2.0,1.0,w8421,0.0000,0.0000
9,storm150_a300_c80,c09_storm_150_a300_c80_0000,2.0,1.0,w16421,0.0000,0.0000
9,storm150_a300_c80,c09_storm_150_a300_c80_0000,2.0,1.0,w27931,0.0000,0.0000
9,storm150_a300_c80,c09_storm_150_a300_c80_0001,1.0,0.5,w8421,308.0208,308.0208
9,storm150_a300_c80,c09_storm_150_a300_c80_0001,1.0,0.5,w16421,616.0416,616.0416
9,storm150_a300_c80,c09_storm_150_a300_c80_0001,1.0,0.5,w27931,1039.5702,1039.5702
9,storm150_a300_c80,c09_storm_150_a300_c80_0001,1.0,0.75,w8421,308.0208,308.0208
9,storm150_a300_c80,c09_storm_150_a300_c80_0001,1.0,0.75,w16421,616.0416,616.0416
9,storm150_a300_c80,c09_storm_150_a300_c80_0001,1.0,0.75,w27931,1039.5702,1039.5702
9,storm150_a300_c80,c09_storm_150_a300_c80_0001,1.0,1.0,w8421,308.0208,308.0208
9,storm150_a300_c80,c09_storm_150_a300_c80_0001,1.0,1.0,w16421,616.0416,616.0416
9,storm150_a300_c80,c09_storm_150_a300_c80_0001,1.0,1.0,w27931,1039.5702,1039.5702
9,storm150_a300_c80,c09_storm_150_a300_c80_0001,2.0,0.5,w8421,154.0104,154.0104
9,storm150_a300_c80,c09_storm_150_a300_c80_0001,2.0,0.5,w16421,154.0104,154.0104
9,storm150_a300_c80,c09_storm_150_a300_c80_0001,2.0,0.5,w27931,346.5234,346.5234
