campus,track,size,cell,inst_id,nwo,n_weights_changed,status_A,status_B,obj_grid_A_recorded,obj_grid_B_true,twt_recorded_A,twt_recorded_B,twt_star_A,twt_star_B,gap,wall_A,wall_B,resolved_8workers
9,pmmix,150,c09_pmmix_150_p20_c60,c09_pmmix_150_p20_c60_0000,150,62,OPTIMAL,OPTIMAL,327.440000,327.440000,327.168000,327.168000,327.168000,327.168000,0.000000,1.059,4.654,False
9,pmmix,150,c09_pmmix_150_p20_c60,c09_pmmix_150_p20_c60_0001,150,54,OPTIMAL,OPTIMAL,51.400000,51.400000,51.335200,51.335200,51.335200,51.335200,0.000000,3.305,3.641,False
9,pmmix,150,c09_pmmix_150_p20_c60,c09_pmmix_150_p20_c60_0002,150,66,OPTIMAL,OPTIMAL,5.480000,1626.180000,5.458800,1938.447600,3.625800,3.625800,0.000000,6.645,60.040,True
9,pmmix,150,c09_pmmix_150_p20_c60,c09_pmmix_150_p20_c60_0003,150,76,OPTIMAL,OPTIMAL,139.400000,139.400000,139.370000,139.370000,139.370000,139.370000,0.000000,4.250,10.748,False
9,pmmix,150,c09_pmmix_150_p20_c60,c09_pmmix_150_p20_c60_0004,150,76,OPTIMAL,OPTIMAL,38.800000,28.440000,38.682000,38.682000,28.360600,28.360600,0.000000,0.542,5.081,False
9,pmmix,150,c09_pmmix_150_p20_c60,c09_pmmix_150_p20_c60_0005,150,79,OPTIMAL,OPTIMAL,179.560000,167.920000,179.410000,179.410000,167.784400,167.784400,0.000000,13.922,1.768,False
9,pmmix,150,c09_pmmix_150_p20_c60,c09_pmmix_150_p20_c60_0006,150,67,OPTIMAL,OPTIMAL,82.320000,69.880000,82.372000,82.372000,69.899600,69.899600,0.000000,30.285,7.521,False
9,pmmix,150,c09_pmmix_150_p20_c60,c09_pmmix_150_p20_c60_0007,150,63,OPTIMAL,OPTIMAL,143.760000,71.880000,143.662400,143.662400,71.831200,71.831200,0.000000,4.336,3.930,False
9,pmmix,150,c09_pmmix_150_p20_c60,c09_pmmix_150_p20_c60_0008,150,70,OPTIMAL,OPTIMAL,188.320000,3851.180000,188.186400,2821.653600,188.186400,188.186400,0.000000,6.367,60.037,True
9,pmmix,150,c09_pmmix_150_p20_c60,c09_pmmix_150_p20_c60_0009,150,76,OPTIMAL,OPTIMAL,78.160000,84.720000,78.014000,78.014000,84.526400,84.526400,0.000000,0.203,0.195,False
