scope,campus,beta,n,mean_atc,mean_oracle,abs_gap,pct_gap,wins,ties,losses,tie_frac
campus,5,0.75,200,3.2831,3.2856,-0.0025,-0.0761,0,200,0,100.00
campus,5,1.0,200,3.1744,3.1744,0.0000,0.0000,0,200,0,100.00
campus,9,0.75,200,62.6936,62.5662,0.1273,0.2031,3,197,0,98.50
campus,9,1.0,200,63.3461,63.2394,0.1067,0.1684,2,198,0,99.00
campus,10,0.75,200,19.0497,19.0497,0.0000,0.0000,0,200,0,100.00
campus,10,1.0,200,18.4403,18.4403,0.0000,0.0000,0,200,0,100.00
campus,12,0.75,200,450.9651,451.1603,-0.1952,-0.0433,0,198,2,99.00
campus,12,1.0,200,406.8387,407.1887,-0.3500,-0.0860,0,199,1,99.50
pooled_all,5+9+10+12,0.75,800,133.9979,134.0155,-0.0176,-0.0131,3,795,2,99.38
pooled_all,5+9+10+12,1.0,800,122.9499,123.0107,-0.0608,-0.0495,2,797,1,99.62
pooled_loaded,9+12,0.75,400,256.8293,256.8633,-0.0339,-0.0132,3,395,2,98.75
pooled_loaded,9+12,1.0,400,235.0924,235.2141,-0.1217,-0.0518,2,397,1,99.25
pooled_grand,5+9+10+12,0.75+1.0,1600,128.4739,128.5131,-0.0392,-0.0305,5,1592,3,99.50
pooled_loaded_grand,9+12,0.75+1.0,800,245.9609,246.0387,-0.0778,-0.0316,5,792,3,99.00
