scope,campus,size,beta,n,mean_atc,mean_oracle,abs_gap,pct_gap,oracle_wins,ties,oracle_losses
campus,5,150,0.5,200,3.3917,3.3936,-0.0018,-0.0536,0,200,0
campus,5,150,0.75,200,3.2831,3.2856,-0.0025,-0.0761,0,200,0
campus,5,150,1.0,200,3.1744,3.1744,0.0000,0.0000,0,200,0
campus,5,400,0.5,200,6.3380,6.1309,0.2071,3.2681,2,198,0
campus,5,400,0.75,200,6.1811,6.1653,0.0158,0.2553,1,199,0
campus,5,400,1.0,200,5.8267,5.8267,0.0000,0.0000,0,200,0
campus,9,150,0.5,200,62.5454,62.3881,0.1573,0.2515,3,197,0
campus,9,150,0.75,200,62.6936,62.5662,0.1273,0.2031,3,197,0
campus,9,150,1.0,200,63.3461,63.2394,0.1067,0.1684,2,198,0
campus,9,400,0.5,200,175.1719,174.7423,0.4297,0.2453,7,192,1
campus,9,400,0.75,200,178.3826,178.0576,0.3250,0.1822,6,193,1
campus,9,400,1.0,200,181.3402,180.9100,0.4302,0.2372,6,192,2
campus,10,150,0.5,200,19.5061,19.5061,0.0000,0.0000,0,200,0
campus,10,150,0.75,200,19.0497,19.0497,0.0000,0.0000,0,200,0
campus,10,150,1.0,200,18.4403,18.4403,0.0000,0.0000,0,200,0
campus,10,400,0.5,200,61.5127,61.4975,0.0152,0.0247,2,198,0
campus,10,400,0.75,200,62.9125,62.8973,0.0152,0.0242,2,198,0
campus,10,400,1.0,200,62.6610,62.6610,0.0000,0.0000,0,200,0
campus,12,150,0.5,200,463.1896,463.4400,-0.2505,-0.0541,0,198,2
campus,12,150,0.75,200,450.9651,451.1603,-0.1952,-0.0433,0,198,2
campus,12,150,1.0,200,406.8387,407.1887,-0.3500,-0.0860,0,199,1
campus,12,400,0.5,200,1274.9438,1274.5808,0.3630,0.0285,6,188,6
campus,12,400,0.75,200,1230.0678,1230.2908,-0.2230,-0.0181,5,187,8
campus,12,400,1.0,200,1156.0814,1156.4893,-0.4079,-0.0353,3,190,7
pooled_all,5+9+10+12,150,0.5,800,137.1582,137.1820,-0.0237,-0.0173,3,795,2
pooled_all,5+9+10+12,150,0.75,800,133.9979,134.0155,-0.0176,-0.0131,3,795,2
pooled_all,5+9+10+12,150,1.0,800,122.9499,123.0107,-0.0608,-0.0495,2,797,1
pooled_all,5+9+10+12,400,0.5,800,379.4916,379.2379,0.2538,0.0669,17,776,7
pooled_all,5+9+10+12,400,0.75,800,369.3860,369.3528,0.0332,0.0090,14,777,9
pooled_all,5+9+10+12,400,1.0,800,351.4773,351.4717,0.0056,0.0016,9,782,9
pooled_loaded,9+12,150,0.5,400,262.8675,262.9141,-0.0466,-0.0177,3,395,2
pooled_loaded,9+12,150,0.75,400,256.8293,256.8633,-0.0339,-0.0132,3,395,2
pooled_loaded,9+12,150,1.0,400,235.0924,235.2141,-0.1217,-0.0518,2,397,1
pooled_loaded,9+12,400,0.5,400,725.0578,724.6615,0.3963,0.0547,13,380,7
pooled_loaded,9+12,400,0.75,400,704.2252,704.1742,0.0510,0.0072,11,380,9
pooled_loaded,9+12,400,1.0,400,668.7108,668.6997,0.0111,0.0017,9,382,9
