scope,campus,track,size,level,arr_mult,beta,n,mean_atc,mean_oracle,abs_gap,pct_gap,oracle_wins,ties,oracle_losses
campus,5,pmmix,150,p20_c100,1.000,0.5,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,pmmix,150,p20_c100,1.000,0.75,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,pmmix,150,p20_c100,1.000,1.0,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,pmmix,150,p50_c100,1.000,0.5,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,pmmix,150,p50_c100,1.000,0.75,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,pmmix,150,p50_c100,1.000,1.0,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,pmmix,150,p80_c100,1.000,0.5,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,pmmix,150,p80_c100,1.000,0.75,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,pmmix,150,p80_c100,1.000,1.0,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,pmmix,150,p20_c80,1.000,0.5,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,pmmix,150,p20_c80,1.000,0.75,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,pmmix,150,p20_c80,1.000,1.0,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,pmmix,150,p50_c80,1.000,0.5,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,pmmix,150,p50_c80,1.000,0.75,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,pmmix,150,p50_c80,1.000,1.0,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,pmmix,150,p80_c80,1.000,0.5,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,pmmix,150,p80_c80,1.000,0.75,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,pmmix,150,p80_c80,1.000,1.0,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,pmmix,150,p20_c60,1.000,0.5,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,pmmix,150,p20_c60,1.000,0.75,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,pmmix,150,p20_c60,1.000,1.0,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,pmmix,150,p50_c60,1.000,0.5,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,pmmix,150,p50_c60,1.000,0.75,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,pmmix,150,p50_c60,1.000,1.0,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,pmmix,150,p80_c60,1.000,0.5,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,pmmix,150,p80_c60,1.000,0.75,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,pmmix,150,p80_c60,1.000,1.0,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,pmmix,400,p20_c100,1.000,0.5,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,pmmix,400,p20_c100,1.000,0.75,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,pmmix,400,p20_c100,1.000,1.0,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,pmmix,400,p50_c100,1.000,0.5,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,pmmix,400,p50_c100,1.000,0.75,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,pmmix,400,p50_c100,1.000,1.0,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,pmmix,400,p80_c100,1.000,0.5,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,pmmix,400,p80_c100,1.000,0.75,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,pmmix,400,p80_c100,1.000,1.0,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,pmmix,400,p20_c80,1.000,0.5,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,pmmix,400,p20_c80,1.000,0.75,30,0.0000,0.0000,0.0000,0.0000,0,30,0
campus,5,pmmix,400,p20_c80,1.000,1.0,30,0.0000,0.0000,0.0000,0.0000,0,30,0
