family,beta,recoverable_share,var_conditional_mean,var_s,argmax_accuracy,base_accuracy,n_orders
F-LIN,0.0,0.0,0.0,1.0179182850651218,0.3829249225480264,0.3829249225480264,224000
F-LIN,0.25,0.22704162453308332,0.23074253715039023,1.0163005908053993,0.42275833803434004,0.38402983594600837,224000
F-LIN,0.5,0.45485521337593326,0.460412493273626,1.012217689792861,0.5037045390369661,0.3897734765213813,224000
F-LIN,0.75,0.6862162115578322,0.6919233182847171,1.0083167763028051,0.6344085588523231,0.41263523758772874,224000
F-LIN,1.0,1.0,0.8829441919443558,0.8829441919443558,1.0,0.5360357142857143,224000
F-NL,0.0,0.0,0.0,1.0179182850651218,0.3829249225480264,0.3829249225480264,224000
F-NL,0.25,0.22748321112032802,0.2313812559609681,1.017135527590993,0.4218527105347779,0.3834378070470212,224000
F-NL,0.5,0.4557632773471149,0.4628448035918575,1.015537728897252,0.5036409905819765,0.3864908985996445,224000
F-NL,0.75,0.6873497689264113,0.6975936306698047,1.0149034192000872,0.6394522459538001,0.4033145263309582,224000
F-NL,1.0,1.0,0.9137180305325255,0.9137180305325255,1.0,0.5018482142857142,224000
