instance_id,rule,m0_alone,pi0_alone,m1_alone,oracle,rule_sup,m0_sup,pi0_sup,m1_sup
c09_storm2_w80_u100_0020,2113.920800,1656.782800,5659.390400,1710.145200,1660.290800,1974.308800,1654.454800,2193.505600,1692.667600
c09_storm2_w80_u100_0021,2468.501600,2135.682400,3450.534800,2183.984800,2178.691200,2425.110000,2138.416800,2120.374400,2191.363200
c09_storm2_w80_u100_0022,1216.011200,987.238000,4292.674000,1064.527200,991.862400,1099.216000,986.584400,1154.123600,1006.348400
c09_storm2_w80_u100_0023,5676.362400,2747.695200,7178.081200,4015.325600,2621.206400,4018.612400,2652.843600,4708.732800,4018.633600
c09_storm2_w80_u100_0024,4396.206800,2117.099200,4084.300400,2304.558000,1996.894800,2834.593600,1992.197600,2406.332000,2310.901200
c09_storm2_w80_u100_0025,6411.756400,2849.698000,8631.359000,3427.915200,2533.840800,4054.931600,2575.216400,3638.440000,3401.400800
c09_storm2_w80_u100_0026,5006.202000,1945.626800,6416.879600,5451.731200,1938.243600,4109.313600,1933.788400,4597.278800,4367.109600
c09_storm2_w80_u100_0027,2535.368000,1672.505600,4310.903600,1682.693600,1685.882800,2061.197200,1663.855600,1699.462800,1682.621200
c09_storm2_w80_u100_0028,2083.722400,1308.470000,4107.266400,1304.258400,1316.495200,2021.848800,1308.364000,1809.306400,1312.477600
c09_storm2_w80_u100_0029,4540.255600,1623.362800,6055.348800,2287.836800,1226.778800,2328.602400,1360.730000,1888.180400,2284.544000
