instance_id,rule,m0_alone,pi0_alone,m1_alone,oracle,rule_sup,m0_sup,pi0_sup,m1_sup
c09_storm2_w80_u100_0020,2113.920800,1696.493600,5659.390400,1634.938000,1660.290800,1974.308800,1658.335600,2193.505600,1633.119600
c09_storm2_w80_u100_0021,2468.501600,2120.898400,3450.534800,2173.502400,2178.691200,2425.110000,2123.802400,2120.374400,2173.502400
c09_storm2_w80_u100_0022,1216.011200,990.411600,4292.674000,1010.574000,991.862400,1099.216000,990.740800,1154.123600,1005.947600
c09_storm2_w80_u100_0023,5676.362400,2900.455600,7178.081200,3382.623200,2621.206400,4018.612400,2639.202400,4708.732800,3401.778400
c09_storm2_w80_u100_0024,4396.206800,2361.368000,4084.300400,2333.028800,1996.894800,2834.593600,2023.730800,2406.332000,2333.028800
c09_storm2_w80_u100_0025,6411.756400,3154.844800,8631.359000,3390.238400,2533.840800,4054.931600,2681.494800,3638.440000,3328.782000
c09_storm2_w80_u100_0026,5006.202000,2036.932000,6416.879600,3049.527600,1938.243600,4109.313600,1997.172800,4597.278800,3049.527600
c09_storm2_w80_u100_0027,2535.368000,1745.047200,4310.903600,1717.968800,1685.882800,2061.197200,1659.671600,1699.462800,1685.028400
c09_storm2_w80_u100_0028,2083.722400,1318.538800,4107.266400,1308.038400,1316.495200,2021.848800,1313.718800,1809.306400,1308.012400
c09_storm2_w80_u100_0029,4540.255600,1796.240800,6055.348800,2251.188000,1226.778800,2328.602400,1362.488800,1888.180400,2251.078800
