part,scope,campus,regime,u,size,beta,rho,seed,inst_id,n_wos,util_pool,util_worst,subsampled,rule,m0_alone,oracle,rule_sup,m0_sup,rule_sup_revfrac,rule_sup_orr,m0_sup_revfrac,m0_sup_orr
C,boundary_slack,9,replay,,150,1.0,0.25,302,c09_replay_150_0020,150,,,0,97.729600,97.729600,97.729600,97.729600,97.729600,0.2346,0.0000,0.2346,0.0000
C,boundary_slack,9,replay,,150,1.0,0.25,302,c09_replay_150_0021,150,,,0,264.000000,264.000000,264.000000,264.000000,264.000000,0.2500,0.0000,0.2500,0.0000
C,boundary_slack,9,replay,,150,1.0,0.25,302,c09_replay_150_0022,150,,,0,740.000000,740.000000,740.000000,740.000000,740.000000,0.2436,0.0000,0.2436,0.0000
C,boundary_slack,9,replay,,150,1.0,0.25,302,c09_replay_150_0023,150,,,0,440.000000,412.000000,412.000000,440.000000,412.000000,0.2448,0.0286,0.2448,0.0000
C,boundary_slack,9,replay,,150,1.0,0.25,302,c09_replay_150_0024,150,,,0,193.000000,193.000000,193.000000,193.000000,193.000000,0.2386,0.0000,0.2386,0.0000
C,boundary_slack,9,replay,,150,1.0,0.25,302,c09_replay_150_0025,150,,,0,165.000000,10.000000,0.000000,165.000000,10.000000,0.2517,0.0000,0.2517,0.0000
C,boundary_slack,9,replay,,150,1.0,0.25,302,c09_replay_150_0026,150,,,0,670.129600,654.396000,636.662400,673.729600,655.729600,0.2581,0.0833,0.2473,0.0435
C,boundary_slack,9,replay,,150,1.0,0.25,302,c09_replay_150_0027,150,,,0,40.000000,40.000000,40.000000,40.000000,40.000000,0.2500,0.0476,0.2500,0.0000
C,boundary_slack,9,replay,,150,1.0,0.25,302,c09_replay_150_0028,150,,,0,12.000000,12.000000,12.000000,12.000000,12.000000,0.2133,0.0000,0.2267,0.0000
C,boundary_slack,9,replay,,150,1.0,0.25,302,c09_replay_150_0029,150,,,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.1972,0.0000,0.1972,0.0000
C,boundary_slack,9,replay,,150,1.0,0.25,301,c09_replay_150_0020,150,,,0,97.729600,97.729600,97.729600,97.729600,97.729600,0.2346,0.0000,0.2346,0.0000
C,boundary_slack,9,replay,,150,1.0,0.25,301,c09_replay_150_0021,150,,,0,264.000000,264.000000,264.000000,264.000000,264.000000,0.2500,0.0000,0.2500,0.0000
C,boundary_slack,9,replay,,150,1.0,0.25,301,c09_replay_150_0022,150,,,0,740.000000,740.000000,740.000000,740.000000,740.000000,0.2436,0.0000,0.2436,0.0000
C,boundary_slack,9,replay,,150,1.0,0.25,301,c09_replay_150_0023,150,,,0,440.000000,412.000000,412.000000,440.000000,412.000000,0.2448,0.0286,0.2448,0.0286
C,boundary_slack,9,replay,,150,1.0,0.25,301,c09_replay_150_0024,150,,,0,193.000000,193.000000,193.000000,193.000000,193.000000,0.2386,0.0000,0.2386,0.0000
C,boundary_slack,9,replay,,150,1.0,0.25,301,c09_replay_150_0025,150,,,0,165.000000,32.000000,0.000000,165.000000,32.000000,0.2517,0.0000,0.2517,0.0833
C,boundary_slack,9,replay,,150,1.0,0.25,301,c09_replay_150_0026,150,,,0,670.129600,665.996000,636.662400,673.729600,670.662400,0.2581,0.0833,0.2473,0.0435
C,boundary_slack,9,replay,,150,1.0,0.25,301,c09_replay_150_0027,150,,,0,40.000000,40.000000,40.000000,40.000000,40.000000,0.2500,0.0476,0.2500,0.0000
C,boundary_slack,9,replay,,150,1.0,0.25,301,c09_replay_150_0028,150,,,0,12.000000,12.000000,12.000000,12.000000,12.000000,0.2133,0.0000,0.2133,0.0000
C,boundary_slack,9,replay,,150,1.0,0.25,301,c09_replay_150_0029,150,,,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.1972,0.0000,0.1972,0.0000
C,boundary_slack,9,replay,,150,1.0,0.25,303,c09_replay_150_0020,150,,,0,97.729600,97.729600,97.729600,97.729600,97.729600,0.2346,0.0000,0.2346,0.0000
C,boundary_slack,9,replay,,150,1.0,0.25,303,c09_replay_150_0021,150,,,0,264.000000,264.000000,264.000000,264.000000,264.000000,0.2500,0.0000,0.2500,0.0000
C,boundary_slack,9,replay,,150,1.0,0.25,303,c09_replay_150_0022,150,,,0,740.000000,740.000000,740.000000,740.000000,740.000000,0.2436,0.0000,0.2436,0.0000
C,boundary_slack,9,replay,,150,1.0,0.25,303,c09_replay_150_0023,150,,,0,440.000000,412.000000,412.000000,440.000000,412.000000,0.2448,0.0286,0.2517,0.0278
C,boundary_slack,9,replay,,150,1.0,0.25,303,c09_replay_150_0024,150,,,0,193.000000,193.000000,193.000000,193.000000,193.000000,0.2386,0.0000,0.2386,0.0000
C,boundary_slack,9,replay,,150,1.0,0.25,303,c09_replay_150_0025,150,,,0,165.000000,58.000000,0.000000,165.000000,58.000000,0.2517,0.0000,0.2517,0.0278
C,boundary_slack,9,replay,,150,1.0,0.25,303,c09_replay_150_0026,150,,,0,670.129600,650.396000,636.662400,673.729600,651.996000,0.2581,0.0833,0.2581,0.0417
C,boundary_slack,9,replay,,150,1.0,0.25,303,c09_replay_150_0027,150,,,0,40.000000,40.000000,40.000000,40.000000,40.000000,0.2500,0.0476,0.2500,0.0000
C,boundary_slack,9,replay,,150,1.0,0.25,303,c09_replay_150_0028,150,,,0,12.000000,12.000000,12.000000,12.000000,12.000000,0.2133,0.0000,0.2133,0.0000
C,boundary_slack,9,replay,,150,1.0,0.25,303,c09_replay_150_0029,150,,,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.1972,0.0000,0.2113,0.0000
C,boundary_slack,9,replay,,400,1.0,0.25,302,c09_replay_400_0020,400,,,0,347.729600,347.729600,347.729600,347.729600,347.729600,0.2459,0.0000,0.2459,0.0000
C,boundary_slack,9,replay,,400,1.0,0.25,302,c09_replay_400_0021,400,,,0,290.000000,290.000000,290.000000,290.000000,290.000000,0.2514,0.0115,0.2514,0.0115
C,boundary_slack,9,replay,,400,1.0,0.25,302,c09_replay_400_0022,400,,,0,1897.732800,1897.732800,1913.732800,1913.732800,1913.732800,0.2537,0.0192,0.2537,0.0192
C,boundary_slack,9,replay,,400,1.0,0.25,302,c09_replay_400_0023,400,,,0,496.000000,458.400000,458.400000,496.000000,458.400000,0.2500,0.0130,0.2516,0.0253
C,boundary_slack,9,replay,,400,1.0,0.25,302,c09_replay_400_0024,400,,,0,675.533600,712.533600,454.533600,690.533600,462.533600,0.2500,0.0805,0.2500,0.0575
C,boundary_slack,9,replay,,400,1.0,0.25,302,c09_replay_400_0025,400,,,0,1069.863200,1053.329600,1029.062400,1070.129600,1049.329600,0.2489,0.0517,0.2489,0.0345
C,boundary_slack,9,replay,,400,1.0,0.25,302,c09_replay_400_0026,400,,,0,233.933200,233.933200,228.000000,228.000000,228.000000,0.2511,0.0345,0.2511,0.0172
C,boundary_slack,9,replay,,400,1.0,0.25,302,c09_replay_400_0027,400,,,0,28.000000,28.000000,28.000000,28.000000,28.000000,0.2260,0.0213,0.2260,0.0213
C,boundary_slack,9,replay,,400,1.0,0.25,302,c09_replay_400_0028,400,,,0,182.000000,182.000000,182.000000,182.000000,182.000000,0.2482,0.0143,0.2482,0.0143
C,boundary_slack,9,replay,,400,1.0,0.25,302,c09_replay_400_0029,400,,,0,364.000000,364.000000,364.000000,364.000000,364.000000,0.2400,0.0208,0.2400,0.0208
C,boundary_slack,9,replay,,400,1.0,0.25,301,c09_replay_400_0020,400,,,0,347.729600,347.729600,347.729600,347.729600,347.729600,0.2459,0.0000,0.2459,0.0000
C,boundary_slack,9,replay,,400,1.0,0.25,301,c09_replay_400_0021,400,,,0,290.000000,290.000000,290.000000,290.000000,290.000000,0.2514,0.0115,0.2514,0.0115
C,boundary_slack,9,replay,,400,1.0,0.25,301,c09_replay_400_0022,400,,,0,1897.732800,1897.732800,1913.732800,1913.732800,1913.732800,0.2537,0.0192,0.2537,0.0192
C,boundary_slack,9,replay,,400,1.0,0.25,301,c09_replay_400_0023,400,,,0,496.000000,462.400000,458.400000,496.000000,458.400000,0.2500,0.0130,0.2516,0.0380
C,boundary_slack,9,replay,,400,1.0,0.25,301,c09_replay_400_0024,400,,,0,675.533600,431.533600,454.533600,690.533600,410.533600,0.2500,0.0805,0.2500,0.0575
C,boundary_slack,9,replay,,400,1.0,0.25,301,c09_replay_400_0025,400,,,0,1069.863200,1077.462400,1029.062400,1070.129600,1051.729600,0.2489,0.0517,0.2489,0.0690
C,boundary_slack,9,replay,,400,1.0,0.25,301,c09_replay_400_0026,400,,,0,233.933200,238.000000,228.000000,228.000000,238.000000,0.2511,0.0345,0.2511,0.0000
