part,scope,campus,regime,u,size,beta,rho,seed,inst_id,n_wos,util_pool,util_worst,subsampled,rule,m0_alone,oracle,rule_sup,m0_sup,rule_sup_revfrac,rule_sup_orr,m0_sup_revfrac,m0_sup_orr
B,e3,9,storm2,70,,0.0,0.25,302,c09_storm2_w80_u70_0020,1686,0.700777710858586,0.9395945758928572,0,1336.268000,1339.090400,1304.768000,1336.806400,1344.478400,0.2470,0.0054,0.2510,0.0053
B,e3,9,storm2,70,,0.0,0.25,302,c09_storm2_w80_u70_0021,1686,0.700777710858586,0.9395945758928572,0,950.195600,950.195600,950.195600,950.195600,950.195600,0.2500,0.0000,0.2485,0.0000
B,e3,9,storm2,70,,0.0,0.25,302,c09_storm2_w80_u70_0022,1686,0.700777710858586,0.9395945758928572,0,445.652800,445.652800,451.593600,445.652800,445.652800,0.2507,0.0118,0.2500,0.0235
B,e3,9,storm2,70,,0.0,0.25,302,c09_storm2_w80_u70_0023,1686,0.700777710858586,0.9395945758928572,0,585.544400,585.287600,589.739600,585.544400,585.287600,0.2527,0.0000,0.2527,0.0000
B,e3,9,storm2,70,,0.0,0.25,302,c09_storm2_w80_u70_0024,1686,0.700777710858586,0.9395945758928572,0,875.506400,875.506400,907.303200,875.506400,875.506400,0.2460,0.0000,0.2433,0.0000
B,e3,9,storm2,70,,0.0,0.25,302,c09_storm2_w80_u70_0025,1686,0.700777710858586,0.9395945758928572,0,1127.043600,1127.043600,1127.043600,1127.043600,1127.043600,0.2492,0.0000,0.2467,0.0000
B,e3,9,storm2,70,,0.0,0.25,302,c09_storm2_w80_u70_0026,1686,0.700777710858586,0.9395945758928572,0,840.394800,858.654400,822.995200,821.694000,842.137200,0.2484,0.0258,0.2492,0.0325
B,e3,9,storm2,70,,0.0,0.25,302,c09_storm2_w80_u70_0027,1686,0.700777710858586,0.9395945758928572,0,865.187600,865.187600,865.022000,865.187600,865.187600,0.2500,0.0000,0.2500,0.0000
B,e3,9,storm2,70,,0.0,0.25,302,c09_storm2_w80_u70_0028,1686,0.700777710858586,0.9395945758928572,0,1067.024000,1072.115600,1004.520400,1010.104400,1012.069200,0.2514,0.0216,0.2509,0.0217
B,e3,9,storm2,70,,0.0,0.25,302,c09_storm2_w80_u70_0029,1686,0.700777710858586,0.9395945758928572,0,537.514400,526.091200,521.266000,523.526800,521.380800,0.2393,0.0137,0.2393,0.0137
B,e3,9,storm2,70,,0.5,0.25,302,c09_storm2_w80_u70_0020,1686,0.700777710858586,0.9395945758928572,0,1319.662000,1262.660000,1280.688000,1330.880800,1271.106800,0.2507,0.0476,0.2500,0.0316
B,e3,9,storm2,70,,0.5,0.25,302,c09_storm2_w80_u70_0021,1686,0.700777710858586,0.9395945758928572,0,1119.015200,1119.015200,1122.718400,1119.015200,1119.015200,0.2500,0.0000,0.2500,0.0000
B,e3,9,storm2,70,,0.5,0.25,302,c09_storm2_w80_u70_0022,1686,0.700777710858586,0.9395945758928572,0,908.775200,912.678400,902.964400,908.775200,912.333600,0.2515,0.0000,0.2500,0.0118
B,e3,9,storm2,70,,0.5,0.25,302,c09_storm2_w80_u70_0023,1686,0.700777710858586,0.9395945758928572,0,910.877200,911.266000,911.566800,910.877200,911.266000,0.2527,0.0000,0.2500,0.0000
B,e3,9,storm2,70,,0.5,0.25,302,c09_storm2_w80_u70_0024,1686,0.700777710858586,0.9395945758928572,0,1086.670400,1120.633600,1125.056800,1086.921600,1120.199200,0.2506,0.0090,0.2517,0.0088
B,e3,9,storm2,70,,0.5,0.25,302,c09_storm2_w80_u70_0025,1686,0.700777710858586,0.9395945758928572,0,1064.612000,1064.612000,1064.612000,1064.612000,1064.612000,0.2525,0.0000,0.2525,0.0000
B,e3,9,storm2,70,,0.5,0.25,302,c09_storm2_w80_u70_0026,1686,0.700777710858586,0.9395945758928572,0,777.633200,740.702400,740.985200,761.704000,740.702400,0.2500,0.0065,0.2504,0.0000
B,e3,9,storm2,70,,0.5,0.25,302,c09_storm2_w80_u70_0027,1686,0.700777710858586,0.9395945758928572,0,1104.446000,1104.446000,1102.753200,1104.446000,1104.446000,0.2500,0.0000,0.2500,0.0000
B,e3,9,storm2,70,,0.5,0.25,302,c09_storm2_w80_u70_0028,1686,0.700777710858586,0.9395945758928572,0,1060.126400,1064.168000,1040.672800,1065.773600,1064.168000,0.2505,0.0444,0.2495,0.0073
