source,campus,u,beta,rho,seed,iter,cum_overrides,n_reviews_iter,override_rate,sign_acc,pearson_r,m0_twt_mean,rule_twt,oracle_twt,note
live_m0,9,100,0.5,0.25,301,0,601,6679,0.089984,0.708064,0.410028,2018.3214,2796.4979,1651.3185,"held-out M0-alone TWT*(w*,d*), n=10"
live_m0,9,100,0.5,0.25,301,1,843,6634,0.036479,0.751446,0.408891,1957.7001,2796.4979,1651.3185,"held-out M0-alone TWT*(w*,d*), n=10"
live_m0,9,100,0.5,0.25,301,2,1055,6587,0.032185,0.734944,0.353625,2066.3330,2796.4979,1651.3185,"held-out M0-alone TWT*(w*,d*), n=10"
live_m0,9,100,0.5,0.25,301,3,1293,6553,0.036319,0.655155,0.362706,2020.3704,2796.4979,1651.3185,"held-out M0-alone TWT*(w*,d*), n=10"
live_m0,9,100,0.5,0.25,301,4,1527,6614,0.035379,0.734774,0.331661,2009.1543,2796.4979,1651.3185,"held-out M0-alone TWT*(w*,d*), n=10"
live_m0,9,100,0.5,0.25,301,5,1815,6645,0.043341,0.756380,0.311407,2083.5283,2796.4979,1651.3185,"held-out M0-alone TWT*(w*,d*), n=10"
live_m0,9,100,0.5,0.25,301,6,2116,6599,0.045613,0.755019,0.320283,2066.8667,2796.4979,1651.3185,"held-out M0-alone TWT*(w*,d*), n=10"
live_m0,9,100,0.5,0.25,301,7,2414,6599,0.045158,0.763355,0.363967,2013.7558,2796.4979,1651.3185,"held-out M0-alone TWT*(w*,d*), n=10"
live_m0,9,100,0.5,0.25,302,0,585,6671,0.087693,0.628275,0.409199,2078.1841,2796.4979,1651.3185,"held-out M0-alone TWT*(w*,d*), n=10"
live_m0,9,100,0.5,0.25,302,1,848,6648,0.039561,0.663491,0.418989,2110.9103,2796.4979,1651.3185,"held-out M0-alone TWT*(w*,d*), n=10"
live_m0,9,100,0.5,0.25,302,2,1120,6674,0.040755,0.683566,0.385487,1967.2503,2796.4979,1651.3185,"held-out M0-alone TWT*(w*,d*), n=10"
live_m0,9,100,0.5,0.25,302,3,1367,6575,0.037567,0.711126,0.383041,1981.6828,2796.4979,1651.3185,"held-out M0-alone TWT*(w*,d*), n=10"
live_m0,9,100,0.5,0.25,302,4,1619,6617,0.038084,0.690881,0.359561,1959.3858,2796.4979,1651.3185,"held-out M0-alone TWT*(w*,d*), n=10"
live_m0,9,100,0.5,0.25,302,5,1874,6649,0.038352,0.703130,0.367185,1904.4943,2796.4979,1651.3185,"held-out M0-alone TWT*(w*,d*), n=10"
live_m0,9,100,0.5,0.25,302,6,2079,6578,0.031164,0.646138,0.336686,2104.3960,2796.4979,1651.3185,"held-out M0-alone TWT*(w*,d*), n=10"
live_m0,9,100,0.5,0.25,302,7,2353,6604,0.041490,0.610582,0.328490,2173.0282,2796.4979,1651.3185,"held-out M0-alone TWT*(w*,d*), n=10"
live_m0,9,100,0.5,0.25,303,0,548,6673,0.082122,0.677271,0.383587,2139.1449,2796.4979,1651.3185,"held-out M0-alone TWT*(w*,d*), n=10"
live_m0,9,100,0.5,0.25,303,1,815,6648,0.040162,0.743961,0.415077,2065.9656,2796.4979,1651.3185,"held-out M0-alone TWT*(w*,d*), n=10"
