mechanism,campus,u,beta,rho,seed,inst_id,n_wos,rule,m0_alone,m0_sup,rule_sup,oracle,rule_sup_revfrac,m0_sup_revfrac,m0_final_r,m0_final_orr,m0_final_sign
targeted,9,100,1.0,0.25,301,c09_storm2_w80_u100_0020,2253,2113.920800,1685.812000,1639.239200,1974.308800,1660.290800,0.2494,0.2488,0.3228,0.0209,0.5657
targeted,9,100,1.0,0.25,301,c09_storm2_w80_u100_0021,2253,2468.501600,2127.064800,2140.574400,2425.110000,2178.691200,0.2495,0.2448,0.3228,0.0209,0.5657
targeted,9,100,1.0,0.25,301,c09_storm2_w80_u100_0022,2253,1216.011200,973.572400,977.068400,1099.216000,991.862400,0.2503,0.2493,0.3228,0.0209,0.5657
targeted,9,100,1.0,0.25,301,c09_storm2_w80_u100_0023,2253,5676.362400,2775.650800,2608.315200,4018.612400,2621.206400,0.2496,0.2497,0.3228,0.0209,0.5657
targeted,9,100,1.0,0.25,301,c09_storm2_w80_u100_0024,2253,4396.206800,2358.705600,1994.484000,2834.593600,1996.894800,0.2502,0.2505,0.3228,0.0209,0.5657
targeted,9,100,1.0,0.25,301,c09_storm2_w80_u100_0025,2253,6411.756400,2979.735200,2520.513600,4054.931600,2533.840800,0.2503,0.2501,0.3228,0.0209,0.5657
targeted,9,100,1.0,0.25,301,c09_storm2_w80_u100_0026,2253,5006.202000,2086.948000,2038.843600,4109.313600,1938.243600,0.2497,0.2431,0.3228,0.0209,0.5657
targeted,9,100,1.0,0.25,301,c09_storm2_w80_u100_0027,2253,2535.368000,1799.105600,1676.946000,2061.197200,1685.882800,0.2476,0.2438,0.3228,0.0209,0.5657
targeted,9,100,1.0,0.25,301,c09_storm2_w80_u100_0028,2253,2083.722400,1302.152400,1302.480800,2021.848800,1316.495200,0.2498,0.2454,0.3228,0.0209,0.5657
targeted,9,100,1.0,0.25,301,c09_storm2_w80_u100_0029,2253,4540.255600,1888.186400,1415.808400,2328.602400,1226.778800,0.2490,0.2492,0.3228,0.0209,0.5657
targeted,9,100,1.0,0.25,302,c09_storm2_w80_u100_0020,2253,2113.920800,1723.539600,1631.607600,1974.308800,1660.290800,0.2494,0.2490,0.3893,0.0182,0.7312
targeted,9,100,1.0,0.25,302,c09_storm2_w80_u100_0021,2253,2468.501600,2169.646000,2146.010400,2425.110000,2178.691200,0.2495,0.2468,0.3893,0.0182,0.7312
targeted,9,100,1.0,0.25,302,c09_storm2_w80_u100_0022,2253,1216.011200,994.066400,992.236400,1099.216000,991.862400,0.2503,0.2493,0.3893,0.0182,0.7312
targeted,9,100,1.0,0.25,302,c09_storm2_w80_u100_0023,2253,5676.362400,2822.065200,2685.714000,4018.612400,2621.206400,0.2496,0.2497,0.3893,0.0182,0.7312
targeted,9,100,1.0,0.25,302,c09_storm2_w80_u100_0024,2253,4396.206800,2181.403200,2024.340000,2834.593600,1996.894800,0.2502,0.2505,0.3893,0.0182,0.7312
targeted,9,100,1.0,0.25,302,c09_storm2_w80_u100_0025,2253,6411.756400,2943.910000,2568.256000,4054.931600,2533.840800,0.2503,0.2501,0.3893,0.0182,0.7312
targeted,9,100,1.0,0.25,302,c09_storm2_w80_u100_0026,2253,5006.202000,2376.272000,2289.852000,4109.313600,1938.243600,0.2497,0.2460,0.3893,0.0182,0.7312
targeted,9,100,1.0,0.25,302,c09_storm2_w80_u100_0027,2253,2535.368000,1851.201200,1673.368400,2061.197200,1685.882800,0.2476,0.2446,0.3893,0.0182,0.7312
targeted,9,100,1.0,0.25,302,c09_storm2_w80_u100_0028,2253,2083.722400,1309.272400,1306.246800,2021.848800,1316.495200,0.2498,0.2467,0.3893,0.0182,0.7312
targeted,9,100,1.0,0.25,302,c09_storm2_w80_u100_0029,2253,4540.255600,1635.014000,1284.388000,2328.602400,1226.778800,0.2490,0.2493,0.3893,0.0182,0.7312
targeted,9,100,1.0,0.25,303,c09_storm2_w80_u100_0020,2253,2113.920800,1636.229200,1632.326000,1974.308800,1660.290800,0.2494,0.2488,0.4056,0.0275,0.6855
targeted,9,100,1.0,0.25,303,c09_storm2_w80_u100_0021,2253,2468.501600,2131.872400,2125.414400,2425.110000,2178.691200,0.2495,0.2468,0.4056,0.0275,0.6855
targeted,9,100,1.0,0.25,303,c09_storm2_w80_u100_0022,2253,1216.011200,1017.177200,1000.308400,1099.216000,991.862400,0.2503,0.2498,0.4056,0.0275,0.6855
targeted,9,100,1.0,0.25,303,c09_storm2_w80_u100_0023,2253,5676.362400,2920.254800,2612.666000,4018.612400,2621.206400,0.2496,0.2504,0.4056,0.0275,0.6855
targeted,9,100,1.0,0.25,303,c09_storm2_w80_u100_0024,2253,4396.206800,2476.737200,2033.463200,2834.593600,1996.894800,0.2502,0.2502,0.4056,0.0275,0.6855
targeted,9,100,1.0,0.25,303,c09_storm2_w80_u100_0025,2253,6411.756400,3112.762400,2642.159600,4054.931600,2533.840800,0.2503,0.2503,0.4056,0.0275,0.6855
targeted,9,100,1.0,0.25,303,c09_storm2_w80_u100_0026,2253,5006.202000,2543.850800,2486.926800,4109.313600,1938.243600,0.2497,0.2459,0.4056,0.0275,0.6855
targeted,9,100,1.0,0.25,303,c09_storm2_w80_u100_0027,2253,2535.368000,1923.285200,1673.293200,2061.197200,1685.882800,0.2476,0.2427,0.4056,0.0275,0.6855
targeted,9,100,1.0,0.25,303,c09_storm2_w80_u100_0028,2253,2083.722400,1302.622800,1302.398000,2021.848800,1316.495200,0.2498,0.2468,0.4056,0.0275,0.6855
targeted,9,100,1.0,0.25,303,c09_storm2_w80_u100_0029,2253,4540.255600,1890.822000,1475.116400,2328.602400,1226.778800,0.2490,0.2496,0.4056,0.0275,0.6855
targeted,9,100,1.0,0.25,304,c09_storm2_w80_u100_0020,2253,2113.920800,1681.808000,1630.959600,1974.308800,1660.290800,0.2494,0.2488,0.4312,0.0219,0.7705
targeted,9,100,1.0,0.25,304,c09_storm2_w80_u100_0021,2253,2468.501600,2126.305600,2152.174400,2425.110000,2178.691200,0.2495,0.2429,0.4312,0.0219,0.7705
targeted,9,100,1.0,0.25,304,c09_storm2_w80_u100_0022,2253,1216.011200,981.195200,980.976800,1099.216000,991.862400,0.2503,0.2493,0.4312,0.0219,0.7705
targeted,9,100,1.0,0.25,304,c09_storm2_w80_u100_0023,2253,5676.362400,2856.626000,2616.761200,4018.612400,2621.206400,0.2496,0.2499,0.4312,0.0219,0.7705
targeted,9,100,1.0,0.25,304,c09_storm2_w80_u100_0024,2253,4396.206800,2541.745200,2006.792000,2834.593600,1996.894800,0.2502,0.2500,0.4312,0.0219,0.7705
targeted,9,100,1.0,0.25,304,c09_storm2_w80_u100_0025,2253,6411.756400,2837.318400,2564.244400,4054.931600,2533.840800,0.2503,0.2503,0.4312,0.0219,0.7705
targeted,9,100,1.0,0.25,304,c09_storm2_w80_u100_0026,2253,5006.202000,2183.997600,2105.928000,4109.313600,1938.243600,0.2497,0.2436,0.4312,0.0219,0.7705
targeted,9,100,1.0,0.25,304,c09_storm2_w80_u100_0027,2253,2535.368000,1743.044400,1650.346000,2061.197200,1685.882800,0.2476,0.2448,0.4312,0.0219,0.7705
targeted,9,100,1.0,0.25,304,c09_storm2_w80_u100_0028,2253,2083.722400,1360.329600,1301.443600,2021.848800,1316.495200,0.2498,0.2446,0.4312,0.0219,0.7705
targeted,9,100,1.0,0.25,304,c09_storm2_w80_u100_0029,2253,4540.255600,1500.962000,1281.752400,2328.602400,1226.778800,0.2490,0.2493,0.4312,0.0219,0.7705
targeted,9,100,1.0,0.25,305,c09_storm2_w80_u100_0020,2253,2113.920800,1644.047600,1614.148000,1974.308800,1660.290800,0.2494,0.2488,0.4023,0.0218,0.7500
targeted,9,100,1.0,0.25,305,c09_storm2_w80_u100_0021,2253,2468.501600,2136.103200,2136.103200,2425.110000,2178.691200,0.2495,0.2465,0.4023,0.0218,0.7500
targeted,9,100,1.0,0.25,305,c09_storm2_w80_u100_0022,2253,1216.011200,1040.326000,1009.137200,1099.216000,991.862400,0.2503,0.2487,0.4023,0.0218,0.7500
targeted,9,100,1.0,0.25,305,c09_storm2_w80_u100_0023,2253,5676.362400,2997.913200,2795.016800,4018.612400,2621.206400,0.2496,0.2500,0.4023,0.0218,0.7500
targeted,9,100,1.0,0.25,305,c09_storm2_w80_u100_0024,2253,4396.206800,2256.460000,2040.570000,2834.593600,1996.894800,0.2502,0.2502,0.4023,0.0218,0.7500
targeted,9,100,1.0,0.25,305,c09_storm2_w80_u100_0025,2253,6411.756400,3115.884800,2726.807200,4054.931600,2533.840800,0.2503,0.2501,0.4023,0.0218,0.7500
targeted,9,100,1.0,0.25,305,c09_storm2_w80_u100_0026,2253,5006.202000,2343.769600,2240.326800,4109.313600,1938.243600,0.2497,0.2457,0.4023,0.0218,0.7500
targeted,9,100,1.0,0.25,305,c09_storm2_w80_u100_0027,2253,2535.368000,1758.764400,1660.415200,2061.197200,1685.882800,0.2476,0.2449,0.4023,0.0218,0.7500
targeted,9,100,1.0,0.25,305,c09_storm2_w80_u100_0028,2253,2083.722400,1299.776800,1299.776800,2021.848800,1316.495200,0.2498,0.2460,0.4023,0.0218,0.7500
targeted,9,100,1.0,0.25,305,c09_storm2_w80_u100_0029,2253,4540.255600,1789.257600,1403.908000,2328.602400,1226.778800,0.2490,0.2494,0.4023,0.0218,0.7500
random,9,100,1.0,0.25,301,c09_storm2_w80_u100_0020,2253,2113.920800,1655.326000,1656.079600,1996.372000,1660.290800,0.0000,0.0000,0.5758,0.0167,0.5795
random,9,100,1.0,0.25,301,c09_storm2_w80_u100_0021,2253,2468.501600,2135.637600,2135.637600,2446.120000,2178.691200,0.0000,0.0000,0.5758,0.0167,0.5795
random,9,100,1.0,0.25,301,c09_storm2_w80_u100_0022,2253,1216.011200,985.529200,996.869200,1058.432000,991.862400,0.0000,0.0000,0.5758,0.0167,0.5795
random,9,100,1.0,0.25,301,c09_storm2_w80_u100_0023,2253,5676.362400,2740.702800,2603.377600,4329.909200,2621.206400,0.0000,0.0000,0.5758,0.0167,0.5795
random,9,100,1.0,0.25,301,c09_storm2_w80_u100_0024,2253,4396.206800,2182.223600,1979.669600,3352.437600,1996.894800,0.0000,0.0000,0.5758,0.0167,0.5795
random,9,100,1.0,0.25,301,c09_storm2_w80_u100_0025,2253,6411.756400,2494.078000,2500.880400,4701.635600,2533.840800,0.0000,0.0000,0.5758,0.0167,0.5795
random,9,100,1.0,0.25,301,c09_storm2_w80_u100_0026,2253,5006.202000,1947.413200,1936.525200,4328.278400,1938.243600,0.0000,0.0000,0.5758,0.0167,0.5795
random,9,100,1.0,0.25,301,c09_storm2_w80_u100_0027,2253,2535.368000,1778.959200,1668.963200,2272.594800,1685.882800,0.0000,0.0000,0.5758,0.0167,0.5795
random,9,100,1.0,0.25,301,c09_storm2_w80_u100_0028,2253,2083.722400,1313.271200,1310.850800,2051.204800,1316.495200,0.0000,0.0000,0.5758,0.0167,0.5795
random,9,100,1.0,0.25,301,c09_storm2_w80_u100_0029,2253,4540.255600,1317.340400,1229.693200,3048.227600,1226.778800,0.0000,0.0000,0.5758,0.0167,0.5795
random,9,100,1.0,0.25,302,c09_storm2_w80_u100_0020,2253,2113.920800,1695.197200,1656.313200,1999.756000,1660.290800,0.0000,0.0000,0.6181,0.0076,0.8000
random,9,100,1.0,0.25,302,c09_storm2_w80_u100_0021,2253,2468.501600,2174.854400,2140.116000,2431.613200,2178.691200,0.0000,0.0000,0.6181,0.0076,0.8000
random,9,100,1.0,0.25,302,c09_storm2_w80_u100_0022,2253,1216.011200,988.654800,993.069200,1172.829200,991.862400,0.0000,0.0000,0.6181,0.0076,0.8000
random,9,100,1.0,0.25,302,c09_storm2_w80_u100_0023,2253,5676.362400,2729.858000,2620.572000,4522.191600,2621.206400,0.0000,0.0000,0.6181,0.0076,0.8000
random,9,100,1.0,0.25,302,c09_storm2_w80_u100_0024,2253,4396.206800,2058.929200,1990.851600,3303.333600,1996.894800,0.0000,0.0000,0.6181,0.0076,0.8000
random,9,100,1.0,0.25,302,c09_storm2_w80_u100_0025,2253,6411.756400,2790.203600,2514.270800,5119.631600,2533.840800,0.0000,0.0000,0.6181,0.0076,0.8000
random,9,100,1.0,0.25,302,c09_storm2_w80_u100_0026,2253,5006.202000,2051.504400,2004.804800,4312.133600,1938.243600,0.0000,0.0000,0.6181,0.0076,0.8000
random,9,100,1.0,0.25,302,c09_storm2_w80_u100_0027,2253,2535.368000,1677.145600,1674.654000,2235.966800,1685.882800,0.0000,0.0000,0.6181,0.0076,0.8000
random,9,100,1.0,0.25,302,c09_storm2_w80_u100_0028,2253,2083.722400,1303.564400,1303.371600,2045.414000,1316.495200,0.0000,0.0000,0.6181,0.0076,0.8000
random,9,100,1.0,0.25,302,c09_storm2_w80_u100_0029,2253,4540.255600,1421.338000,1228.898400,2873.990000,1226.778800,0.0000,0.0000,0.6181,0.0076,0.8000
random,9,100,1.0,0.25,303,c09_storm2_w80_u100_0020,2253,2113.920800,1672.630000,1648.181600,2038.193200,1660.290800,0.0000,0.0000,0.5751,0.0111,0.6063
random,9,100,1.0,0.25,303,c09_storm2_w80_u100_0021,2253,2468.501600,2144.044000,2139.891200,2413.728400,2178.691200,0.0000,0.0000,0.5751,0.0111,0.6063
random,9,100,1.0,0.25,303,c09_storm2_w80_u100_0022,2253,1216.011200,1025.879600,1019.586000,1120.056800,991.862400,0.0000,0.0000,0.5751,0.0111,0.6063
random,9,100,1.0,0.25,303,c09_storm2_w80_u100_0023,2253,5676.362400,2797.494000,2625.257200,4242.722800,2621.206400,0.0000,0.0000,0.5751,0.0111,0.6063
random,9,100,1.0,0.25,303,c09_storm2_w80_u100_0024,2253,4396.206800,2139.391200,2031.281600,3467.580800,1996.894800,0.0000,0.0000,0.5751,0.0111,0.6063
random,9,100,1.0,0.25,303,c09_storm2_w80_u100_0025,2253,6411.756400,2928.782000,2770.259200,4967.645200,2533.840800,0.0000,0.0000,0.5751,0.0111,0.6063
random,9,100,1.0,0.25,303,c09_storm2_w80_u100_0026,2253,5006.202000,2140.994000,2091.367600,4263.640400,1938.243600,0.0000,0.0000,0.5751,0.0111,0.6063
random,9,100,1.0,0.25,303,c09_storm2_w80_u100_0027,2253,2535.368000,1677.063600,1670.627600,2189.428400,1685.882800,0.0000,0.0000,0.5751,0.0111,0.6063
random,9,100,1.0,0.25,303,c09_storm2_w80_u100_0028,2253,2083.722400,1310.273600,1310.273600,2030.454400,1316.495200,0.0000,0.0000,0.5751,0.0111,0.6063
random,9,100,1.0,0.25,303,c09_storm2_w80_u100_0029,2253,4540.255600,1535.239200,1322.097600,3201.777200,1226.778800,0.0000,0.0000,0.5751,0.0111,0.6063
random,9,100,1.0,0.25,304,c09_storm2_w80_u100_0020,2253,2113.920800,1641.649200,1633.589200,2020.314000,1660.290800,0.0000,0.0000,0.5590,0.0125,0.7972
random,9,100,1.0,0.25,304,c09_storm2_w80_u100_0021,2253,2468.501600,2149.005600,2122.998400,2444.312400,2178.691200,0.0000,0.0000,0.5590,0.0125,0.7972
random,9,100,1.0,0.25,304,c09_storm2_w80_u100_0022,2253,1216.011200,1085.716800,1092.080000,1128.915600,991.862400,0.0000,0.0000,0.5590,0.0125,0.7972
random,9,100,1.0,0.25,304,c09_storm2_w80_u100_0023,2253,5676.362400,2861.450400,2625.103200,4562.072400,2621.206400,0.0000,0.0000,0.5590,0.0125,0.7972
random,9,100,1.0,0.25,304,c09_storm2_w80_u100_0024,2253,4396.206800,2219.873200,2011.531200,3198.593600,1996.894800,0.0000,0.0000,0.5590,0.0125,0.7972
random,9,100,1.0,0.25,304,c09_storm2_w80_u100_0025,2253,6411.756400,2694.260000,2519.262800,5181.872000,2533.840800,0.0000,0.0000,0.5590,0.0125,0.7972
random,9,100,1.0,0.25,304,c09_storm2_w80_u100_0026,2253,5006.202000,1942.391600,1912.009200,4243.455600,1938.243600,0.0000,0.0000,0.5590,0.0125,0.7972
random,9,100,1.0,0.25,304,c09_storm2_w80_u100_0027,2253,2535.368000,1683.615200,1672.800800,2264.996800,1685.882800,0.0000,0.0000,0.5590,0.0125,0.7972
random,9,100,1.0,0.25,304,c09_storm2_w80_u100_0028,2253,2083.722400,1335.697600,1310.285600,2027.836800,1316.495200,0.0000,0.0000,0.5590,0.0125,0.7972
random,9,100,1.0,0.25,304,c09_storm2_w80_u100_0029,2253,4540.255600,1618.178800,1243.623600,2836.126800,1226.778800,0.0000,0.0000,0.5590,0.0125,0.7972
random,9,100,1.0,0.25,305,c09_storm2_w80_u100_0020,2253,2113.920800,1625.900400,1626.784400,2057.542800,1660.290800,0.0000,0.0000,0.5551,0.0090,0.5565
random,9,100,1.0,0.25,305,c09_storm2_w80_u100_0021,2253,2468.501600,2143.284800,2150.069600,2430.166000,2178.691200,0.0000,0.0000,0.5551,0.0090,0.5565
