campus,u,beta,rho,eps,seed,n_wos,util_pool,rule,m0_alone,m0_sup,rule_sup,oracle,pearson_r,sign_acc,final_override_rate,train_overrides,train_reviews,rule_sup_revfrac,rule_sup_orr,m0_sup_revfrac,m0_sup_orr
9,100,1.0,0.05,0.0,301,2253,1.0022,3644.8307,1910.2869,1873.8743,3399.5768,1815.0187,0.5106,0.6779,0.0477,659,10695,0.0501,0.1748,0.0497,0.0487
9,100,1.0,0.05,0.0,302,2253,1.0022,3644.8307,1817.6335,1810.5989,3399.5768,1815.0187,0.4967,0.6478,0.0428,790,10690,0.0501,0.1748,0.0495,0.0294
9,100,1.0,0.05,0.0,303,2253,1.0022,3644.8307,2004.2526,1926.7155,3399.5768,1815.0187,0.4670,0.6526,0.0522,770,10690,0.0501,0.1748,0.0496,0.0638
9,100,1.0,0.05,0.0,304,2253,1.0022,3644.8307,1890.0974,1844.1196,3399.5768,1815.0187,0.5428,0.8193,0.0473,888,10692,0.0501,0.1748,0.0496,0.0518
9,100,1.0,0.05,0.0,305,2253,1.0022,3644.8307,1924.6478,1885.9191,3399.5768,1815.0187,0.5299,0.6848,0.0630,718,10691,0.0501,0.1748,0.0496,0.0520
9,100,1.0,0.1,0.0,301,2253,1.0022,3644.8307,1875.2560,1836.6852,3116.0610,1815.0187,0.4225,0.7100,0.0311,1147,21338,0.1001,0.1347,0.0991,0.0416
9,100,1.0,0.1,0.0,302,2253,1.0022,3644.8307,1852.1636,1837.7570,3116.0610,1815.0187,0.5066,0.8184,0.0297,1103,21327,0.1001,0.1347,0.0992,0.0348
9,100,1.0,0.1,0.0,303,2253,1.0022,3644.8307,2081.5028,1956.5924,3116.0610,1815.0187,0.4777,0.6601,0.0453,1041,21329,0.1001,0.1347,0.0990,0.0624
9,100,1.0,0.1,0.0,304,2253,1.0022,3644.8307,1931.4962,1857.8408,3116.0610,1815.0187,0.4599,0.6634,0.0371,989,21330,0.1001,0.1347,0.0993,0.0355
9,100,1.0,0.1,0.0,305,2253,1.0022,3644.8307,1923.0767,1887.6768,3116.0610,1815.0187,0.4490,0.7597,0.0357,1052,21308,0.1001,0.1347,0.0992,0.0352
9,100,1.0,0.25,0.0,301,2253,1.0022,3644.8307,1997.6933,1831.4274,2692.7734,1815.0187,0.3228,0.5657,0.0209,1642,52941,0.2495,0.0973,0.2475,0.0274
9,100,1.0,0.25,0.0,302,2253,1.0022,3644.8307,2000.6390,1860.2020,2692.7734,1815.0187,0.3893,0.7312,0.0182,1800,53089,0.2495,0.0973,0.2482,0.0287
9,100,1.0,0.25,0.0,303,2253,1.0022,3644.8307,2095.5614,1898.4072,2692.7734,1815.0187,0.4056,0.6855,0.0275,1767,53119,0.2495,0.0973,0.2481,0.0379
9,100,1.0,0.25,0.0,304,2253,1.0022,3644.8307,1981.3332,1829.1378,2692.7734,1815.0187,0.4312,0.7705,0.0219,1569,53023,0.2495,0.0973,0.2474,0.0253
9,100,1.0,0.25,0.0,305,2253,1.0022,3644.8307,2038.2303,1892.6209,2692.7734,1815.0187,0.4023,0.7500,0.0218,1577,52947,0.2495,0.0973,0.2480,0.0336
9,100,1.0,0.5,0.0,301,2253,1.0022,3644.8307,1870.7152,1795.0493,2403.3349,1815.0187,0.4221,0.7731,0.0102,2111,105557,0.4989,0.0677,0.4923,0.0182
9,100,1.0,0.5,0.0,302,2253,1.0022,3644.8307,1939.8716,1802.7969,2403.3349,1815.0187,0.4008,0.7215,0.0129,1975,105781,0.4989,0.0677,0.4896,0.0202
9,100,1.0,0.5,0.0,303,2253,1.0022,3644.8307,2063.6628,1837.2287,2403.3349,1815.0187,0.3216,0.7390,0.0220,2146,105494,0.4989,0.0677,0.4952,0.0237
9,100,1.0,0.5,0.0,304,2253,1.0022,3644.8307,1920.4624,1790.2722,2403.3349,1815.0187,0.4098,0.6425,0.0280,2381,105648,0.4989,0.0677,0.4912,0.0179
9,100,1.0,0.5,0.0,305,2253,1.0022,3644.8307,1834.5807,1801.7940,2403.3349,1815.0187,0.3583,0.7581,0.0197,2187,105573,0.4989,0.0677,0.4936,0.0148
