seed,inst_id,rule,m0_alone,oracle,m1_alone,rule_sup,m0_sup,m1_sup
301,c09_storm2_w80_u100_0020,2113.920800,1685.812000,1660.290800,1634.938000,1974.308800,1639.239200,1633.119600
301,c09_storm2_w80_u100_0021,2468.501600,2127.064800,2178.691200,2173.502400,2425.110000,2140.574400,2173.502400
301,c09_storm2_w80_u100_0022,1216.011200,973.572400,991.862400,1010.574000,1099.216000,977.068400,1005.947600
301,c09_storm2_w80_u100_0023,5676.362400,2775.650800,2621.206400,3382.623200,4018.612400,2608.315200,3401.778400
301,c09_storm2_w80_u100_0024,4396.206800,2358.705600,1996.894800,2333.028800,2834.593600,1994.484000,2333.028800
301,c09_storm2_w80_u100_0025,6411.756400,2979.735200,2533.840800,3390.238400,4054.931600,2520.513600,3328.782000
301,c09_storm2_w80_u100_0026,5006.202000,2086.948000,1938.243600,3049.527600,4109.313600,2038.843600,3049.527600
301,c09_storm2_w80_u100_0027,2535.368000,1799.105600,1685.882800,1717.968800,2061.197200,1676.946000,1685.028400
301,c09_storm2_w80_u100_0028,2083.722400,1302.152400,1316.495200,1308.038400,2021.848800,1302.480800,1308.012400
301,c09_storm2_w80_u100_0029,4540.255600,1888.186400,1226.778800,2251.188000,2328.602400,1415.808400,2251.078800
302,c09_storm2_w80_u100_0020,2113.920800,1723.539600,1660.290800,1628.841200,1974.308800,1631.607600,1626.822800
302,c09_storm2_w80_u100_0021,2468.501600,2169.646000,2178.691200,2186.049600,2425.110000,2146.010400,2186.049600
302,c09_storm2_w80_u100_0022,1216.011200,994.066400,991.862400,1038.916400,1099.216000,992.236400,1011.454400
302,c09_storm2_w80_u100_0023,5676.362400,2822.065200,2621.206400,3481.136400,4018.612400,2685.714000,3475.783600
302,c09_storm2_w80_u100_0024,4396.206800,2181.403200,1996.894800,2331.427600,2834.593600,2024.340000,2331.427600
302,c09_storm2_w80_u100_0025,6411.756400,2943.910000,2533.840800,3408.041600,4054.931600,2568.256000,3398.624000
302,c09_storm2_w80_u100_0026,5006.202000,2376.272000,1938.243600,3336.771200,4109.313600,2289.852000,3351.070800
302,c09_storm2_w80_u100_0027,2535.368000,1851.201200,1685.882800,1738.688800,2061.197200,1673.368400,1738.688800
302,c09_storm2_w80_u100_0028,2083.722400,1309.272400,1316.495200,1308.876400,2021.848800,1306.246800,1308.876400
302,c09_storm2_w80_u100_0029,4540.255600,1635.014000,1226.778800,2299.890400,2328.602400,1284.388000,2299.890400
303,c09_storm2_w80_u100_0020,2113.920800,1636.229200,1660.290800,1642.997200,1974.308800,1632.326000,1650.954000
303,c09_storm2_w80_u100_0021,2468.501600,2131.872400,2178.691200,2196.628800,2425.110000,2125.414400,2190.978400
303,c09_storm2_w80_u100_0022,1216.011200,1017.177200,991.862400,1033.744400,1099.216000,1000.308400,1020.833200
303,c09_storm2_w80_u100_0023,5676.362400,2920.254800,2621.206400,3581.473200,4018.612400,2612.666000,3584.500000
303,c09_storm2_w80_u100_0024,4396.206800,2476.737200,1996.894800,2399.448800,2834.593600,2033.463200,2372.454000
303,c09_storm2_w80_u100_0025,6411.756400,3112.762400,2533.840800,3481.784400,4054.931600,2642.159600,3514.105600
303,c09_storm2_w80_u100_0026,5006.202000,2543.850800,1938.243600,3209.190000,4109.313600,2486.926800,3163.744400
303,c09_storm2_w80_u100_0027,2535.368000,1923.285200,1685.882800,1740.673600,2061.197200,1673.293200,1740.673600
303,c09_storm2_w80_u100_0028,2083.722400,1302.622800,1316.495200,1311.958000,2021.848800,1302.398000,1311.932000
303,c09_storm2_w80_u100_0029,4540.255600,1890.822000,1226.778800,2379.079600,2328.602400,1475.116400,2379.079600
304,c09_storm2_w80_u100_0020,2113.920800,1681.808000,1660.290800,1735.018000,1974.308800,1630.959600,1636.642000
304,c09_storm2_w80_u100_0021,2468.501600,2126.305600,2178.691200,2189.120000,2425.110000,2152.174400,2194.420800
304,c09_storm2_w80_u100_0022,1216.011200,981.195200,991.862400,1042.137600,1099.216000,980.976800,1027.982000
304,c09_storm2_w80_u100_0023,5676.362400,2856.626000,2621.206400,3529.062800,4018.612400,2616.761200,3517.748800
304,c09_storm2_w80_u100_0024,4396.206800,2541.745200,1996.894800,2335.954800,2834.593600,2006.792000,2343.658400
304,c09_storm2_w80_u100_0025,6411.756400,2837.318400,2533.840800,3378.376800,4054.931600,2564.244400,3381.491200
304,c09_storm2_w80_u100_0026,5006.202000,2183.997600,1938.243600,3375.044000,4109.313600,2105.928000,3375.044000
304,c09_storm2_w80_u100_0027,2535.368000,1743.044400,1685.882800,1726.659200,2061.197200,1650.346000,1730.710000
304,c09_storm2_w80_u100_0028,2083.722400,1360.329600,1316.495200,1311.894800,2021.848800,1301.443600,1310.282800
304,c09_storm2_w80_u100_0029,4540.255600,1500.962000,1226.778800,2302.968000,2328.602400,1281.752400,2298.324800
305,c09_storm2_w80_u100_0020,2113.920800,1644.047600,1660.290800,1788.131600,1974.308800,1614.148000,1653.207600
305,c09_storm2_w80_u100_0021,2468.501600,2136.103200,2178.691200,2193.710400,2425.110000,2136.103200,2193.710400
305,c09_storm2_w80_u100_0022,1216.011200,1040.326000,991.862400,1051.266800,1099.216000,1009.137200,1034.285200
305,c09_storm2_w80_u100_0023,5676.362400,2997.913200,2621.206400,3513.416400,4018.612400,2795.016800,3506.693600
305,c09_storm2_w80_u100_0024,4396.206800,2256.460000,1996.894800,2432.926800,2834.593600,2040.570000,2428.842400
305,c09_storm2_w80_u100_0025,6411.756400,3115.884800,2533.840800,3574.390800,4054.931600,2726.807200,3475.146400
305,c09_storm2_w80_u100_0026,5006.202000,2343.769600,1938.243600,3279.364400,4109.313600,2240.326800,3282.054800
305,c09_storm2_w80_u100_0027,2535.368000,1758.764400,1685.882800,1751.618400,2061.197200,1660.415200,1749.589200
305,c09_storm2_w80_u100_0028,2083.722400,1299.776800,1316.495200,1300.861600,2021.848800,1299.776800,1300.588800
305,c09_storm2_w80_u100_0029,4540.255600,1789.257600,1226.778800,2446.098800,2328.602400,1403.908000,2446.098800
306,c09_storm2_w80_u100_0020,2113.920800,1649.296800,1660.290800,1631.783600,1974.308800,1657.900400,1640.210800
306,c09_storm2_w80_u100_0021,2468.501600,2146.678400,2178.691200,2173.464800,2425.110000,2149.118400,2173.464800
306,c09_storm2_w80_u100_0022,1216.011200,1040.229200,991.862400,1075.840400,1099.216000,1022.500800,1017.542800
306,c09_storm2_w80_u100_0023,5676.362400,2640.014400,2621.206400,3173.247200,4018.612400,2553.854000,3155.258800
306,c09_storm2_w80_u100_0024,4396.206800,2001.894400,1996.894800,2309.890400,2834.593600,1968.075200,2309.890400
306,c09_storm2_w80_u100_0025,6411.756400,2585.527200,2533.840800,3343.037200,4054.931600,2540.022400,3313.925200
306,c09_storm2_w80_u100_0026,5006.202000,2661.724000,1938.243600,2710.784000,4109.313600,2451.121200,2710.784000
306,c09_storm2_w80_u100_0027,2535.368000,1674.018800,1685.882800,1719.016400,2061.197200,1675.493200,1715.131600
306,c09_storm2_w80_u100_0028,2083.722400,1307.692400,1316.495200,1307.257600,2021.848800,1307.692400,1307.257600
306,c09_storm2_w80_u100_0029,4540.255600,1315.226800,1226.778800,2322.451200,2328.602400,1243.241200,2322.451200
307,c09_storm2_w80_u100_0020,2113.920800,1670.180000,1660.290800,1638.744000,1974.308800,1643.466000,1637.853600
