instance_id,rule,m0_alone,m1_alone,ilpure_alone,oracle,rule_sup,m0_sup,m1_sup,ilpure_sup
c09_storm2_w80_u100_0020,2113.920800,1685.812000,1634.938000,1655.322800,1660.290800,1974.308800,1639.239200,1633.119600,1655.322800
c09_storm2_w80_u100_0021,2468.501600,2127.064800,2173.502400,2216.219200,2178.691200,2425.110000,2140.574400,2173.502400,2211.912800
c09_storm2_w80_u100_0022,1216.011200,973.572400,1010.574000,1014.820800,991.862400,1099.216000,977.068400,1005.947600,1019.696800
c09_storm2_w80_u100_0023,5676.362400,2775.650800,3382.623200,3423.948000,2621.206400,4018.612400,2608.315200,3401.778400,3410.347200
c09_storm2_w80_u100_0024,4396.206800,2358.705600,2333.028800,2299.673200,1996.894800,2834.593600,1994.484000,2333.028800,2299.673200
c09_storm2_w80_u100_0025,6411.756400,2979.735200,3390.238400,3389.811600,2533.840800,4054.931600,2520.513600,3328.782000,3277.582800
c09_storm2_w80_u100_0026,5006.202000,2086.948000,3049.527600,2976.917600,1938.243600,4109.313600,2038.843600,3049.527600,2985.767200
c09_storm2_w80_u100_0027,2535.368000,1799.105600,1717.968800,1709.185600,1685.882800,2061.197200,1676.946000,1685.028400,1709.231600
c09_storm2_w80_u100_0028,2083.722400,1302.152400,1308.038400,1302.346800,1316.495200,2021.848800,1302.480800,1308.012400,1304.185600
c09_storm2_w80_u100_0029,4540.255600,1888.186400,2251.188000,2224.448400,1226.778800,2328.602400,1415.808400,2251.078800,2219.709200
