instance_id,rule,m0_alone,m1eps_alone,oracle,rule_sup,m0_sup,m1eps_sup
c09_storm2_w80_u100_0020,2113.920800,1637.924400,1633.676800,1660.290800,2045.202800,1659.365600,1616.890000
c09_storm2_w80_u100_0021,2468.501600,2146.179600,2167.732000,2178.691200,2406.940000,2154.902400,2160.637600
c09_storm2_w80_u100_0022,1216.011200,1155.282000,1067.422000,991.862400,1135.184000,1146.822400,1059.457200
c09_storm2_w80_u100_0023,5676.362400,3793.618000,3768.956800,2621.206400,4162.866800,3391.590800,3665.975200
c09_storm2_w80_u100_0024,4396.206800,2863.716400,2489.724400,1996.894800,3067.662400,2280.488400,2477.961200
c09_storm2_w80_u100_0025,6411.756400,4084.106800,3565.608800,2533.840800,4661.215200,3455.887200,3527.718400
c09_storm2_w80_u100_0026,5006.202000,4336.334400,3208.435600,1938.243600,4184.076800,3834.550800,3395.539600
c09_storm2_w80_u100_0027,2535.368000,1729.870800,1738.082000,1685.882800,2148.011600,1688.666800,1749.876400
c09_storm2_w80_u100_0028,2083.722400,1393.468000,1302.116400,1316.495200,2033.507200,1652.795200,1300.042800
c09_storm2_w80_u100_0029,4540.255600,2439.719600,2383.224800,1226.778800,2556.662000,2053.082800,2351.276000
