beta,seed,method,inst_id,rule,alone,plus_sup,rule_sup,oracle
1.0,304,m0,c09_storm2_w80_u100_0020.json,2113.920800,1681.808000,1630.959600,1974.308800,1660.290800
1.0,304,m0,c09_storm2_w80_u100_0021.json,2468.501600,2126.305600,2152.174400,2425.110000,2178.691200
1.0,304,m0,c09_storm2_w80_u100_0022.json,1216.011200,981.195200,980.976800,1099.216000,991.862400
1.0,304,m0,c09_storm2_w80_u100_0023.json,5676.362400,2856.626000,2616.761200,4018.612400,2621.206400
1.0,304,m0,c09_storm2_w80_u100_0024.json,4396.206800,2541.745200,2006.792000,2834.593600,1996.894800
1.0,304,m0,c09_storm2_w80_u100_0025.json,6411.756400,2837.318400,2564.244400,4054.931600,2533.840800
1.0,304,m0,c09_storm2_w80_u100_0026.json,5006.202000,2183.997600,2105.928000,4109.313600,1938.243600
1.0,304,m0,c09_storm2_w80_u100_0027.json,2535.368000,1743.044400,1650.346000,2061.197200,1685.882800
1.0,304,m0,c09_storm2_w80_u100_0028.json,2083.722400,1360.329600,1301.443600,2021.848800,1316.495200
1.0,304,m0,c09_storm2_w80_u100_0029.json,4540.255600,1500.962000,1281.752400,2328.602400,1226.778800
1.0,304,m2t,c09_storm2_w80_u100_0020.json,2113.920800,1808.272800,1692.816400,1974.308800,1660.290800
1.0,304,m2t,c09_storm2_w80_u100_0021.json,2468.501600,2158.043200,2153.151600,2425.110000,2178.691200
1.0,304,m2t,c09_storm2_w80_u100_0022.json,1216.011200,1054.651600,1032.859600,1099.216000,991.862400
1.0,304,m2t,c09_storm2_w80_u100_0023.json,5676.362400,4337.612800,3196.116400,4018.612400,2621.206400
1.0,304,m2t,c09_storm2_w80_u100_0024.json,4396.206800,3400.928000,2618.012800,2834.593600,1996.894800
1.0,304,m2t,c09_storm2_w80_u100_0025.json,6411.756400,4582.551200,3182.842800,4054.931600,2533.840800
1.0,304,m2t,c09_storm2_w80_u100_0026.json,5006.202000,3523.881600,3060.887200,4109.313600,1938.243600
1.0,304,m2t,c09_storm2_w80_u100_0027.json,2535.368000,2017.548800,1858.232800,2061.197200,1685.882800
1.0,304,m2t,c09_storm2_w80_u100_0028.json,2083.722400,1330.304800,1336.500800,2021.848800,1316.495200
1.0,304,m2t,c09_storm2_w80_u100_0029.json,4540.255600,3676.508800,1916.130800,2328.602400,1226.778800
1.0,304,m2a,c09_storm2_w80_u100_0020.json,2113.920800,1872.108400,1729.238800,1974.308800,1660.290800
1.0,304,m2a,c09_storm2_w80_u100_0021.json,2468.501600,2183.350000,2174.975600,2425.110000,2178.691200
1.0,304,m2a,c09_storm2_w80_u100_0022.json,1216.011200,1001.891600,989.809600,1099.216000,991.862400
1.0,304,m2a,c09_storm2_w80_u100_0023.json,5676.362400,4484.686800,3280.296800,4018.612400,2621.206400
1.0,304,m2a,c09_storm2_w80_u100_0024.json,4396.206800,3560.416000,2627.814800,2834.593600,1996.894800
1.0,304,m2a,c09_storm2_w80_u100_0025.json,6411.756400,4675.594800,3123.448400,4054.931600,2533.840800
1.0,304,m2a,c09_storm2_w80_u100_0026.json,5006.202000,3418.784400,3030.731600,4109.313600,1938.243600
1.0,304,m2a,c09_storm2_w80_u100_0027.json,2535.368000,2010.989200,1852.590800,2061.197200,1685.882800
