beta,seed,method,iter,cum_overrides,n_reviews,n_overrides,override_rate,reviewed_fraction,sign_acc_nonzero,pearson_r,exact_class_acc,alone_twt
1.0,304,m0,0,628,6682,628,0.0940,,0.6211,0.4400,0.3702,2144.5924
1.0,304,m0,1,813,6615,185,0.0280,,0.6838,0.4713,0.3680,1980.1236
1.0,304,m0,2,959,6635,146,0.0220,,0.6965,0.5373,0.3761,1925.7262
1.0,304,m0,3,1060,6513,101,0.0155,,0.7078,0.4441,0.3738,1919.0694
1.0,304,m0,4,1182,6644,122,0.0184,,0.7181,0.4576,0.3741,1939.5124
1.0,304,m0,5,1332,6639,150,0.0226,,0.7710,0.4459,0.3738,1821.3460
1.0,304,m0,6,1423,6640,91,0.0137,,0.7563,0.4095,0.3717,1949.7157
1.0,304,m0,7,1569,6655,146,0.0219,,0.7705,0.4312,0.3715,1981.3332
1.0,304,m2t,0,609,6677,609,0.0912,0.2496,0.6979,0.3531,0.3654,2751.2936
1.0,304,m2t,1,1052,6491,443,0.0682,0.2410,0.5808,0.3188,0.3728,2869.5688
1.0,304,m2t,2,1470,6482,418,0.0645,0.2417,0.6146,0.2788,0.3736,2793.5295
1.0,304,m2t,3,1957,6586,487,0.0739,0.2449,0.5838,0.2842,0.3745,2847.3562
1.0,304,m2t,4,2382,6569,425,0.0647,0.2449,0.6112,0.2923,0.3742,2803.9725
1.0,304,m2t,5,2813,6573,431,0.0656,0.2445,0.6047,0.2962,0.3741,2795.9678
1.0,304,m2t,6,3259,6566,446,0.0679,0.2443,0.6015,0.2934,0.3736,2788.9138
1.0,304,m2t,7,3701,6560,442,0.0674,0.2442,0.6025,0.2917,0.3732,2789.0304
1.0,304,m2a,0,557,6643,557,0.0838,0.2483,0.7202,0.4483,0.3741,2847.2914
1.0,304,m2a,1,950,6391,393,0.0615,0.2377,0.6682,0.3225,0.3746,2987.0874
1.0,304,m2a,2,1489,6652,539,0.0810,0.2468,0.6533,0.3685,0.3746,2884.3273
1.0,304,m2a,3,1917,6543,428,0.0654,0.2438,0.6903,0.3657,0.3746,2810.0792
1.0,304,m2a,4,2361,6551,444,0.0678,0.2436,0.6813,0.3731,0.3746,2835.0750
1.0,304,m2a,5,2778,6539,417,0.0638,0.2433,0.6678,0.3728,0.3746,2833.1027
1.0,304,m2a,6,3201,6541,423,0.0647,0.2434,0.6735,0.3708,0.3746,2832.8649
1.0,304,m2a,7,3646,6547,445,0.0680,0.2436,0.6756,0.3752,0.3746,2833.1878
0.75,301,m0,0,639,6687,639,0.0956,,0.6827,0.4567,0.3550,2203.8070
0.75,301,m0,1,911,6666,272,0.0408,,0.7730,0.5029,0.3488,2045.2675
0.75,301,m0,2,1074,6588,163,0.0247,,0.6822,0.3894,0.3390,2341.9944
0.75,301,m0,3,1453,6655,379,0.0569,,0.7624,0.4464,0.3406,2057.9783
0.75,301,m0,4,1655,6602,202,0.0306,,0.7904,0.4337,0.3413,2056.7768
0.75,301,m0,5,1868,6607,213,0.0322,,0.7759,0.4083,0.3390,2087.7660
0.75,301,m0,6,2098,6603,230,0.0348,,0.7959,0.4438,0.3420,2183.6658
0.75,301,m0,7,2371,6643,273,0.0411,,0.7975,0.4082,0.3401,2048.9125
0.75,301,m2t,0,627,6686,627,0.0938,0.2499,0.6711,0.4273,0.3442,2800.4349
0.75,301,m2t,1,1038,6339,411,0.0648,0.2363,0.6488,0.3434,0.3443,2829.1466
0.75,301,m2t,2,1635,6623,597,0.0901,0.2467,0.6454,0.3789,0.3443,2898.5589
0.75,301,m2t,3,2150,6620,515,0.0778,0.2474,0.6697,0.3817,0.3443,2757.9000
0.75,301,m2t,4,2657,6581,507,0.0770,0.2453,0.6709,0.3891,0.3443,2779.5878
0.75,301,m2t,5,3201,6594,544,0.0825,0.2460,0.6763,0.3980,0.3443,2789.9871
0.75,301,m2t,6,3711,6581,510,0.0775,0.2458,0.6786,0.3943,0.3443,2782.1186
0.75,301,m2t,7,4222,6585,511,0.0776,0.2459,0.6717,0.3967,0.3443,2777.1998
0.75,301,m2a,0,610,6650,610,0.0917,0.2485,0.6643,0.4487,0.3443,2794.5253
0.75,301,m2a,1,1059,6441,449,0.0697,0.2402,0.6830,0.4285,0.3443,2896.7340
0.75,301,m2a,2,1610,6602,551,0.0835,0.2465,0.6905,0.4654,0.3443,2873.6517
0.75,301,m2a,3,2136,6585,526,0.0799,0.2459,0.6913,0.4521,0.3443,2829.7288
0.75,301,m2a,4,2689,6590,553,0.0839,0.2459,0.6940,0.4588,0.3443,2825.6274
0.75,301,m2a,5,3214,6583,525,0.0798,0.2458,0.6967,0.4568,0.3443,2832.5245
0.75,301,m2a,6,3709,6587,495,0.0751,0.2460,0.6903,0.4576,0.3443,2810.5686
0.75,301,m2a,7,4251,6572,542,0.0825,0.2454,0.6874,0.4585,0.3443,2811.6411
1.0,303,m0,0,561,6669,561,0.0841,,0.7124,0.3986,0.3769,2187.1137
1.0,303,m0,1,740,6619,179,0.0270,,0.8423,0.4639,0.3780,1957.8297
1.0,303,m0,2,863,6614,123,0.0186,,0.7316,0.4149,0.3706,1946.0332
1.0,303,m0,3,991,6617,128,0.0193,,0.7179,0.4131,0.3733,1979.3733
