beta,seed,estimator,heldout,sign_acc_nonzero,exact_class_acc,pearson_r,zero_baseline_acc,n_orders
1.0,301,transfer,train_indist,0.5940023068050749,0.515,0.27010420739248153,0.5183333333333333,1800
1.0,301,transfer,c01,0.6478149100257069,0.484,0.22483500360572678,0.48133333333333334,1500
1.0,301,native,c01,0.596401028277635,0.48933333333333334,0.40902221816852896,0.48133333333333334,1500
1.0,301,transfer,c02,0.5639810426540285,0.44133333333333336,0.24417310422072996,0.43733333333333335,1500
1.0,301,native,c02,0.6552132701421801,0.47733333333333333,0.48658797631296524,0.43733333333333335,1500
1.0,302,transfer,train_indist,0.7693194925028836,0.5627777777777778,0.3370417803571645,0.5183333333333333,1800
1.0,302,transfer,c01,0.6658097686375322,0.534,0.30112703913016364,0.48133333333333334,1500
1.0,302,native,c01,0.712082262210797,0.482,0.38006771678498963,0.48133333333333334,1500
1.0,302,transfer,c02,0.580568720379147,0.4706666666666667,0.2546555096502126,0.43733333333333335,1500
1.0,302,native,c02,0.6279620853080569,0.45866666666666667,0.3532005318468609,0.43733333333333335,1500
1.0,303,transfer,train_indist,0.707035755478662,0.5177777777777778,0.2375988055563187,0.5183333333333333,1800
1.0,303,transfer,c01,0.6735218508997429,0.48733333333333334,0.19273694995209134,0.48133333333333334,1500
1.0,303,native,c01,0.7403598971722365,0.482,0.3683249348855081,0.48133333333333334,1500
1.0,303,transfer,c02,0.6895734597156398,0.44866666666666666,0.26184581776538296,0.43733333333333335,1500
1.0,303,native,c02,0.6777251184834123,0.458,0.4243202143018409,0.43733333333333335,1500
0.75,301,transfer,train_indist,0.6162005785920925,0.4222222222222222,0.150744774233924,0.42388888888888887,1800
0.75,301,transfer,c01,0.659041394335512,0.3913333333333333,0.24289269758024182,0.388,1500
0.75,301,native,c01,0.681917211328976,0.39066666666666666,0.27223306876346803,0.388,1500
0.75,301,transfer,c02,0.5720620842572062,0.388,0.06878669510326757,0.39866666666666667,1500
0.75,301,native,c02,0.5842572062084257,0.39466666666666667,0.2539872175627874,0.39866666666666667,1500
0.75,302,transfer,train_indist,0.6673095467695275,0.4261111111111111,0.21299660058699743,0.42388888888888887,1800
0.75,302,transfer,c01,0.7015250544662309,0.39266666666666666,0.3344490133795845,0.388,1500
0.75,302,native,c01,0.6764705882352942,0.39266666666666666,0.3935707356684149,0.388,1500
0.75,302,transfer,c02,0.6197339246119734,0.386,0.15264288484668032,0.39866666666666667,1500
0.75,302,native,c02,0.6086474501108647,0.3993333333333333,0.24686936391006223,0.39866666666666667,1500
0.75,303,transfer,train_indist,0.7135969141755063,0.43277777777777776,0.19815805139482798,0.42388888888888887,1800
0.75,303,transfer,c01,0.6655773420479303,0.40066666666666667,0.28450477833556687,0.388,1500
0.75,303,native,c01,0.5217864923747276,0.38533333333333336,0.1941985475533033,0.388,1500
0.75,303,transfer,c02,0.6452328159645233,0.4013333333333333,0.11400578174451136,0.39866666666666667,1500
0.75,303,native,c02,0.6396895787139689,0.3933333333333333,0.2422846469478656,0.39866666666666667,1500
