beta,estimator,heldout,n_seeds,sign_acc_mean,sign_acc_std,pearson_r_mean,pearson_r_std,exact_acc_mean,zero_baseline_mean,n_orders
0.75,native,c01,3,0.6267,0.0742,0.2867,0.0820,0.3896,0.3880,1500
0.75,native,c02,3,0.6109,0.0227,0.2477,0.0048,0.3958,0.3987,1500
0.75,transfer,c01,3,0.6754,0.0187,0.2873,0.0374,0.3949,0.3880,1500
0.75,transfer,c02,3,0.6123,0.0303,0.1118,0.0343,0.3918,0.3987,1500
0.75,transfer,train_indist,3,0.6657,0.0398,0.1873,0.0265,0.4270,0.4239,1800
1.0,native,c01,3,0.6829,0.0623,0.3858,0.0171,0.4844,0.4813,1500
1.0,native,c02,3,0.6536,0.0203,0.4214,0.0545,0.4647,0.4373,1500
1.0,transfer,c01,3,0.6624,0.0108,0.2396,0.0455,0.5018,0.4813,1500
1.0,transfer,c02,3,0.6114,0.0557,0.2536,0.0073,0.4536,0.4373,1500
1.0,transfer,train_indist,3,0.6901,0.0726,0.2816,0.0414,0.5319,0.5183,1800
