beta,seed,campus,inst_id,util,rule,transfer_m0,native_m0,oracle
1.0,301,1,c01_replay_150_0024,0.977380,272.000000,272.000000,272.000000,256.000000
1.0,301,1,c01_replay_150_0025,1.003928,113.729600,113.729600,113.729600,113.729600
1.0,301,1,c01_replay_150_0026,0.957812,4.342400,4.342400,4.342400,4.000000
1.0,301,1,c01_replay_150_0027,1.177929,0.161800,0.161800,0.161800,0.161800
1.0,301,1,c01_replay_150_0028,0.986680,2.222400,2.222400,2.222400,1.886400
1.0,301,1,c01_replay_150_0029,1.007619,48.706400,48.355200,48.691200,48.691200
1.0,301,1,c01_replay_150_0031,1.011646,321.272800,317.272800,317.897600,317.897600
1.0,301,1,c01_replay_150_0032,0.999506,112.000000,112.000000,112.000000,112.000000
1.0,301,1,c01_replay_150_0033,1.027012,109.257600,55.715600,55.715600,55.715600
1.0,301,1,c01_replay_150_0034,0.992479,110.172800,95.815200,94.892800,88.000000
1.0,301,2,c02_replay_150_0028,1.103413,4339.419600,4335.539600,4369.899600,4136.066200
1.0,301,2,c02_replay_150_0029,0.999046,1591.657400,1547.311000,1338.751000,1246.057400
1.0,301,2,c02_replay_150_0030,1.146969,1276.499000,1262.985600,1267.845600,1302.105600
1.0,301,2,c02_replay_150_0032,0.969058,830.349200,830.349200,833.349200,821.349200
1.0,301,2,c02_replay_150_0033,1.190038,1055.018800,1055.018800,1039.885200,1053.752400
1.0,301,2,c02_replay_150_0034,0.948174,4227.494400,4476.801200,4519.201200,3370.120000
1.0,301,2,c02_replay_150_0035,1.147263,756.068800,756.068800,756.068800,756.068800
1.0,301,2,c02_replay_150_0036,0.983589,703.219400,702.839400,669.919400,670.453000
1.0,301,2,c02_replay_150_0041,0.987294,1815.022400,1886.008800,1840.016200,1815.815800
1.0,301,2,c02_replay_150_0045,1.139580,1797.156200,1797.156200,1797.156200,1797.476200
1.0,302,1,c01_replay_150_0024,0.977380,272.000000,272.000000,272.000000,256.000000
1.0,302,1,c01_replay_150_0025,1.003928,113.729600,113.729600,113.729600,113.729600
1.0,302,1,c01_replay_150_0026,0.957812,4.342400,4.342400,4.342400,4.000000
1.0,302,1,c01_replay_150_0027,1.177929,0.161800,0.161800,0.161800,0.161800
1.0,302,1,c01_replay_150_0028,0.986680,2.222400,2.222400,2.222400,1.886400
1.0,302,1,c01_replay_150_0029,1.007619,48.706400,48.355200,48.691200,48.691200
1.0,302,1,c01_replay_150_0031,1.011646,321.272800,317.897600,317.897600,317.897600
1.0,302,1,c01_replay_150_0032,0.999506,112.000000,112.000000,112.000000,112.000000
1.0,302,1,c01_replay_150_0033,1.027012,109.257600,55.715600,55.715600,55.715600
1.0,302,1,c01_replay_150_0034,0.992479,110.172800,94.172800,94.892800,88.000000
1.0,302,2,c02_replay_150_0028,1.103413,4339.419600,4387.626000,4393.126000,4136.066200
1.0,302,2,c02_replay_150_0029,0.999046,1591.657400,1452.911000,1350.431000,1246.057400
1.0,302,2,c02_replay_150_0030,1.146969,1276.499000,1290.105600,1267.845600,1302.105600
1.0,302,2,c02_replay_150_0032,0.969058,830.349200,830.349200,1199.397200,821.349200
1.0,302,2,c02_replay_150_0033,1.190038,1055.018800,1054.805200,1036.098800,1053.752400
1.0,302,2,c02_replay_150_0034,0.948174,4227.494400,4332.053200,4253.721200,3370.120000
1.0,302,2,c02_replay_150_0035,1.147263,756.068800,756.068800,756.068800,756.068800
1.0,302,2,c02_replay_150_0036,0.983589,703.219400,665.086200,675.479400,670.453000
1.0,302,2,c02_replay_150_0041,0.987294,1815.022400,1956.482600,1864.289200,1815.815800
1.0,302,2,c02_replay_150_0045,1.139580,1797.156200,1811.316200,1797.156200,1797.476200
1.0,303,1,c01_replay_150_0024,0.977380,272.000000,272.000000,264.000000,256.000000
1.0,303,1,c01_replay_150_0025,1.003928,113.729600,113.729600,113.729600,113.729600
1.0,303,1,c01_replay_150_0026,0.957812,4.342400,4.342400,4.342400,4.000000
1.0,303,1,c01_replay_150_0027,1.177929,0.161800,0.161800,0.161800,0.161800
1.0,303,1,c01_replay_150_0028,0.986680,2.222400,2.222400,2.222400,1.886400
1.0,303,1,c01_replay_150_0029,1.007619,48.706400,48.355200,48.691200,48.691200
1.0,303,1,c01_replay_150_0031,1.011646,321.272800,317.897600,317.897600,317.897600
1.0,303,1,c01_replay_150_0032,0.999506,112.000000,112.000000,112.000000,112.000000
1.0,303,1,c01_replay_150_0033,1.027012,109.257600,55.715600,62.481200,55.715600
1.0,303,1,c01_replay_150_0034,0.992479,110.172800,95.815200,101.726400,88.000000
1.0,303,2,c02_replay_150_0028,1.103413,4339.419600,4280.072800,4346.019600,4136.066200
1.0,303,2,c02_replay_150_0029,0.999046,1591.657400,1533.631000,1429.711000,1246.057400
1.0,303,2,c02_replay_150_0030,1.146969,1276.499000,1241.765600,1282.205600,1302.105600
1.0,303,2,c02_replay_150_0032,0.969058,830.349200,824.349200,873.438400,821.349200
1.0,303,2,c02_replay_150_0033,1.190038,1055.018800,1055.018800,1056.138800,1053.752400
1.0,303,2,c02_replay_150_0034,0.948174,4227.494400,4673.001200,4220.054400,3370.120000
1.0,303,2,c02_replay_150_0035,1.147263,756.068800,756.068800,756.068800,756.068800
1.0,303,2,c02_replay_150_0036,0.983589,703.219400,702.839400,733.759400,670.453000
1.0,303,2,c02_replay_150_0041,0.987294,1815.022400,1867.962600,1814.216200,1815.815800
1.0,303,2,c02_replay_150_0045,1.139580,1797.156200,1797.156200,1797.476200,1797.476200
0.75,301,1,c01_replay_150_0024,0.977380,346.000000,346.000000,346.000000,346.000000
0.75,301,1,c01_replay_150_0025,1.003928,113.729600,113.729600,113.729600,113.729600
0.75,301,1,c01_replay_150_0026,0.957812,0.000000,0.000000,0.000000,0.000000
0.75,301,1,c01_replay_150_0027,1.177929,105.481800,106.481800,105.481800,106.986600
0.75,301,1,c01_replay_150_0028,0.986680,0.000000,0.000000,0.000000,0.000000
0.75,301,1,c01_replay_150_0029,1.007619,51.477600,51.126400,51.462400,51.462400
0.75,301,1,c01_replay_150_0031,1.011646,305.272800,301.897600,301.897600,301.897600
0.75,301,1,c01_replay_150_0032,0.999506,48.000000,48.000000,48.000000,48.000000
0.75,301,1,c01_replay_150_0033,1.027012,176.374800,166.208000,176.374800,166.208000
0.75,301,1,c01_replay_150_0034,0.992479,30.172800,15.815200,14.172800,8.000000
0.75,301,2,c02_replay_150_0028,1.103413,4256.133000,4264.679800,4263.706200,4003.786600
0.75,301,2,c02_replay_150_0029,0.999046,2088.396800,2043.103600,1977.277200,1905.530000
0.75,301,2,c02_replay_150_0030,1.146969,1614.208600,1614.208600,1596.018000,1431.042000
0.75,301,2,c02_replay_150_0032,0.969058,1058.149200,1240.862400,747.984800,776.589600
0.75,301,2,c02_replay_150_0033,1.190038,684.512400,701.992400,684.512400,638.552400
0.75,301,2,c02_replay_150_0034,0.948174,2353.361600,2353.361600,2467.734800,1625.813800
0.75,301,2,c02_replay_150_0035,1.147263,598.339200,598.339200,598.339200,598.339200
0.75,301,2,c02_replay_150_0036,0.983589,966.610000,966.610000,951.143600,938.903600
0.75,301,2,c02_replay_150_0041,0.987294,1605.172400,1598.372400,1646.865600,1508.119200
0.75,301,2,c02_replay_150_0045,1.139580,1388.754200,1414.900800,1388.754200,1414.180800
0.75,302,1,c01_replay_150_0024,0.977380,346.000000,346.000000,346.000000,346.000000
0.75,302,1,c01_replay_150_0025,1.003928,113.729600,113.729600,113.729600,113.729600
0.75,302,1,c01_replay_150_0026,0.957812,0.000000,0.000000,0.000000,0.000000
0.75,302,1,c01_replay_150_0027,1.177929,105.481800,105.184200,105.481800,106.986600
0.75,302,1,c01_replay_150_0028,0.986680,0.000000,0.000000,0.000000,0.000000
0.75,302,1,c01_replay_150_0029,1.007619,51.477600,51.126400,51.462400,51.462400
0.75,302,1,c01_replay_150_0031,1.011646,305.272800,303.860000,303.860000,301.897600
0.75,302,1,c01_replay_150_0032,0.999506,48.000000,48.000000,48.000000,48.000000
0.75,302,1,c01_replay_150_0033,1.027012,176.374800,166.208000,176.374800,166.208000
0.75,302,1,c01_replay_150_0034,0.992479,30.172800,22.892800,15.815200,8.000000
0.75,302,2,c02_replay_150_0028,1.103413,4256.133000,4306.632800,4266.786200,4003.786600
0.75,302,2,c02_replay_150_0029,0.999046,2088.396800,2034.757200,1977.050400,1905.530000
0.75,302,2,c02_replay_150_0030,1.146969,1614.208600,1612.142000,1594.315200,1431.042000
0.75,302,2,c02_replay_150_0032,0.969058,1058.149200,1058.149200,1929.063200,776.589600
0.75,302,2,c02_replay_150_0033,1.190038,684.512400,698.138800,709.925600,638.552400
