row_type,selection_reason,wo_id,trade,p_bh,class_recorded,hat_s,class_corrected,class_true,true_shift,w_star,d_star_bh,release_bh,due_recorded_bh,rank_rule,rank_m0,rank_trade_rule,rank_trade_m0,completion_rule_bh,completion_m0_bh,lateness_rule_bh,lateness_m0_bh,twt_contrib_rule,twt_contrib_m0,delta_twt,behaviour,miscorrected,harmed
order,,W0,D20,1.832100,4,-0.145821,4.000000,4,-1,1.000000,171.413400,0.013400,171.413400,1,1,1,1,1.845500,1.845500,0.000000,0.000000,0.000000,0.000000,0.000000,unchanged,False,False
order,,W1,D50,4.885700,4,-0.008520,4.000000,4,0,1.000000,171.418000,0.018000,171.418000,2,2,1,1,4.903700,4.903700,0.000000,0.000000,0.000000,0.000000,0.000000,unchanged,False,False
order,,W10,D20,1.918500,4,-0.149839,4.000000,4,-1,1.000000,171.673700,0.273700,171.673700,11,11,4,4,2.192200,2.192200,0.000000,0.000000,0.000000,0.000000,0.000000,unchanged,False,False
order,,W100,D50,1.378100,4,-0.008520,4.000000,4,0,1.000000,174.732200,3.332200,174.732200,97,97,27,27,4.827800,4.827800,0.000000,0.000000,0.000000,0.000000,0.000000,unchanged,False,False
order,,W1000,D50,0.918400,4,0.125875,3.874125,2,2,4.000000,60.492200,36.492200,207.892200,1046,946,305,284,41.417500,37.705900,0.000000,0.000000,0.000000,0.000000,0.000000,promoted,False,False
order,,W1001,D50,3.350100,4,0.209675,3.790325,2,2,4.000000,60.509300,36.509300,207.909300,1138,937,336,281,47.444900,39.970500,0.000000,0.000000,0.000000,0.000000,0.000000,promoted,False,False
order,,W1002,D30,7.431700,4,-0.008520,4.000000,3,1,2.000000,116.512300,36.512300,207.912300,1301,1288,349,351,57.980800,58.190200,0.000000,0.000000,0.000000,0.000000,0.000000,unchanged,False,False
order,,W1003,D90,1.157600,4,-0.008520,4.000000,2,2,4.000000,60.549400,36.549400,207.949400,918,933,48,48,37.707000,37.707000,0.000000,0.000000,0.000000,0.000000,0.000000,unchanged,False,False
order,,W1004,D40,0.186100,4,-0.008520,4.000000,2,2,4.000000,60.552800,36.552800,207.952800,919,934,45,45,36.738900,36.738900,0.000000,0.000000,0.000000,0.000000,0.000000,unchanged,False,False
order,,W1005,D50,1.050800,4,0.130699,3.869301,2,2,4.000000,60.612400,36.612400,208.012400,1060,961,310,287,42.151700,38.094400,0.000000,0.000000,0.000000,0.000000,0.000000,promoted,False,False
