cell,decider,true_class,scope,n_orders,n_seeds,attain_pct_mean,attain_pct_sd,twt_per_inst_mean,twt_per_inst_sd
c9_storm2_u100_b1.00_r0.25,rule,1,all,1750,10,84.57142857142857,0.0,1599.8779199999997,2.2737367544323206e-13
c9_storm2_u100_b1.00_r0.25,rule,2,all,5436,10,90.47093451066961,0.0,2044.9527999999998,0.0
c9_storm2_u100_b1.00_r0.25,rule,3,all,3738,10,100.0,0.0,0.0,0.0
c9_storm2_u100_b1.00_r0.25,rule,4,all,11715,10,100.0,0.0,0.0,0.0
c9_storm2_u100_b1.00_r0.25,rule,0,all,22639,10,96.51928088696499,1.4210854715202004e-14,3644.8307199999995,0.0
c9_storm2_u100_b1.00_r0.25,rule_sup,1,all,1750,10,84.79999999999998,1.4210854715202004e-14,1599.3007199999997,2.2737367544323206e-13
c9_storm2_u100_b1.00_r0.25,rule_sup,2,all,5436,10,92.93598233995587,1.4210854715202004e-14,1093.47272,0.0
c9_storm2_u100_b1.00_r0.25,rule_sup,3,all,3738,10,100.0,0.0,0.0,0.0
c9_storm2_u100_b1.00_r0.25,rule_sup,4,all,11715,10,100.0,0.0,0.0,0.0
c9_storm2_u100_b1.00_r0.25,rule_sup,0,all,22639,10,97.12884844736958,0.0,2692.77344,0.0
c9_storm2_u100_b1.00_r0.25,m0_alone,1,all,1750,10,84.50857142857144,0.2051579779544703,1593.3463359999998,5.003413865566601
c9_storm2_u100_b1.00_r0.25,m0_alone,2,all,5436,10,97.56806475349522,0.49796799259315333,398.1149800000002,65.38160016301653
c9_storm2_u100_b1.00_r0.25,m0_alone,3,all,3738,10,100.0,0.0,0.0,0.0
c9_storm2_u100_b1.00_r0.25,m0_alone,4,all,11715,10,100.0,0.0,0.0,0.0
c9_storm2_u100_b1.00_r0.25,m0_alone,0,all,22639,10,98.21856089049871,0.11294539794726448,1991.4613160000001,62.31498652997424
c9_storm2_u100_b1.00_r0.25,m0_sup,1,all,1750,10,84.6742857142857,0.18569230639167694,1589.5782720000002,3.3574959195114604
c9_storm2_u100_b1.00_r0.25,m0_sup,2,all,5436,10,98.16041206769684,0.32326538096377944,269.95630400000016,29.740290047506726
c9_storm2_u100_b1.00_r0.25,m0_sup,3,all,3738,10,100.0,0.0,0.0,0.0
c9_storm2_u100_b1.00_r0.25,m0_sup,4,all,11715,10,100.0,0.0,0.0,0.0
c9_storm2_u100_b1.00_r0.25,m0_sup,0,all,22639,10,98.37360307434074,0.07544937310939917,1859.534576,28.303247677255563
c9_storm2_u100_b1.00_r0.25,m1_alone,1,all,1750,10,84.56,0.12467099559583487,1619.07004,9.578383845455273
c9_storm2_u100_b1.00_r0.25,m1_alone,2,all,5436,10,95.61258278145695,0.18890517000951298,641.3909840000001,40.57723698525442
c9_storm2_u100_b1.00_r0.25,m1_alone,3,all,3738,10,100.0,0.0,0.0,0.0
c9_storm2_u100_b1.00_r0.25,m1_alone,4,all,11715,10,100.0,0.0,0.0,0.0
c9_storm2_u100_b1.00_r0.25,m1_alone,0,all,22639,10,97.75299262334909,0.0427369852712111,2260.4610240000006,46.429189336169024
