cell,decider,seed,true_class,n_orders,n_attained,attain_pct,twt_per_inst
c9_storm2_u100_b1.00_r0.25,rule,301,1,1750,1480,84.57142857142857,1599.87792
c9_storm2_u100_b1.00_r0.25,rule,301,2,5436,4918,90.47093451066961,2044.9527999999998
c9_storm2_u100_b1.00_r0.25,rule,301,3,3738,3738,100.0,0.0
c9_storm2_u100_b1.00_r0.25,rule,301,4,11715,11715,100.0,0.0
c9_storm2_u100_b1.00_r0.25,rule,302,1,1750,1480,84.57142857142857,1599.87792
c9_storm2_u100_b1.00_r0.25,rule,302,2,5436,4918,90.47093451066961,2044.9527999999998
c9_storm2_u100_b1.00_r0.25,rule,302,3,3738,3738,100.0,0.0
c9_storm2_u100_b1.00_r0.25,rule,302,4,11715,11715,100.0,0.0
c9_storm2_u100_b1.00_r0.25,rule,303,1,1750,1480,84.57142857142857,1599.87792
c9_storm2_u100_b1.00_r0.25,rule,303,2,5436,4918,90.47093451066961,2044.9527999999998
c9_storm2_u100_b1.00_r0.25,rule,303,3,3738,3738,100.0,0.0
c9_storm2_u100_b1.00_r0.25,rule,303,4,11715,11715,100.0,0.0
c9_storm2_u100_b1.00_r0.25,rule,304,1,1750,1480,84.57142857142857,1599.87792
c9_storm2_u100_b1.00_r0.25,rule,304,2,5436,4918,90.47093451066961,2044.9527999999998
c9_storm2_u100_b1.00_r0.25,rule,304,3,3738,3738,100.0,0.0
c9_storm2_u100_b1.00_r0.25,rule,304,4,11715,11715,100.0,0.0
c9_storm2_u100_b1.00_r0.25,rule,305,1,1750,1480,84.57142857142857,1599.87792
c9_storm2_u100_b1.00_r0.25,rule,305,2,5436,4918,90.47093451066961,2044.9527999999998
c9_storm2_u100_b1.00_r0.25,rule,305,3,3738,3738,100.0,0.0
c9_storm2_u100_b1.00_r0.25,rule,305,4,11715,11715,100.0,0.0
c9_storm2_u100_b1.00_r0.25,rule,306,1,1750,1480,84.57142857142857,1599.87792
c9_storm2_u100_b1.00_r0.25,rule,306,2,5436,4918,90.47093451066961,2044.9527999999998
c9_storm2_u100_b1.00_r0.25,rule,306,3,3738,3738,100.0,0.0
c9_storm2_u100_b1.00_r0.25,rule,306,4,11715,11715,100.0,0.0
c9_storm2_u100_b1.00_r0.25,rule,307,1,1750,1480,84.57142857142857,1599.87792
c9_storm2_u100_b1.00_r0.25,rule,307,2,5436,4918,90.47093451066961,2044.9527999999998
c9_storm2_u100_b1.00_r0.25,rule,307,3,3738,3738,100.0,0.0
c9_storm2_u100_b1.00_r0.25,rule,307,4,11715,11715,100.0,0.0
c9_storm2_u100_b1.00_r0.25,rule,308,1,1750,1480,84.57142857142857,1599.87792
c9_storm2_u100_b1.00_r0.25,rule,308,2,5436,4918,90.47093451066961,2044.9527999999998
c9_storm2_u100_b1.00_r0.25,rule,308,3,3738,3738,100.0,0.0
c9_storm2_u100_b1.00_r0.25,rule,308,4,11715,11715,100.0,0.0
c9_storm2_u100_b1.00_r0.25,rule,309,1,1750,1480,84.57142857142857,1599.87792
c9_storm2_u100_b1.00_r0.25,rule,309,2,5436,4918,90.47093451066961,2044.9527999999998
c9_storm2_u100_b1.00_r0.25,rule,309,3,3738,3738,100.0,0.0
c9_storm2_u100_b1.00_r0.25,rule,309,4,11715,11715,100.0,0.0
c9_storm2_u100_b1.00_r0.25,rule,310,1,1750,1480,84.57142857142857,1599.87792
c9_storm2_u100_b1.00_r0.25,rule,310,2,5436,4918,90.47093451066961,2044.9527999999998
c9_storm2_u100_b1.00_r0.25,rule,310,3,3738,3738,100.0,0.0
c9_storm2_u100_b1.00_r0.25,rule,310,4,11715,11715,100.0,0.0
c9_storm2_u100_b1.00_r0.25,rule_sup,301,1,1750,1484,84.8,1599.30072
c9_storm2_u100_b1.00_r0.25,rule_sup,301,2,5436,5052,92.93598233995586,1093.47272
c9_storm2_u100_b1.00_r0.25,rule_sup,301,3,3738,3738,100.0,0.0
c9_storm2_u100_b1.00_r0.25,rule_sup,301,4,11715,11715,100.0,0.0
c9_storm2_u100_b1.00_r0.25,rule_sup,302,1,1750,1484,84.8,1599.30072
c9_storm2_u100_b1.00_r0.25,rule_sup,302,2,5436,5052,92.93598233995586,1093.47272
c9_storm2_u100_b1.00_r0.25,rule_sup,302,3,3738,3738,100.0,0.0
c9_storm2_u100_b1.00_r0.25,rule_sup,302,4,11715,11715,100.0,0.0
c9_storm2_u100_b1.00_r0.25,rule_sup,303,1,1750,1484,84.8,1599.30072
c9_storm2_u100_b1.00_r0.25,rule_sup,303,2,5436,5052,92.93598233995586,1093.47272
c9_storm2_u100_b1.00_r0.25,rule_sup,303,3,3738,3738,100.0,0.0
c9_storm2_u100_b1.00_r0.25,rule_sup,303,4,11715,11715,100.0,0.0
c9_storm2_u100_b1.00_r0.25,rule_sup,304,1,1750,1484,84.8,1599.30072
c9_storm2_u100_b1.00_r0.25,rule_sup,304,2,5436,5052,92.93598233995586,1093.47272
c9_storm2_u100_b1.00_r0.25,rule_sup,304,3,3738,3738,100.0,0.0
c9_storm2_u100_b1.00_r0.25,rule_sup,304,4,11715,11715,100.0,0.0
c9_storm2_u100_b1.00_r0.25,rule_sup,305,1,1750,1484,84.8,1599.30072
c9_storm2_u100_b1.00_r0.25,rule_sup,305,2,5436,5052,92.93598233995586,1093.47272
c9_storm2_u100_b1.00_r0.25,rule_sup,305,3,3738,3738,100.0,0.0
c9_storm2_u100_b1.00_r0.25,rule_sup,305,4,11715,11715,100.0,0.0
c9_storm2_u100_b1.00_r0.25,rule_sup,306,1,1750,1484,84.8,1599.30072
c9_storm2_u100_b1.00_r0.25,rule_sup,306,2,5436,5052,92.93598233995586,1093.47272
c9_storm2_u100_b1.00_r0.25,rule_sup,306,3,3738,3738,100.0,0.0
c9_storm2_u100_b1.00_r0.25,rule_sup,306,4,11715,11715,100.0,0.0
