cell,true_class,n_orders,n_pm,n_cm,pm_share_of_true_class
c9_storm2_u100_b1.00_r0.25,1,1750,0,1750,0.0
c9_storm2_u100_b1.00_r0.25,2,5436,3843,1593,0.7069536423841059
c9_storm2_u100_b1.00_r0.25,3,3738,3006,732,0.8041733547351525
c9_storm2_u100_b1.00_r0.25,4,11715,11455,260,0.9778062313273581
c9_storm2_u100_b1.00_r0.25,0,22639,18304,4335,0.8085162772207254
c9_storm2_u90_b1.00_r0.25,1,1510,0,1510,0.0
c9_storm2_u90_b1.00_r0.25,2,4740,3429,1311,0.7234177215189874
c9_storm2_u90_b1.00_r0.25,3,3493,2791,702,0.7990266246779272
c9_storm2_u90_b1.00_r0.25,4,10516,10313,203,0.9806960821605173
c9_storm2_u90_b1.00_r0.25,0,20259,16533,3726,0.8160817414482452
c9_storm2_u100_b0.75_r0.25,1,1907,0,1907,0.0
c9_storm2_u100_b0.75_r0.25,2,4489,3075,1414,0.685007796836712
c9_storm2_u100_b0.75_r0.25,3,5174,4430,744,0.8562040974101275
c9_storm2_u100_b0.75_r0.25,4,11069,10799,270,0.9756075526244465
c9_storm2_u100_b0.75_r0.25,0,22639,18304,4335,0.8085162772207254
