cell,tag,campus,u,beta,rho,eps,seed,inst_id,rule,rule_sup,m0_alone,m0_sup,oracle,rule_sup_revfrac,rule_sup_orr,m0_sup_revfrac,m0_sup_orr
c9_storm2_u100_b0.20_r0.25_eps0.00,A,9,100,0.2,0.25,0.0,301,c09_storm2_w80_u100_0020,1473.651200,1454.358400,1432.910800,1257.654400,1177.979600,0.249253,0.059952,0.247914,0.052885
c9_storm2_u100_b0.20_r0.25_eps0.00,A,9,100,0.2,0.25,0.0,301,c09_storm2_w80_u100_0021,1519.953200,1430.714400,1543.978400,1407.978800,1348.460800,0.248820,0.059621,0.248485,0.043360
c9_storm2_u100_b0.20_r0.25_eps0.00,A,9,100,0.2,0.25,0.0,301,c09_storm2_w80_u100_0022,936.385600,926.554400,941.017200,886.918800,873.416000,0.249833,0.016043,0.250497,0.023810
c9_storm2_u100_b0.20_r0.25_eps0.00,A,9,100,0.2,0.25,0.0,301,c09_storm2_w80_u100_0023,4099.384400,3015.776000,3406.118400,2646.914800,2308.195200,0.244850,0.139423,0.250000,0.105634
c9_storm2_u100_b0.20_r0.25_eps0.00,A,9,100,0.2,0.25,0.0,301,c09_storm2_w80_u100_0024,1943.420000,1499.359600,1801.840000,1299.291600,1285.333600,0.247631,0.061224,0.250315,0.047859
c9_storm2_u100_b0.20_r0.25_eps0.00,A,9,100,0.2,0.25,0.0,301,c09_storm2_w80_u100_0025,3707.412000,2500.523200,3337.282400,2193.880800,1896.992800,0.250422,0.112360,0.250140,0.080717
c9_storm2_u100_b0.20_r0.25_eps0.00,A,9,100,0.2,0.25,0.0,301,c09_storm2_w80_u100_0026,3150.937600,2109.815200,2470.184000,2027.390000,1851.407200,0.242049,0.099757,0.242174,0.078049
c9_storm2_u100_b0.20_r0.25_eps0.00,A,9,100,0.2,0.25,0.0,301,c09_storm2_w80_u100_0027,1808.482000,1479.807600,1678.719200,1375.608000,1322.403200,0.245092,0.056848,0.244613,0.038860
c9_storm2_u100_b0.20_r0.25_eps0.00,A,9,100,0.2,0.25,0.0,301,c09_storm2_w80_u100_0028,1488.968400,1362.670800,1426.963200,1229.108000,1174.773600,0.249207,0.050891,0.247305,0.033333
c9_storm2_u100_b0.20_r0.25_eps0.00,A,9,100,0.2,0.25,0.0,301,c09_storm2_w80_u100_0029,2294.863600,1370.337600,1867.928400,1186.412800,1059.860800,0.241265,0.075862,0.246111,0.051919
c9_storm2_u100_b0.20_r0.25_eps0.00,A,9,100,0.2,0.25,0.0,302,c09_storm2_w80_u100_0020,1473.651200,1454.358400,1381.272000,1261.463600,1177.979600,0.249253,0.059952,0.246273,0.060533
c9_storm2_u100_b0.20_r0.25_eps0.00,A,9,100,0.2,0.25,0.0,302,c09_storm2_w80_u100_0021,1519.953200,1430.714400,1493.940800,1389.566000,1348.460800,0.248820,0.059621,0.245448,0.041209
c9_storm2_u100_b0.20_r0.25_eps0.00,A,9,100,0.2,0.25,0.0,302,c09_storm2_w80_u100_0022,936.385600,926.554400,978.167200,868.508800,873.416000,0.249833,0.016043,0.249671,0.023747
