cell,tag,arm,policy,split_fit,alpha,band_mode,campus,u,beta,rho,eps,seed,inst_id,rule,rule_sup,m0_alone,m0_sup,oracle,rule_sup_revfrac,rule_sup_orr,m0_sup_revfrac,m0_sup_orr
c9_storm2_u100_b0.20_r0.25_eps0.00,A,stability,stability,1,0.1,global,9,100,0.2,0.25,0.0,301,c09_storm2_w80_u100_0020,1473.651200,1293.675600,1331.697600,1278.104400,1177.979600,0.247460,0.084541,0.248062,0.050481
c9_storm2_u100_b0.20_r0.25_eps0.00,A,stability,stability,1,0.1,global,9,100,0.2,0.25,0.0,301,c09_storm2_w80_u100_0021,1519.953200,1424.252000,1486.274800,1453.879600,1348.460800,0.250169,0.070081,0.242751,0.025000
c9_storm2_u100_b0.20_r0.25_eps0.00,A,stability,stability,1,0.1,global,9,100,0.2,0.25,0.0,301,c09_storm2_w80_u100_0022,936.385600,897.884000,919.544400,876.917600,873.416000,0.240964,0.025000,0.248016,0.016000
c9_storm2_u100_b0.20_r0.25_eps0.00,A,stability,stability,1,0.1,global,9,100,0.2,0.25,0.0,301,c09_storm2_w80_u100_0023,4099.384400,2996.902000,3796.668400,2789.253200,2308.195200,0.250294,0.122353,0.247513,0.120567
c9_storm2_u100_b0.20_r0.25_eps0.00,A,stability,stability,1,0.1,global,9,100,0.2,0.25,0.0,301,c09_storm2_w80_u100_0024,1943.420000,1305.984000,1834.832800,1346.593600,1285.333600,0.250158,0.073232,0.241292,0.044619
c9_storm2_u100_b0.20_r0.25_eps0.00,A,stability,stability,1,0.1,global,9,100,0.2,0.25,0.0,301,c09_storm2_w80_u100_0025,3707.412000,3088.642000,3368.303600,2590.143200,1896.992800,0.243669,0.080831,0.235791,0.052506
c9_storm2_u100_b0.20_r0.25_eps0.00,A,stability,stability,1,0.1,global,9,100,0.2,0.25,0.0,301,c09_storm2_w80_u100_0026,3150.937600,2380.612000,2939.158400,2789.612400,1851.407200,0.250147,0.077647,0.250147,0.035377
c9_storm2_u100_b0.20_r0.25_eps0.00,A,stability,stability,1,0.1,global,9,100,0.2,0.25,0.0,301,c09_storm2_w80_u100_0027,1808.482000,1455.190800,1581.956800,1416.051600,1322.403200,0.250000,0.075949,0.248258,0.035714
c9_storm2_u100_b0.20_r0.25_eps0.00,A,stability,stability,1,0.1,global,9,100,0.2,0.25,0.0,301,c09_storm2_w80_u100_0028,1488.968400,1420.974400,1450.867600,1299.694000,1174.773600,0.250158,0.050633,0.250000,0.025381
c9_storm2_u100_b0.20_r0.25_eps0.00,A,stability,stability,1,0.1,global,9,100,0.2,0.25,0.0,301,c09_storm2_w80_u100_0029,2294.863600,1568.089200,1965.966400,1235.599200,1059.860800,0.250139,0.062084,0.243483,0.056948
