part,arm,policy,split_fit,alpha,band_mode,campus,regime,u,beta,rho,seed,inst_id,n_wos,rule,m0_alone,oracle,rule_sup,m0_sup,m0_sup_revfrac,m0_sup_orr,rule_sup_revfrac,rule_sup_orr
alpha,stability,stability,1,0.1,global,9,storm2,100,1.0,0.25,301,c09_storm2_w80_u100_0020,2253,2113.920800,1662.214000,1660.290800,1989.608000,1641.936400,0.2482,0.0193,0.2470,0.0630
alpha,stability,stability,1,0.1,global,9,storm2,100,1.0,0.25,301,c09_storm2_w80_u100_0021,2253,2468.501600,2133.593600,2178.691200,2461.676400,2169.487200,0.2502,0.0216,0.2502,0.0863
alpha,stability,stability,1,0.1,global,9,storm2,100,1.0,0.25,301,c09_storm2_w80_u100_0022,2253,1216.011200,1061.432000,991.862400,1106.802400,1034.048000,0.2469,0.0080,0.2443,0.0219
alpha,stability,stability,1,0.1,global,9,storm2,100,1.0,0.25,301,c09_storm2_w80_u100_0023,2253,5676.362400,2745.140000,2621.206400,3931.730000,2679.192000,0.2434,0.0889,0.2456,0.1583
alpha,stability,stability,1,0.1,global,9,storm2,100,1.0,0.25,301,c09_storm2_w80_u100_0024,2253,4396.206800,2051.387600,1996.894800,3047.573600,1986.388000,0.2454,0.0180,0.2342,0.1541
alpha,stability,stability,1,0.1,global,9,storm2,100,1.0,0.25,301,c09_storm2_w80_u100_0025,2253,6411.756400,2647.924000,2533.840800,4093.412000,2574.288800,0.2424,0.0186,0.2392,0.1624
alpha,stability,stability,1,0.1,global,9,storm2,100,1.0,0.25,301,c09_storm2_w80_u100_0026,2253,5006.202000,1948.698400,1938.243600,3770.215600,1935.583200,0.2496,0.0142,0.2497,0.1415
alpha,stability,stability,1,0.1,global,9,storm2,100,1.0,0.25,301,c09_storm2_w80_u100_0027,2253,2535.368000,1667.889200,1685.882800,1976.170000,1661.704400,0.2483,0.0051,0.2451,0.0749
alpha,stability,stability,1,0.1,global,9,storm2,100,1.0,0.25,301,c09_storm2_w80_u100_0028,2253,2083.722400,1310.053200,1316.495200,2057.079600,1310.324400,0.2498,0.0076,0.2498,0.0685
alpha,stability,stability,1,0.1,global,9,storm2,100,1.0,0.25,301,c09_storm2_w80_u100_0029,2253,4540.255600,1433.496400,1226.778800,2220.143200,1294.924800,0.2436,0.0159,0.2396,0.1250
alpha,stability,stability,1,0.1,global,9,storm2,100,1.0,0.25,302,c09_storm2_w80_u100_0020,2253,2113.920800,1645.401200,1660.290800,1962.843200,1645.472000,0.2448,0.0049,0.2488,0.0601
alpha,stability,stability,1,0.1,global,9,storm2,100,1.0,0.25,302,c09_storm2_w80_u100_0021,2253,2468.501600,2138.176000,2178.691200,2422.290000,2139.761600,0.2502,0.0081,0.2495,0.0892
alpha,stability,stability,1,0.1,global,9,storm2,100,1.0,0.25,302,c09_storm2_w80_u100_0022,2253,1216.011200,1046.453200,991.862400,1052.708800,1025.108000,0.2460,0.0081,0.2483,0.0270
alpha,stability,stability,1,0.1,global,9,storm2,100,1.0,0.25,302,c09_storm2_w80_u100_0023,2253,5676.362400,2834.931200,2621.206400,4365.714400,2665.379600,0.2412,0.0243,0.2485,0.1611
alpha,stability,stability,1,0.1,global,9,storm2,100,1.0,0.25,302,c09_storm2_w80_u100_0024,2253,4396.206800,2106.081600,1996.894800,3306.802800,2039.139600,0.2453,0.0284,0.2407,0.1417
alpha,stability,stability,1,0.1,global,9,storm2,100,1.0,0.25,302,c09_storm2_w80_u100_0025,2253,6411.756400,2845.075200,2533.840800,4332.501200,2706.324000,0.2428,0.0208,0.2442,0.1544
alpha,stability,stability,1,0.1,global,9,storm2,100,1.0,0.25,302,c09_storm2_w80_u100_0026,2253,5006.202000,1942.794400,1938.243600,3899.965600,1937.586800,0.2499,0.0118,0.2491,0.1348
alpha,stability,stability,1,0.1,global,9,storm2,100,1.0,0.25,302,c09_storm2_w80_u100_0027,2253,2535.368000,1659.712400,1685.882800,1956.946000,1658.242800,0.2478,0.0076,0.2476,0.0742
alpha,stability,stability,1,0.1,global,9,storm2,100,1.0,0.25,302,c09_storm2_w80_u100_0028,2253,2083.722400,1314.971200,1316.495200,2030.835200,1317.278400,0.2500,0.0101,0.2498,0.0584
alpha,stability,stability,1,0.1,global,9,storm2,100,1.0,0.25,302,c09_storm2_w80_u100_0029,2253,4540.255600,1541.305200,1226.778800,2498.454000,1409.329600,0.2416,0.0115,0.2440,0.1273
alpha,stability,stability,1,0.1,global,9,storm2,100,1.0,0.25,303,c09_storm2_w80_u100_0020,2253,2113.920800,1635.444000,1660.290800,1989.224400,1646.896000,0.2457,0.0170,0.2488,0.0769
alpha,stability,stability,1,0.1,global,9,storm2,100,1.0,0.25,303,c09_storm2_w80_u100_0021,2253,2468.501600,2129.132800,2178.691200,2381.196800,2134.196800,0.2502,0.0054,0.2495,0.1000
alpha,stability,stability,1,0.1,global,9,storm2,100,1.0,0.25,303,c09_storm2_w80_u100_0022,2253,1216.011200,1025.750000,991.862400,1106.802400,1022.044400,0.2417,0.0110,0.2430,0.0220
alpha,stability,stability,1,0.1,global,9,storm2,100,1.0,0.25,303,c09_storm2_w80_u100_0023,2253,5676.362400,2834.243600,2621.206400,3961.600400,2858.916800,0.2346,0.0150,0.2456,0.1487
alpha,stability,stability,1,0.1,global,9,storm2,100,1.0,0.25,303,c09_storm2_w80_u100_0024,2253,4396.206800,2156.990000,1996.894800,2718.562000,2032.996400,0.2393,0.0184,0.2451,0.1443
alpha,stability,stability,1,0.1,global,9,storm2,100,1.0,0.25,303,c09_storm2_w80_u100_0025,2253,6411.756400,2680.523200,2533.840800,4161.250000,2590.730800,0.2433,0.0254,0.2409,0.1986
alpha,stability,stability,1,0.1,global,9,storm2,100,1.0,0.25,303,c09_storm2_w80_u100_0026,2253,5006.202000,2002.479200,1938.243600,3852.322400,1961.290400,0.2493,0.0142,0.2491,0.1253
alpha,stability,stability,1,0.1,global,9,storm2,100,1.0,0.25,303,c09_storm2_w80_u100_0027,2253,2535.368000,1693.357600,1685.882800,1945.946400,1666.589600,0.2478,0.0102,0.2476,0.0742
alpha,stability,stability,1,0.1,global,9,storm2,100,1.0,0.25,303,c09_storm2_w80_u100_0028,2253,2083.722400,1307.949200,1316.495200,2087.302800,1308.960000,0.2497,0.0025,0.2498,0.0609
alpha,stability,stability,1,0.1,global,9,storm2,100,1.0,0.25,303,c09_storm2_w80_u100_0029,2253,4540.255600,1337.338800,1226.778800,3182.406400,1282.085600,0.2461,0.0135,0.2424,0.1076
alpha,stability,stability,1,0.3,global,9,storm2,100,1.0,0.25,301,c09_storm2_w80_u100_0020,2253,2113.920800,1679.210400,1660.290800,1968.333600,1645.652000,0.1519,0.0197,0.2279,0.1391
alpha,stability,stability,1,0.3,global,9,storm2,100,1.0,0.25,301,c09_storm2_w80_u100_0021,2253,2468.501600,2137.360800,2178.691200,2389.337600,2141.239200,0.1760,0.0268,0.2441,0.1133
alpha,stability,stability,1,0.3,global,9,storm2,100,1.0,0.25,301,c09_storm2_w80_u100_0022,2253,1216.011200,1028.086400,991.862400,1114.095200,1040.557600,0.1026,0.0065,0.2048,0.0229
alpha,stability,stability,1,0.3,global,9,storm2,100,1.0,0.25,301,c09_storm2_w80_u100_0023,2253,5676.362400,3214.804800,2621.206400,3713.671200,2854.836000,0.1871,0.0750,0.2460,0.1842
alpha,stability,stability,1,0.3,global,9,storm2,100,1.0,0.25,301,c09_storm2_w80_u100_0024,2253,4396.206800,2429.560400,1996.894800,2476.786400,2061.397200,0.1460,0.0779,0.2457,0.1414
alpha,stability,stability,1,0.3,global,9,storm2,100,1.0,0.25,301,c09_storm2_w80_u100_0025,2253,6411.756400,3176.436400,2533.840800,3630.358400,2591.588400,0.1580,0.1032,0.2414,0.2424
alpha,stability,stability,1,0.3,global,9,storm2,100,1.0,0.25,301,c09_storm2_w80_u100_0026,2253,5006.202000,2118.347600,1938.243600,2790.299200,2022.985600,0.1513,0.0934,0.2020,0.2799
alpha,stability,stability,1,0.3,global,9,storm2,100,1.0,0.25,301,c09_storm2_w80_u100_0027,2253,2535.368000,1713.587200,1685.882800,1955.512800,1683.273200,0.1488,0.0255,0.2476,0.0921
alpha,stability,stability,1,0.3,global,9,storm2,100,1.0,0.25,301,c09_storm2_w80_u100_0028,2253,2083.722400,1301.498400,1316.495200,2004.493200,1297.690400,0.1516,0.0084,0.2397,0.1349
alpha,stability,stability,1,0.3,global,9,storm2,100,1.0,0.25,301,c09_storm2_w80_u100_0029,2253,4540.255600,2075.102800,1226.778800,1658.187200,1577.624800,0.2028,0.0628,0.2329,0.1476
alpha,stability,stability,1,0.3,global,9,storm2,100,1.0,0.25,302,c09_storm2_w80_u100_0020,2253,2113.920800,1654.364400,1660.290800,2040.244400,1615.075600,0.2500,0.0407,0.2470,0.0460
alpha,stability,stability,1,0.3,global,9,storm2,100,1.0,0.25,302,c09_storm2_w80_u100_0021,2253,2468.501600,2130.459200,2178.691200,2374.860400,2131.366400,0.2466,0.0027,0.2495,0.0919
alpha,stability,stability,1,0.3,global,9,storm2,100,1.0,0.25,302,c09_storm2_w80_u100_0022,2253,1216.011200,1035.590400,991.862400,1075.191600,1010.142800,0.2452,0.0108,0.2463,0.0299
alpha,stability,stability,1,0.3,global,9,storm2,100,1.0,0.25,302,c09_storm2_w80_u100_0023,2253,5676.362400,2638.131200,2621.206400,4518.740000,2622.885200,0.2392,0.0391,0.2462,0.1651
alpha,stability,stability,1,0.3,global,9,storm2,100,1.0,0.25,302,c09_storm2_w80_u100_0024,2253,4396.206800,2007.081600,1996.894800,3047.077600,1975.503200,0.2429,0.0104,0.2375,0.1277
alpha,stability,stability,1,0.3,global,9,storm2,100,1.0,0.25,302,c09_storm2_w80_u100_0025,2253,6411.756400,2718.700400,2533.840800,4117.752000,2522.395600,0.2350,0.0431,0.2442,0.1682
alpha,stability,stability,1,0.3,global,9,storm2,100,1.0,0.25,302,c09_storm2_w80_u100_0026,2253,5006.202000,1940.310000,1938.243600,4192.638800,1953.447600,0.2471,0.0072,0.2491,0.1135
alpha,stability,stability,1,0.3,global,9,storm2,100,1.0,0.25,302,c09_storm2_w80_u100_0027,2253,2535.368000,1743.236000,1685.882800,2031.724800,1668.804800,0.2419,0.0052,0.2476,0.0921
alpha,stability,stability,1,0.3,global,9,storm2,100,1.0,0.25,302,c09_storm2_w80_u100_0028,2253,2083.722400,1302.860000,1316.495200,2043.493600,1302.860000,0.2491,0.0000,0.2498,0.0635
alpha,stability,stability,1,0.3,global,9,storm2,100,1.0,0.25,302,c09_storm2_w80_u100_0029,2253,4540.255600,1309.792000,1226.778800,2774.072800,1295.749600,0.2445,0.0113,0.2451,0.1109
alpha,stability,stability,1,0.05,global,9,storm2,100,1.0,0.25,303,c09_storm2_w80_u100_0020,2253,2113.920800,1682.856800,1660.290800,1978.234000,1638.964400,0.2458,0.0122,0.2488,0.0817
alpha,stability,stability,1,0.05,global,9,storm2,100,1.0,0.25,303,c09_storm2_w80_u100_0021,2253,2468.501600,2167.509600,2178.691200,2425.497200,2146.876800,0.2502,0.0081,0.2495,0.1189
