part,arm,policy,split_fit,alpha,band_mode,campus,regime,u,beta,rho,seed,inst_id,n_wos,rule,m0_alone,oracle,rule_sup,m0_sup,m0_sup_revfrac,m0_sup_orr,rule_sup_revfrac,rule_sup_orr
cov,stability,stability,1,0.1,global,9,storm2,100,0.0,0.25,303,c09_storm2_w80_u100_0020,2253,1253.379200,1308.914400,963.206400,1022.534800,1020.976400,0.2490,0.0576,0.2500,0.0502
cov,stability,stability,1,0.1,global,9,storm2,100,0.0,0.25,303,c09_storm2_w80_u100_0021,2253,899.342800,921.653600,837.866800,849.909600,890.380800,0.2382,0.0255,0.2502,0.0243
cov,stability,stability,1,0.1,global,9,storm2,100,0.0,0.25,303,c09_storm2_w80_u100_0022,2253,746.395200,757.112000,721.241600,721.967200,726.678000,0.2441,0.0270,0.2423,0.0083
cov,stability,stability,1,0.1,global,9,storm2,100,0.0,0.25,303,c09_storm2_w80_u100_0023,2253,3295.356000,3449.926800,2013.730000,2600.203600,2601.756400,0.2487,0.0991,0.2491,0.1040
cov,stability,stability,1,0.1,global,9,storm2,100,0.0,0.25,303,c09_storm2_w80_u100_0024,2253,1762.665600,1875.323600,1427.994000,1601.576400,1539.182400,0.2475,0.0458,0.2502,0.0404
cov,stability,stability,1,0.1,global,9,storm2,100,0.0,0.25,303,c09_storm2_w80_u100_0025,2253,2723.120800,2836.736000,1673.843200,2349.543400,2297.970800,0.2503,0.0625,0.2504,0.0517
cov,stability,stability,1,0.1,global,9,storm2,100,0.0,0.25,303,c09_storm2_w80_u100_0026,2253,3223.762400,3409.424000,2254.060000,3040.927200,3235.084400,0.2488,0.0329,0.2503,0.0376
cov,stability,stability,1,0.1,global,9,storm2,100,0.0,0.25,303,c09_storm2_w80_u100_0027,2253,1435.314400,1448.150800,1102.271200,1204.332000,1147.226400,0.2498,0.0404,0.2502,0.0530
cov,stability,stability,1,0.1,global,9,storm2,100,0.0,0.25,303,c09_storm2_w80_u100_0028,2253,1057.082800,1006.902400,790.313600,977.658400,890.326400,0.2500,0.0302,0.2503,0.0328
cov,stability,stability,1,0.1,global,9,storm2,100,0.0,0.25,303,c09_storm2_w80_u100_0029,2253,1275.659600,1346.578000,875.928000,1052.200400,1105.853600,0.2496,0.0354,0.2501,0.0266
cov,stability,stability,1,0.1,global,9,storm2,100,0.5,0.25,302,c09_storm2_w80_u100_0020,2253,1838.122400,1638.457600,1422.251200,1632.839200,1471.222400,0.2497,0.0526,0.2504,0.0979
cov,stability,stability,1,0.1,global,9,storm2,100,0.5,0.25,302,c09_storm2_w80_u100_0021,2253,1665.790400,1650.393200,1492.630400,1601.972400,1623.832800,0.2502,0.0243,0.2502,0.0809
cov,stability,stability,1,0.1,global,9,storm2,100,0.5,0.25,302,c09_storm2_w80_u100_0022,2253,1031.454400,1009.305600,962.292000,990.545600,975.000800,0.2439,0.0162,0.2437,0.0301
