part,arm,policy,split_fit,alpha,band_mode,campus,regime,u,beta,rho,seed,inst_id,n_wos,rule,m0_alone,oracle,rule_sup,m0_sup,m0_sup_revfrac,m0_sup_orr,rule_sup_revfrac,rule_sup_orr
curve,targeted,targeted,1,0.1,global,9,storm2,100,1.0,0.02,302,c09_storm2_w80_u100_0020,2253,2113.920800,1672.675600,1660.290800,2117.180800,1655.376800,0.0197,0.0909,0.0203,0.1176
curve,targeted,targeted,1,0.1,global,9,storm2,100,1.0,0.02,302,c09_storm2_w80_u100_0021,2253,2468.501600,2129.094400,2178.691200,2465.289600,2129.094400,0.0202,0.0000,0.0202,0.1333
curve,targeted,targeted,1,0.1,global,9,storm2,100,1.0,0.02,302,c09_storm2_w80_u100_0022,2253,1216.011200,988.222400,991.862400,1164.754800,988.222400,0.0199,0.0000,0.0201,0.0667
curve,targeted,targeted,1,0.1,global,9,storm2,100,1.0,0.02,302,c09_storm2_w80_u100_0023,2253,5676.362400,2875.404400,2621.206400,5464.546800,2819.834800,0.0204,0.1143,0.0200,0.2059
curve,targeted,targeted,1,0.1,global,9,storm2,100,1.0,0.02,302,c09_storm2_w80_u100_0024,2253,4396.206800,2548.294800,1996.894800,4168.282000,2398.053200,0.0201,0.2188,0.0202,0.4062
curve,targeted,targeted,1,0.1,global,9,storm2,100,1.0,0.02,302,c09_storm2_w80_u100_0025,2253,6411.756400,3111.725600,2533.840800,6166.016000,2943.618800,0.0202,0.2778,0.0203,0.2778
curve,targeted,targeted,1,0.1,global,9,storm2,100,1.0,0.02,302,c09_storm2_w80_u100_0026,2253,5006.202000,2089.796800,1938.243600,4930.054400,2041.272400,0.0193,0.0303,0.0200,0.1176
curve,targeted,targeted,1,0.1,global,9,storm2,100,1.0,0.02,302,c09_storm2_w80_u100_0027,2253,2535.368000,1671.595600,1685.882800,2531.320400,1681.910400,0.0203,0.1250,0.0203,0.0938
curve,targeted,targeted,1,0.1,global,9,storm2,100,1.0,0.02,302,c09_storm2_w80_u100_0028,2253,2083.722400,1305.772400,1316.495200,2052.465200,1305.772400,0.0195,0.0000,0.0203,0.0938
curve,targeted,targeted,1,0.1,global,9,storm2,100,1.0,0.02,302,c09_storm2_w80_u100_0029,2253,4540.255600,1894.354800,1226.778800,4267.046000,1760.227200,0.0199,0.1111,0.0205,0.3243
curve,stability,stability,1,0.1,global,9,storm2,100,1.0,0.02,301,c09_storm2_w80_u100_0020,2253,2113.920800,1790.329600,1660.290800,2114.436400,1800.768800,0.0197,0.0606,0.0203,0.0588
curve,stability,stability,1,0.1,global,9,storm2,100,1.0,0.02,301,c09_storm2_w80_u100_0021,2253,2468.501600,2225.641600,2178.691200,2458.409600,2222.564800,0.0202,0.0333,0.0196,0.1724
curve,stability,stability,1,0.1,global,9,storm2,100,1.0,0.02,301,c09_storm2_w80_u100_0022,2253,1216.011200,1062.037600,991.862400,1227.795600,1069.817600,0.0192,0.0690,0.0188,0.0357
curve,stability,stability,1,0.1,global,9,storm2,100,1.0,0.02,301,c09_storm2_w80_u100_0023,2253,5676.362400,3491.009600,2621.206400,5365.352000,3490.600400,0.0193,0.0303,0.0200,0.5000
curve,stability,stability,1,0.1,global,9,storm2,100,1.0,0.02,301,c09_storm2_w80_u100_0024,2253,4396.206800,3071.676800,1996.894800,4303.598000,2963.856400,0.0189,0.2000,0.0202,0.2812
curve,stability,stability,1,0.1,global,9,storm2,100,1.0,0.02,301,c09_storm2_w80_u100_0025,2253,6411.756400,3852.064400,2533.840800,6280.904400,3788.189600,0.0197,0.0571,0.0203,0.2778
curve,stability,stability,1,0.1,global,9,storm2,100,1.0,0.02,301,c09_storm2_w80_u100_0026,2253,5006.202000,2045.926800,1938.243600,5002.562400,2063.522800,0.0200,0.0882,0.0200,0.1765
curve,stability,stability,1,0.1,global,9,storm2,100,1.0,0.02,301,c09_storm2_w80_u100_0027,2253,2535.368000,1825.996400,1685.882800,2478.868400,1774.115200,0.0202,0.1250,0.0203,0.1875
curve,stability,stability,1,0.1,global,9,storm2,100,1.0,0.02,301,c09_storm2_w80_u100_0028,2253,2083.722400,1333.783200,1316.495200,2075.885600,1333.783200,0.0203,0.0000,0.0203,0.0938
