part,arm,policy,split_fit,alpha,band_mode,campus,regime,u,beta,rho,seed,inst_id,n_wos,rule,m0_alone,oracle,rule_sup,m0_sup,m0_sup_revfrac,m0_sup_orr,rule_sup_revfrac,rule_sup_orr
grid,stability,stability,1,0.1,global,9,storm2,90,0.75,0.25,308,c09_storm2_w80_u90_0020,1983,2019.141600,1642.046400,1522.398800,1972.714400,1558.183200,0.2422,0.0178,0.2502,0.0594
grid,stability,stability,1,0.1,global,9,storm2,90,0.75,0.25,308,c09_storm2_w80_u90_0021,1983,1802.379600,1734.922400,1730.555200,1739.483200,1720.896000,0.2393,0.0103,0.2502,0.0265
grid,stability,stability,1,0.1,global,9,storm2,90,0.75,0.25,308,c09_storm2_w80_u90_0022,1983,1603.211600,1602.640800,1606.063600,1607.199600,1601.136000,0.2427,0.0129,0.2504,0.0158
grid,stability,stability,1,0.1,global,9,storm2,90,0.75,0.25,308,c09_storm2_w80_u90_0023,1983,1324.423200,1291.726400,1233.342800,1293.350800,1249.044000,0.2496,0.0093,0.2500,0.0280
grid,stability,stability,1,0.1,global,9,storm2,90,0.75,0.25,308,c09_storm2_w80_u90_0024,1983,1347.746400,1026.117600,1011.966400,1195.449600,1027.814800,0.2498,0.0346,0.2498,0.0691
grid,stability,stability,1,0.1,global,9,storm2,90,0.75,0.25,308,c09_storm2_w80_u90_0025,1983,1571.562800,1519.944000,1514.028800,1549.285600,1521.156400,0.2504,0.0096,0.2504,0.0257
grid,stability,stability,1,0.1,global,9,storm2,90,0.75,0.25,308,c09_storm2_w80_u90_0026,1983,1943.694800,1697.460000,1615.831200,1762.330400,1634.671200,0.2502,0.0093,0.2473,0.0696
grid,stability,stability,1,0.1,global,9,storm2,90,0.75,0.25,308,c09_storm2_w80_u90_0027,1983,1923.940000,1190.051200,1056.241600,1562.394000,1110.773200,0.2442,0.0153,0.2487,0.0846
grid,stability,stability,1,0.1,global,9,storm2,90,0.75,0.25,308,c09_storm2_w80_u90_0028,1983,922.898800,903.835600,923.550000,917.586800,903.093200,0.2485,0.0101,0.2502,0.0401
grid,stability,stability,1,0.1,global,9,storm2,90,0.75,0.25,308,c09_storm2_w80_u90_0029,1983,2919.402400,2780.313200,2742.211200,2908.903200,2763.168800,0.2460,0.0088,0.2505,0.0554
grid,stability,stability,1,0.1,global,9,storm2,90,0.75,0.25,303,c09_storm2_w80_u90_0020,1983,2019.141600,1753.616000,1522.398800,1987.388000,1622.606000,0.2292,0.0151,0.2496,0.0561
grid,stability,stability,1,0.1,global,9,storm2,90,0.75,0.25,303,c09_storm2_w80_u90_0021,1983,1802.379600,1712.036800,1730.555200,1739.494000,1717.309600,0.2475,0.0100,0.2502,0.0298
grid,stability,stability,1,0.1,global,9,storm2,90,0.75,0.25,303,c09_storm2_w80_u90_0022,1983,1603.211600,1601.366400,1606.063600,1607.470000,1600.599200,0.2480,0.0095,0.2464,0.0128
grid,stability,stability,1,0.1,global,9,storm2,90,0.75,0.25,303,c09_storm2_w80_u90_0023,1983,1324.423200,1261.854400,1233.342800,1295.299600,1236.454400,0.2378,0.0391,0.2500,0.0374
grid,stability,stability,1,0.1,global,9,storm2,90,0.75,0.25,303,c09_storm2_w80_u90_0024,1983,1347.746400,1077.137600,1011.966400,1194.084000,1076.086400,0.2417,0.0165,0.2505,0.0981
grid,stability,stability,1,0.1,global,9,storm2,90,0.75,0.25,303,c09_storm2_w80_u90_0025,1983,1571.562800,1531.814000,1514.028800,1540.880000,1527.155600,0.2438,0.0098,0.2504,0.0322
grid,stability,stability,1,0.1,global,9,storm2,90,0.75,0.25,303,c09_storm2_w80_u90_0026,1983,1943.694800,1628.943200,1615.831200,1796.526400,1605.955200,0.2363,0.0132,0.2449,0.0575
grid,stability,stability,1,0.1,global,9,storm2,90,0.75,0.25,303,c09_storm2_w80_u90_0027,1983,1923.940000,1230.289600,1056.241600,1458.972000,1204.698800,0.2382,0.0125,0.2494,0.1175
grid,stability,stability,1,0.1,global,9,storm2,90,0.75,0.25,303,c09_storm2_w80_u90_0028,1983,922.898800,897.907600,923.550000,923.866800,902.948400,0.2200,0.0038,0.2506,0.0400
grid,stability,stability,1,0.1,global,9,storm2,90,0.75,0.25,303,c09_storm2_w80_u90_0029,1983,2919.402400,2792.768800,2742.211200,2912.017200,2784.105600,0.2364,0.0184,0.2498,0.0556
grid,stability,stability,1,0.1,global,9,storm2,90,0.75,0.25,302,c09_storm2_w80_u90_0020,1983,2019.141600,1619.961200,1522.398800,1984.785600,1535.982800,0.2338,0.0111,0.2491,0.0563
grid,stability,stability,1,0.1,global,9,storm2,90,0.75,0.25,302,c09_storm2_w80_u90_0021,1983,1802.379600,1712.033200,1730.555200,1738.632000,1712.033200,0.2391,0.0000,0.2502,0.0199
grid,stability,stability,1,0.1,global,9,storm2,90,0.75,0.25,302,c09_storm2_w80_u90_0022,1983,1603.211600,1604.680400,1606.063600,1607.470000,1600.188000,0.2403,0.0098,0.2496,0.0127
grid,stability,stability,1,0.1,global,9,storm2,90,0.75,0.25,302,c09_storm2_w80_u90_0023,1983,1324.423200,1266.089200,1233.342800,1295.079600,1249.021200,0.2502,0.0186,0.2500,0.0436
grid,stability,stability,1,0.1,global,9,storm2,90,0.75,0.25,302,c09_storm2_w80_u90_0024,1983,1347.746400,1031.797200,1011.966400,1195.528400,1028.358800,0.2502,0.0292,0.2498,0.0718
grid,stability,stability,1,0.1,global,9,storm2,90,0.75,0.25,302,c09_storm2_w80_u90_0025,1983,1571.562800,1545.628800,1514.028800,1542.226400,1541.330400,0.2488,0.0064,0.2496,0.0194
grid,stability,stability,1,0.1,global,9,storm2,90,0.75,0.25,302,c09_storm2_w80_u90_0026,1983,1943.694800,1663.130400,1615.831200,1832.061200,1663.130400,0.2504,0.0062,0.2449,0.0511
grid,stability,stability,1,0.1,global,9,storm2,90,0.75,0.25,302,c09_storm2_w80_u90_0027,1983,1923.940000,1386.624000,1056.241600,1459.455200,1123.305200,0.2463,0.0213,0.2494,0.1145
grid,stability,stability,1,0.1,global,9,storm2,90,0.75,0.25,302,c09_storm2_w80_u90_0028,1983,922.898800,910.897200,923.550000,920.712000,907.601200,0.2504,0.0033,0.2498,0.0334
grid,stability,stability,1,0.1,global,9,storm2,90,0.75,0.25,302,c09_storm2_w80_u90_0029,1983,2919.402400,2676.636800,2742.211200,2893.088400,2639.978400,0.2381,0.0061,0.2498,0.0468
grid,stability,stability,1,0.1,global,9,storm2,90,0.75,0.25,306,c09_storm2_w80_u90_0020,1983,2019.141600,1551.092800,1522.398800,1984.585600,1497.987200,0.2452,0.0283,0.2502,0.0559
grid,stability,stability,1,0.1,global,9,storm2,90,0.75,0.25,306,c09_storm2_w80_u90_0021,1983,1802.379600,1739.182400,1730.555200,1739.494000,1721.336800,0.2423,0.0239,0.2502,0.0298
grid,stability,stability,1,0.1,global,9,storm2,90,0.75,0.25,306,c09_storm2_w80_u90_0022,1983,1603.211600,1604.371200,1606.063600,1607.470000,1600.569200,0.2480,0.0158,0.2480,0.0127
grid,stability,stability,1,0.1,global,9,storm2,90,0.75,0.25,306,c09_storm2_w80_u90_0023,1983,1324.423200,1249.226400,1233.342800,1295.079600,1250.822400,0.2504,0.0310,0.2500,0.0312
grid,stability,stability,1,0.1,global,9,storm2,90,0.75,0.25,306,c09_storm2_w80_u90_0024,1983,1347.746400,1055.014000,1011.966400,1208.477200,1029.430800,0.2502,0.0370,0.2498,0.0851
grid,stability,stability,1,0.1,global,9,storm2,90,0.75,0.25,306,c09_storm2_w80_u90_0025,1983,1571.562800,1530.292800,1514.028800,1533.140800,1529.622800,0.2504,0.0575,0.2504,0.0289
grid,stability,stability,1,0.1,global,9,storm2,90,0.75,0.25,306,c09_storm2_w80_u90_0026,1983,1943.694800,1670.463200,1615.831200,1842.782400,1612.111200,0.2475,0.0189,0.2465,0.0540
grid,stability,stability,1,0.1,global,9,storm2,90,0.75,0.25,306,c09_storm2_w80_u90_0027,1983,1923.940000,1258.222400,1056.241600,1583.253200,1152.721600,0.2445,0.0308,0.2479,0.0848
grid,stability,stability,1,0.1,global,9,storm2,90,0.75,0.25,306,c09_storm2_w80_u90_0028,1983,922.898800,906.886000,923.550000,915.878400,927.722800,0.2498,0.0100,0.2504,0.0301
grid,stability,stability,1,0.1,global,9,storm2,90,0.75,0.25,306,c09_storm2_w80_u90_0029,1983,2919.402400,2720.984400,2742.211200,2902.912800,2732.480000,0.2375,0.0183,0.2505,0.0466
grid,stability,stability,1,0.1,global,9,storm2,90,0.75,0.25,301,c09_storm2_w80_u90_0020,1983,2019.141600,1646.978800,1522.398800,2013.762800,1539.786800,0.2420,0.0321,0.2500,0.0561
grid,stability,stability,1,0.1,global,9,storm2,90,0.75,0.25,301,c09_storm2_w80_u90_0021,1983,1802.379600,1714.136000,1730.555200,1738.632000,1718.267600,0.2506,0.0066,0.2502,0.0199
grid,stability,stability,1,0.1,global,9,storm2,90,0.75,0.25,301,c09_storm2_w80_u90_0022,1983,1603.211600,1616.789600,1606.063600,1607.470000,1608.704000,0.2478,0.0126,0.2472,0.0128
grid,stability,stability,1,0.1,global,9,storm2,90,0.75,0.25,301,c09_storm2_w80_u90_0023,1983,1324.423200,1258.344800,1233.342800,1295.299600,1243.868400,0.2496,0.0155,0.2500,0.0374
grid,stability,stability,1,0.1,global,9,storm2,90,0.75,0.25,301,c09_storm2_w80_u90_0024,1983,1347.746400,1083.049200,1011.966400,1223.469600,1056.452800,0.2500,0.0398,0.2498,0.0665
grid,stability,stability,1,0.1,global,9,storm2,90,0.75,0.25,301,c09_storm2_w80_u90_0025,1983,1571.562800,1528.752000,1514.028800,1549.285600,1540.960400,0.2504,0.0096,0.2504,0.0257
