part,arm,policy,split_fit,alpha,band_mode,campus,regime,u,beta,rho,seed,inst_id,n_wos,rule,m0_alone,oracle,rule_sup,m0_sup,m0_sup_revfrac,m0_sup_orr,rule_sup_revfrac,rule_sup_orr
head,targeted_pub,targeted,0,0.1,global,9,storm2,100,1.0,0.25,301,c09_storm2_w80_u100_0020,2253,2113.920800,1685.812000,1660.290800,1974.308800,1639.239200,0.2488,0.0192,0.2494,0.0815
head,targeted_pub,targeted,0,0.1,global,9,storm2,100,1.0,0.25,301,c09_storm2_w80_u100_0021,2253,2468.501600,2127.064800,2178.691200,2425.110000,2140.574400,0.2448,0.0138,0.2495,0.0757
head,targeted_pub,targeted,0,0.1,global,9,storm2,100,1.0,0.25,301,c09_storm2_w80_u100_0022,2253,1216.011200,973.572400,991.862400,1099.216000,977.068400,0.2493,0.0106,0.2503,0.0267
head,targeted_pub,targeted,0,0.1,global,9,storm2,100,1.0,0.25,301,c09_storm2_w80_u100_0023,2253,5676.362400,2775.650800,2621.206400,4018.612400,2608.315200,0.2497,0.0492,0.2496,0.1415
head,targeted_pub,targeted,0,0.1,global,9,storm2,100,1.0,0.25,301,c09_storm2_w80_u100_0024,2253,4396.206800,2358.705600,1996.894800,2834.593600,1994.484000,0.2505,0.0455,0.2502,0.1162
head,targeted_pub,targeted,0,0.1,global,9,storm2,100,1.0,0.25,301,c09_storm2_w80_u100_0025,2253,6411.756400,2979.735200,2533.840800,4054.931600,2520.513600,0.2501,0.0404,0.2503,0.1551
head,targeted_pub,targeted,0,0.1,global,9,storm2,100,1.0,0.25,301,c09_storm2_w80_u100_0026,2253,5006.202000,2086.948000,1938.243600,4109.313600,2038.843600,0.2431,0.0315,0.2497,0.1297
head,targeted_pub,targeted,0,0.1,global,9,storm2,100,1.0,0.25,301,c09_storm2_w80_u100_0027,2253,2535.368000,1799.105600,1685.882800,2061.197200,1676.946000,0.2438,0.0182,0.2476,0.0844
head,targeted_pub,targeted,0,0.1,global,9,storm2,100,1.0,0.25,301,c09_storm2_w80_u100_0028,2253,2083.722400,1302.152400,1316.495200,2021.848800,1302.480800,0.2454,0.0052,0.2498,0.0533
head,targeted_pub,targeted,0,0.1,global,9,storm2,100,1.0,0.25,301,c09_storm2_w80_u100_0029,2253,4540.255600,1888.186400,1226.778800,2328.602400,1415.808400,0.2492,0.0401,0.2490,0.1091
head,targeted_pub,targeted,0,0.1,global,9,storm2,100,1.0,0.25,305,c09_storm2_w80_u100_0020,2253,2113.920800,1644.047600,1660.290800,1974.308800,1614.148000,0.2488,0.0168,0.2494,0.0815
head,targeted_pub,targeted,0,0.1,global,9,storm2,100,1.0,0.25,305,c09_storm2_w80_u100_0021,2253,2468.501600,2136.103200,2178.691200,2425.110000,2136.103200,0.2465,0.0027,0.2495,0.0757
head,targeted_pub,targeted,0,0.1,global,9,storm2,100,1.0,0.25,305,c09_storm2_w80_u100_0022,2253,1216.011200,1040.326000,991.862400,1099.216000,1009.137200,0.2487,0.0107,0.2503,0.0267
head,targeted_pub,targeted,0,0.1,global,9,storm2,100,1.0,0.25,305,c09_storm2_w80_u100_0023,2253,5676.362400,2997.913200,2621.206400,4018.612400,2795.016800,0.2500,0.0654,0.2496,0.1415
head,targeted_pub,targeted,0,0.1,global,9,storm2,100,1.0,0.25,305,c09_storm2_w80_u100_0024,2253,4396.206800,2256.460000,1996.894800,2834.593600,2040.570000,0.2502,0.0403,0.2502,0.1162
