t_bh,wo,n_cand,recorded_class,s_hat,s_lo,s_hi,c_hat,c_hat_lo,c_hat_hi,interval_width,margin,rival,verdict,c_star_eval_only
2.1605,W69,2,4,-0.47175994515419006,-0.7620037496089935,-0.1815161406993866,4.0,4.0,4.0,0.0,3.0054369845047994e-14,W70,automate,4
3.0854,W86,4,4,-0.006446893326938152,-0.2966906977817416,0.2837969111278653,4.0,3.7162030888721347,4.0,0.2837969111278653,-1.1157145889306959e-19,W85,refer,4
3.2756,W94,6,2,-0.006446893326938152,-0.2966906977817416,0.2837969111278653,2.006446893326938,1.7162030888721347,2.2966906977817416,0.5804876089096069,-0.08869002825155085,W96,refer,2
3.3731,W96,6,2,-0.006446893326938152,-0.2966906977817416,0.2837969111278653,2.006446893326938,1.7162030888721347,2.2966906977817416,0.5804876089096069,0.0008658715609860411,W85,automate,2
3.4261999999999997,W85,5,4,-0.006446893326938152,-0.2966906977817416,0.2837969111278653,4.0,3.7162030888721347,4.0,0.2837969111278653,-1.4361395364884496e-15,W100,refer,4
3.4497,W100,4,4,-0.006446893326938152,-0.2966906977817416,0.2837969111278653,4.0,3.7162030888721347,4.0,0.2837969111278653,-2.0624594781274406e-13,W88,refer,4
3.4586,W88,3,4,-0.006446893326938152,-0.2966906977817416,0.2837969111278653,4.0,3.7162030888721347,4.0,0.2837969111278653,-7.526053974300271e-12,W87,refer,4
3.4828,W101,3,4,-0.006446893326938152,-0.2966906977817416,0.2837969111278653,4.0,3.7162030888721347,4.0,0.2837969111278653,-6.793658199291708e-13,W87,refer,4
3.5085999999999995,W87,2,4,-0.006446893326938152,-0.2966906977817416,0.2837969111278653,4.0,3.7162030888721347,4.0,0.2837969111278653,-3.598445782734764e-11,W95,refer,4
3.6376,W104,2,4,-0.006446893326938152,-0.2966906977817416,0.2837969111278653,4.0,3.7162030888721347,4.0,0.2837969111278653,-9.662949162739601e-15,W95,refer,4
3.6966,W109,3,4,-0.006446893326938152,-0.2966906977817416,0.2837969111278653,4.0,3.7162030888721347,4.0,0.2837969111278653,-8.185193664034459e-23,W107,refer,4
3.8890000000000002,W115,7,4,-0.006446893326938152,-0.2966906977817416,0.2837969111278653,4.0,3.7162030888721347,4.0,0.2837969111278653,-7.333613092370006e-12,W107,refer,4
4.0053,W107,6,4,-0.006446893326938152,-0.2966906977817416,0.2837969111278653,4.0,3.7162030888721347,4.0,0.2837969111278653,-1.394062717176629e-10,W111,refer,4
