part,arm,policy,split_fit,alpha,band_mode,campus,regime,u,beta,rho,seed,inst_id,n_wos,rule,m0_alone,oracle,rule_sup,m0_sup,m0_sup_revfrac,m0_sup_orr,rule_sup_revfrac,rule_sup_orr
ctrl,targeted_split,targeted,1,0.1,global,9,storm2,130,0.0,0.25,301,c09_storm2_w80_u130_0020,2955,4341.957200,3652.114400,864.656000,1730.309600,1591.873200,0.2402,0.1094,0.2369,0.1233
ctrl,targeted_split,targeted,1,0.1,global,9,storm2,130,0.0,0.25,301,c09_storm2_w80_u130_0021,2955,5619.735000,5386.725000,1372.199200,1824.697200,1828.054600,0.2305,0.1136,0.2332,0.1242
ctrl,targeted_split,targeted,1,0.1,global,9,storm2,130,0.0,0.25,301,c09_storm2_w80_u130_0022,2955,6757.698600,5511.820800,1567.498400,3023.567400,2797.243400,0.2385,0.1143,0.2467,0.1186
ctrl,targeted_split,targeted,1,0.1,global,9,storm2,130,0.0,0.25,301,c09_storm2_w80_u130_0023,2955,4766.402000,3939.963600,489.626400,1872.996400,1780.811000,0.2328,0.1099,0.2342,0.1395
ctrl,targeted_split,targeted,1,0.1,global,9,storm2,130,0.0,0.25,301,c09_storm2_w80_u130_0024,2955,5709.433200,4710.882800,699.693200,1893.745600,1967.739200,0.2356,0.1139,0.2355,0.1412
ctrl,targeted_split,targeted,1,0.1,global,9,storm2,130,0.0,0.25,301,c09_storm2_w80_u130_0025,2955,5059.364400,4748.354400,1126.620000,2311.542800,1850.593400,0.2310,0.1107,0.2253,0.1224
ctrl,targeted_split,targeted,1,0.1,global,9,storm2,130,0.0,0.25,301,c09_storm2_w80_u130_0026,2955,6993.494400,6508.137200,1749.480800,2770.372000,2686.764400,0.2318,0.1344,0.2290,0.1415
ctrl,targeted_split,targeted,1,0.1,global,9,storm2,130,0.0,0.25,301,c09_storm2_w80_u130_0027,2955,7824.229200,6803.101000,1633.974000,2944.455600,2974.860400,0.2363,0.1201,0.2437,0.1389
ctrl,targeted_split,targeted,1,0.1,global,9,storm2,130,0.0,0.25,301,c09_storm2_w80_u130_0028,2955,7644.670800,6735.633800,1177.121200,2712.949400,2185.767800,0.2273,0.1259,0.2268,0.1318
ctrl,targeted_split,targeted,1,0.1,global,9,storm2,130,0.0,0.25,301,c09_storm2_w80_u130_0029,2955,6338.518000,5176.092600,1856.062000,2944.894000,2739.289400,0.2319,0.1123,0.2345,0.1319
ctrl,targeted_split,targeted,1,0.1,global,9,storm2,130,0.0,0.25,302,c09_storm2_w80_u130_0020,2955,4341.957200,3315.447600,864.656000,1730.309600,1763.058800,0.2414,0.0918,0.2369,0.1233
ctrl,targeted_split,targeted,1,0.1,global,9,storm2,130,0.0,0.25,302,c09_storm2_w80_u130_0021,2955,5619.735000,4929.768800,1372.199200,1824.697200,1809.199800,0.2276,0.1081,0.2332,0.1242
ctrl,targeted_split,targeted,1,0.1,global,9,storm2,130,0.0,0.25,302,c09_storm2_w80_u130_0022,2955,6757.698600,5053.112800,1567.498400,3023.567400,2800.371200,0.2286,0.1141,0.2467,0.1186
ctrl,targeted_split,targeted,1,0.1,global,9,storm2,130,0.0,0.25,302,c09_storm2_w80_u130_0023,2955,4766.402000,3578.606000,489.626400,1872.996400,1783.947400,0.2326,0.1081,0.2342,0.1395
ctrl,targeted_split,targeted,1,0.1,global,9,storm2,130,0.0,0.25,302,c09_storm2_w80_u130_0024,2955,5709.433200,4024.336800,699.693200,1893.745600,1996.423200,0.2320,0.1192,0.2355,0.1412
ctrl,targeted_split,targeted,1,0.1,global,9,storm2,130,0.0,0.25,302,c09_storm2_w80_u130_0025,2955,5059.364400,4523.403200,1126.620000,2311.542800,1815.028800,0.2333,0.0895,0.2253,0.1224
ctrl,targeted_split,targeted,1,0.1,global,9,storm2,130,0.0,0.25,302,c09_storm2_w80_u130_0026,2955,6993.494400,6422.698800,1749.480800,2770.372000,2263.322200,0.2304,0.1370,0.2290,0.1415
ctrl,targeted_split,targeted,1,0.1,global,9,storm2,130,0.0,0.25,302,c09_storm2_w80_u130_0027,2955,7824.229200,6104.178000,1633.974000,2944.455600,2753.064400,0.2276,0.1138,0.2437,0.1389
ctrl,targeted_split,targeted,1,0.1,global,9,storm2,130,0.0,0.25,302,c09_storm2_w80_u130_0028,2955,7644.670800,6700.254200,1177.121200,2712.949400,2583.452400,0.2252,0.1129,0.2268,0.1318
ctrl,targeted_split,targeted,1,0.1,global,9,storm2,130,0.0,0.25,302,c09_storm2_w80_u130_0029,2955,6338.518000,4737.313200,1856.062000,2944.894000,2653.977600,0.2303,0.0972,0.2345,0.1319
