part,arm,policy,split_fit,alpha,band_mode,campus,regime,u,beta,rho,seed,inst_id,n_wos,rule,m0_alone,oracle,rule_sup,m0_sup,m0_sup_revfrac,m0_sup_orr,rule_sup_revfrac,rule_sup_orr
map,stability,stability,1,0.1,global,10,storm2,130,0.0,0.25,301,c10_storm2_w80_u130_0020,12155,29645.747800,16680.607200,1345.676400,11638.024800,6481.264000,0.2473,0.0772,0.2493,0.0983
map,stability,stability,1,0.1,global,10,storm2,130,0.0,0.25,301,c10_storm2_w80_u130_0021,12155,26062.411200,15923.747800,2070.806200,4506.860400,5934.226600,0.2471,0.0815,0.2492,0.1005
map,stability,stability,1,0.1,global,10,storm2,130,0.0,0.25,301,c10_storm2_w80_u130_0022,12155,31624.025600,18788.628200,1370.517600,8669.345000,6570.047200,0.2472,0.0849,0.2492,0.1096
map,stability,stability,1,0.1,global,10,storm2,130,0.0,0.25,301,c10_storm2_w80_u130_0023,12155,39499.173800,21654.915200,1069.502000,14495.115600,8987.033600,0.2470,0.0871,0.2494,0.0985
map,stability,stability,1,0.1,global,10,storm2,130,0.0,0.25,301,c10_storm2_w80_u130_0024,12155,30148.389800,16473.663200,2465.302000,11726.687000,7849.027200,0.2474,0.0776,0.2483,0.1044
map,stability,stability,1,0.1,global,10,storm2,130,0.0,0.25,301,c10_storm2_w80_u130_0025,12155,36609.604600,23662.382200,2194.662800,10984.044200,8143.463000,0.2496,0.0982,0.2498,0.1100
map,stability,stability,1,0.1,global,10,storm2,130,0.0,0.25,301,c10_storm2_w80_u130_0026,12155,32896.781000,22346.339000,1192.299600,7126.586400,4927.983800,0.2493,0.0944,0.2500,0.1032
map,stability,stability,1,0.1,global,10,storm2,130,0.0,0.25,301,c10_storm2_w80_u130_0027,12155,41327.907800,25806.933000,1994.461600,9653.459400,8186.467000,0.2498,0.1024,0.2499,0.1296
map,stability,stability,1,0.1,global,10,storm2,130,0.0,0.25,301,c10_storm2_w80_u130_0028,12155,30668.260200,18000.141000,1874.577200,9887.262800,7024.907600,0.2475,0.0702,0.2496,0.1083
map,stability,stability,1,0.1,global,10,storm2,130,0.0,0.25,301,c10_storm2_w80_u130_0029,12155,23249.527800,14836.934400,2550.012200,9573.468200,6399.142600,0.2474,0.0686,0.2496,0.0865
map,stability,stability,1,0.1,global,10,storm2,130,0.0,0.25,303,c10_storm2_w80_u130_0020,12155,29645.747800,17648.771800,1345.676400,11057.268400,6586.603600,0.2471,0.0783,0.2495,0.0990
map,stability,stability,1,0.1,global,10,storm2,130,0.0,0.25,303,c10_storm2_w80_u130_0021,12155,26062.411200,16224.645400,2070.806200,5852.101800,5589.086000,0.2485,0.0874,0.2492,0.0987
map,stability,stability,1,0.1,global,10,storm2,130,0.0,0.25,303,c10_storm2_w80_u130_0022,12155,31624.025600,19086.664000,1370.517600,8530.137600,5663.616000,0.2498,0.0918,0.2491,0.1090
map,stability,stability,1,0.1,global,10,storm2,130,0.0,0.25,303,c10_storm2_w80_u130_0023,12155,39499.173800,22289.966200,1069.502000,14329.825600,9599.631400,0.2481,0.0834,0.2492,0.0975
map,stability,stability,1,0.1,global,10,storm2,130,0.0,0.25,303,c10_storm2_w80_u130_0024,12155,30148.389800,17434.204200,2465.302000,12145.744800,6808.719400,0.2473,0.0860,0.2483,0.1000
map,stability,stability,1,0.1,global,10,storm2,130,0.0,0.25,303,c10_storm2_w80_u130_0025,12155,36609.604600,23968.157000,2194.662800,13129.727400,8715.944000,0.2498,0.0948,0.2495,0.1087
map,stability,stability,1,0.1,global,10,storm2,130,0.0,0.25,303,c10_storm2_w80_u130_0026,12155,32896.781000,23273.852600,1192.299600,7112.267200,5597.107800,0.2490,0.0941,0.2500,0.1051
map,stability,stability,1,0.1,global,10,storm2,130,0.0,0.25,303,c10_storm2_w80_u130_0027,12155,41327.907800,25324.625600,1994.461600,10020.884400,10237.565200,0.2499,0.0998,0.2499,0.1260
map,stability,stability,1,0.1,global,10,storm2,130,0.0,0.25,303,c10_storm2_w80_u130_0028,12155,30668.260200,17724.499400,1874.577200,9265.908800,6565.119200,0.2489,0.0807,0.2496,0.1039
map,stability,stability,1,0.1,global,10,storm2,130,0.0,0.25,303,c10_storm2_w80_u130_0029,12155,23249.527800,15075.900000,2550.012200,8972.394400,7692.125800,0.2484,0.0683,0.2496,0.0861
