rater_id,rater_role,rater_years_fm,item_id,pair_id,presented_left_order,presented_right_order,choice_side,chosen_order_id,confidence,reason,seconds_from_start
SYNTHETIC-R3,SYNTHETIC FIXTURE,,I001,P031,WO507528,WO507377,R,WO507377,,,
SYNTHETIC-R3,SYNTHETIC FIXTURE,,I002,P001,WO511131,WO511212,L,WO511131,,,
SYNTHETIC-R3,SYNTHETIC FIXTURE,,I003,P045,WO175094,WO175765,L,WO175094,,,
SYNTHETIC-R3,SYNTHETIC FIXTURE,,I004,P009,W12086332,W12082404,R,W12082404,,,
SYNTHETIC-R3,SYNTHETIC FIXTURE,,I005,P008,CAHILL19150666,SCHLNGR19149223,L,CAHILL19150666,,,
SYNTHETIC-R3,SYNTHETIC FIXTURE,,I006,P029,37450572,37454200,L,37450572,,,
SYNTHETIC-R3,SYNTHETIC FIXTURE,,I007,P049,WO507920,WO506985,L,WO507920,,,
SYNTHETIC-R3,SYNTHETIC FIXTURE,,I008,P024,11564992,11522301,R,11522301,,,
SYNTHETIC-R3,SYNTHETIC FIXTURE,,I009,P004,FM-508752,FM-509114,R,FM-509114,,,
SYNTHETIC-R3,SYNTHETIC FIXTURE,,I010,P015,FM-542489,FM-542118,R,FM-542118,,,
SYNTHETIC-R3,SYNTHETIC FIXTURE,,I011,P006,11554909,11522340,R,11522340,,,
SYNTHETIC-R3,SYNTHETIC FIXTURE,,I012,P021,WO174850,WO175085,R,WO175085,,,
SYNTHETIC-R3,SYNTHETIC FIXTURE,,I013,P026,CHURCH19175637,305HIL19174844,L,CHURCH19175637,,,
SYNTHETIC-R3,SYNTHETIC FIXTURE,,I014,P017,11522369,11566976,R,11566976,,,
SYNTHETIC-R3,SYNTHETIC FIXTURE,,I015,P042,11554352,11569165,L,11554352,,,
SYNTHETIC-R3,SYNTHETIC FIXTURE,,I016,P022,FM-542213,FM-542832,L,FM-542213,,,
SYNTHETIC-R3,SYNTHETIC FIXTURE,,I017,P048,11514163,11671266,R,11671266,,,
SYNTHETIC-R3,SYNTHETIC FIXTURE,,I018,P033,WO174317,WO174309,L,WO174317,,,
SYNTHETIC-R3,SYNTHETIC FIXTURE,,I019,P016,38287447,38293558,L,38287447,,,
SYNTHETIC-R3,SYNTHETIC FIXTURE,,I020,P011,37449070,37450330,L,37449070,,,
SYNTHETIC-R3,SYNTHETIC FIXTURE,,I021,P045,WO175765,WO175094,R,WO175094,,,
SYNTHETIC-R3,SYNTHETIC FIXTURE,,I022,P032,TRNSGRD16019278,HR_SHPS16021561,R,HR_SHPS16021561,,,
SYNTHETIC-R3,SYNTHETIC FIXTURE,,I023,P019,WO173549,WO174651,L,WO173549,,,
SYNTHETIC-R3,SYNTHETIC FIXTURE,,I024,P007,WO442241,WO442516,R,WO442516,,,
SYNTHETIC-R3,SYNTHETIC FIXTURE,,I025,P037,WO508088,WO506578,R,WO506578,,,
SYNTHETIC-R3,SYNTHETIC FIXTURE,,I026,P018,WO507164,WO506102,R,WO506102,,,
SYNTHETIC-R3,SYNTHETIC FIXTURE,,I027,P034,FM-542578,FM-542623,R,FM-542623,,,
SYNTHETIC-R3,SYNTHETIC FIXTURE,,I028,P036,11550813,11554309,R,11554309,,,
SYNTHETIC-R3,SYNTHETIC FIXTURE,,I029,P012,11524722,11524685,L,11524722,,,
SYNTHETIC-R3,SYNTHETIC FIXTURE,,I030,P005,38286716,38286652,L,38286716,,,
SYNTHETIC-R3,SYNTHETIC FIXTURE,,I031,P050,TRNSGRD16022903,HR_SHPS16021554,L,TRNSGRD16022903,,,
SYNTHETIC-R3,SYNTHETIC FIXTURE,,I032,P043,WO507502,WO507098,L,WO507502,,,
SYNTHETIC-R3,SYNTHETIC FIXTURE,,I033,P041,38291527,38288333,L,38291527,,,
SYNTHETIC-R3,SYNTHETIC FIXTURE,,I034,P014,K_SPALD19150477,NOYES19148741,R,NOYES19148741,,,
SYNTHETIC-R3,SYNTHETIC FIXTURE,,I035,P039,WO175462,WO176109,L,WO175462,,,
SYNTHETIC-R3,SYNTHETIC FIXTURE,,I036,P044,BRN_LAB17049841,BKMNINS17049711,L,BRN_LAB17049841,,,
SYNTHETIC-R3,SYNTHETIC FIXTURE,,I037,P030,11554943,11569155,L,11554943,,,
SYNTHETIC-R3,SYNTHETIC FIXTURE,,I038,P004,FM-509114,FM-508752,R,FM-508752,,,
SYNTHETIC-R3,SYNTHETIC FIXTURE,,I039,P022,FM-542832,FM-542213,R,FM-542213,,,
SYNTHETIC-R3,SYNTHETIC FIXTURE,,I040,P046,FM-509363,FM-509815,L,FM-509363,,,
SYNTHETIC-R3,SYNTHETIC FIXTURE,,I041,P003,W09151210,W09159287,L,W09151210,,,
SYNTHETIC-R3,SYNTHETIC FIXTURE,,I042,P023,38286143,38285621,L,38286143,,,
SYNTHETIC-R3,SYNTHETIC FIXTURE,,I043,P040,FM-571757,FM-572355,L,FM-571757,,,
SYNTHETIC-R3,SYNTHETIC FIXTURE,,I044,P027,WO174670,WO177067,L,WO174670,,,
SYNTHETIC-R3,SYNTHETIC FIXTURE,,I045,P038,BKMNINS19159499,305HIL19160000,R,305HIL19160000,,,
SYNTHETIC-R3,SYNTHETIC FIXTURE,,I046,P016,38293558,38287447,R,38287447,,,
SYNTHETIC-R3,SYNTHETIC FIXTURE,,I047,P020,KCK_CTR19175103,305HIL19175360,L,KCK_CTR19175103,,,
SYNTHETIC-R3,SYNTHETIC FIXTURE,,I048,P035,37450559,37450746,R,37450746,,,
SYNTHETIC-R3,SYNTHETIC FIXTURE,,I049,P028,FM-543078,FM-542400,L,FM-543078,,,
SYNTHETIC-R3,SYNTHETIC FIXTURE,,I050,P002,DMWO738697,BAXTER16002655,R,BAXTER16002655,,,
SYNTHETIC-R3,SYNTHETIC FIXTURE,,I051,P047,37451900,37450454,R,37450454,,,
SYNTHETIC-R3,SYNTHETIC FIXTURE,,I052,P013,WO507142,WO506763,L,WO507142,,,
SYNTHETIC-R3,SYNTHETIC FIXTURE,,I053,P039,WO176109,WO175462,L,WO176109,,,
SYNTHETIC-R3,SYNTHETIC FIXTURE,,I054,P010,FM-508595,FM-509773,L,FM-508595,,,
SYNTHETIC-R3,SYNTHETIC FIXTURE,,I055,P025,WO508074,WO508055,L,WO508074,,,
SYNTHETIC-R3,SYNTHETIC FIXTURE,,I056,P036,11554309,11550813,R,11550813,,,
